timeline,Hoya
31 Mar 2009,$7.2B
30 Apr 2009,$6.36B
29 May 2009,$7.2B
30 Jun 2009,$7.02B
31 Jul 2009,$8.29B
31 Aug 2009,$7.72B
30 Sep 2009,$7.92B
30 Oct 2009,$7.5B
30 Nov 2009,$8.35B
31 Dec 2009,$9.04B
29 Jan 2010,$9.45B
26 Feb 2010,$9.02B
31 Mar 2010,$10.1B
30 Apr 2010,$10.26B
31 May 2010,$9.35B
30 Jun 2010,$8.65B
30 Jul 2010,$8.88B
31 Aug 2010,$8.48B
30 Sep 2010,$8.74B
29 Oct 2010,$8.2B
30 Nov 2010,$8.77B
31 Dec 2010,$8.92B
31 Jan 2011,$8.51B
28 Feb 2011,$8.53B
31 Mar 2011,$7.89B
29 Apr 2011,$6.99B
31 May 2011,$7.09B
30 Jun 2011,$7.42B
29 Jul 2011,$8.21B
31 Aug 2011,$7.4B
30 Sep 2011,$8.45B
31 Oct 2011,$7.93B
30 Nov 2011,$7.61B
30 Dec 2011,$8.05B
31 Jan 2012,$7.86B
29 Feb 2012,$8.52B
30 Mar 2012,$8.29B
30 Apr 2012,$8.45B
31 May 2012,$8.4B
29 Jun 2012,$8.64B
31 Jul 2012,$8.91B
31 Aug 2012,$8.78B
28 Sep 2012,$8.36B
31 Oct 2012,$7.64B
30 Nov 2012,$7.25B
31 Dec 2012,$7.26B
31 Jan 2013,$6.98B
28 Feb 2013,$7.15B
29 Mar 2013,$7.09B
30 Apr 2013,$7.49B
31 May 2013,$7.64B
28 Jun 2013,$7.8B
31 Jul 2013,$7.94B
30 Aug 2013,$7.87B
30 Sep 2013,$8.58B
31 Oct 2013,$8.5B
29 Nov 2013,$9.72B
31 Dec 2013,$9.85B
31 Jan 2014,$9.97B
28 Feb 2014,$10.53B
31 Mar 2014,$11.11B
30 Apr 2014,$10.41B
30 May 2014,$11.14B
30 Jun 2014,$11.98B
31 Jul 2014,$12.05B
29 Aug 2014,$12.11B
30 Sep 2014,$12.71B
31 Oct 2014,$13.59B
28 Nov 2014,$13.76B
31 Dec 2014,$13.53B
30 Jan 2015,$16.43B
27 Feb 2015,$17.28B
31 Mar 2015,$17.79B
30 Apr 2015,$16.85B
29 May 2015,$16.25B
30 Jun 2015,$17.12B
31 Jul 2015,$18.56B
31 Aug 2015,$16.78B
30 Sep 2015,$13.58B
30 Oct 2015,$17.74B
30 Nov 2015,$18.01B
31 Dec 2015,$17.75B
29 Jan 2016,$16.6B
29 Feb 2016,$15.41B
31 Mar 2016,$15.09B
29 Apr 2016,$15.59B
31 May 2016,$14.2B
30 Jun 2016,$14.27B
29 Jul 2016,$14.21B
31 Aug 2016,$15.69B
30 Sep 2016,$15.68B
31 Oct 2016,$16.83B
30 Nov 2016,$16.24B
30 Dec 2016,$17.27B
31 Jan 2017,$17.48B
28 Feb 2017,$18.41B
31 Mar 2017,$19.7B
28 Apr 2017,$19.36B
31 May 2017,$19.35B
30 Jun 2017,$20B
31 Jul 2017,$21.09B
31 Aug 2017,$21.02B
29 Sep 2017,$20.1B
31 Oct 2017,$20.29B
30 Nov 2017,$17.86B
29 Dec 2017,$18.17B
31 Jan 2018,$17.73B
28 Feb 2018,$18.54B
30 Mar 2018,$17.4B
30 Apr 2018,$19.06B
31 May 2018,$21.93B
29 Jun 2018,$21.18B
31 Jul 2018,$22.15B
31 Aug 2018,$21.56B
28 Sep 2018,$21.98B
31 Oct 2018,$21.49B
30 Nov 2018,$22.95B
31 Dec 2018,$22.52B
31 Jan 2019,$21.62B
28 Feb 2019,$23.18B
29 Mar 2019,$25.28B
30 Apr 2019,$26.91B
31 May 2019,$26.63B
28 Jun 2019,$28.9B
31 Jul 2019,$29.62B
30 Aug 2019,$31.4B
30 Sep 2019,$31.87B
31 Oct 2019,$33.79B
29 Nov 2019,$35.37B
31 Dec 2019,$36.49B
31 Jan 2020,$37.59B
28 Feb 2020,$33.93B
31 Mar 2020,$32.77B
30 Apr 2020,$36.1B
29 May 2020,$35.97B
30 Jun 2020,$35.74B
10 Jul 2020,$37.38B
16 Jul 2020,$36.4B
31 Jul 2020,$35.34B
6 Aug 2020,$35.23B
14 Aug 2020,$35.84B
27 Aug 2020,$34.86B
31 Aug 2020,$34.9B
10 Sep 2020,$35.45B
24 Sep 2020,$40.77B
30 Sep 2020,$40.3B
7 Oct 2020,$41.44B
15 Oct 2020,$41.77B
30 Oct 2020,$40.74B
6 Nov 2020,$42.91B
13 Nov 2020,$43.03B
20 Nov 2020,$43.19B
27 Nov 2020,$48.24B
4 Dec 2020,$43.55B
18 Dec 2020,$46.62B
23 Dec 2020,$46.99B
31 Dec 2020,$47.44B
15 Jan 2021,$46.75B
22 Jan 2021,$45.63B
29 Jan 2021,$44.74B
4 Feb 2021,$42.67B
11 Feb 2021,$43.6B
19 Feb 2021,$43.92B
26 Feb 2021,$39.39B
10 Mar 2021,$38.71B
17 Mar 2021,$40.68B
23 Mar 2021,$40.91B
29 Mar 2021,$42.28B
31 Mar 2021,$42.17B
9 Apr 2021,$44.11B
16 Apr 2021,$44.03B
21 Apr 2021,$41.91B
30 Apr 2021,$39.38B
5 May 2021,$39.58B
11 May 2021,$40.25B
20 May 2021,$44.69B
31 May 2021,$44.73B
4 Jun 2021,$43.28B
10 Jun 2021,$42.62B
30 Jun 2021,$46.37B
12 Jul 2021,$47.56B
16 Jul 2021,$46.5B
21 Jul 2021,$47.15B
30 Jul 2021,$51.72B
6 Aug 2021,$55.3B
13 Aug 2021,$57.12B
