timeline,Nikon
31 Jan 2001,$3.85B
30 Mar 2001,$4.27B
30 Apr 2001,$4.62B
31 Jul 2001,$3.42B
28 Feb 2002,$2.92B
29 Mar 2002,$3.88B
31 May 2002,$4.31B
28 Jun 2002,$3.96B
31 Jul 2002,$3.98B
30 Aug 2002,$3.09B
31 Oct 2002,$2.79B
31 Dec 2002,$2.61B
31 Mar 2003,$2.6B
31 Jul 2003,$3.49B
29 Aug 2003,$4.16B
30 Sep 2003,$5.39B
31 Oct 2003,$5.54B
28 Nov 2003,$4.73B
31 Dec 2003,$5.47B
30 Jan 2004,$5.82B
27 Feb 2004,$4.53B
31 Mar 2004,$4.6B
30 Apr 2004,$4.52B
31 May 2004,$3.75B
30 Jun 2004,$4.17B
30 Jul 2004,$3.53B
31 Aug 2004,$3.55B
30 Sep 2004,$3.5B
29 Oct 2004,$3.69B
30 Nov 2004,$3.87B
31 Dec 2004,$4.47B
31 Jan 2005,$4.79B
28 Feb 2005,$4.47B
31 Mar 2005,$4.16B
29 Apr 2005,$4.03B
31 May 2005,$3.61B
29 Jul 2005,$4.08B
31 Aug 2005,$4.54B
30 Sep 2005,$4.78B
31 Oct 2005,$4.62B
30 Nov 2005,$5.73B
30 Dec 2005,$5.79B
31 Jan 2006,$6.43B
28 Feb 2006,$6.56B
31 Mar 2006,$6.55B
31 Jul 2006,$5.79B
31 Aug 2006,$6.75B
29 Sep 2006,$7.57B
31 Oct 2006,$7.79B
30 Nov 2006,$7.57B
29 Dec 2006,$7.87B
31 Jan 2007,$8.39B
28 Feb 2007,$8.26B
30 Mar 2007,$8.38B
30 Apr 2007,$9.18B
31 May 2007,$9.98B
29 Jun 2007,$11.54B
31 Aug 2007,$12.59B
28 Sep 2007,$13.88B
31 Oct 2007,$12.7B
30 Nov 2007,$12.64B
31 Jan 2008,$11.87B
29 Feb 2008,$11.76B
31 Mar 2008,$10.95B
30 Apr 2008,$11.5B
30 May 2008,$12.6B
30 Jun 2008,$12.14B
31 Jul 2008,$11.65B
29 Aug 2008,$13.03B
30 Sep 2008,$9.2B
31 Oct 2008,$5.66B
28 Nov 2008,$4.33B
31 Dec 2008,$4.68B
30 Jan 2009,$4.56B
27 Feb 2009,$3.69B
31 Mar 2009,$4.54B
30 Apr 2009,$5.27B
29 May 2009,$5.82B
30 Jun 2009,$6.78B
31 Jul 2009,$7.99B
31 Aug 2009,$6.7B
30 Sep 2009,$7.2B
30 Oct 2009,$7.33B
30 Nov 2009,$7.23B
31 Dec 2009,$7.77B
29 Jan 2010,$8.08B
26 Feb 2010,$8.76B
31 Mar 2010,$8.7B
30 Apr 2010,$8.95B
31 May 2010,$7.73B
30 Jun 2010,$6.87B
30 Jul 2010,$6.92B
31 Aug 2010,$6.66B
30 Sep 2010,$7.45B
29 Oct 2010,$7.56B
30 Nov 2010,$7.78B
31 Dec 2010,$8.1B
31 Jan 2011,$9.3B
28 Feb 2011,$9.38B
31 Mar 2011,$8.11B
29 Apr 2011,$8.28B
31 May 2011,$9.21B
30 Jun 2011,$9.28B
29 Jul 2011,$9.4B
31 Aug 2011,$8.78B
30 Sep 2011,$9.56B
31 Oct 2011,$9.06B
30 Nov 2011,$9.38B
30 Dec 2011,$8.52B
31 Jan 2012,$9.79B
29 Feb 2012,$10.83B
30 Mar 2012,$12.2B
30 Apr 2012,$11.8B
31 May 2012,$10.96B
29 Jun 2012,$12B
31 Jul 2012,$11.12B
31 Aug 2012,$10.86B
28 Sep 2012,$10.97B
31 Oct 2012,$10.1B
30 Nov 2012,$11.02B
31 Dec 2012,$11.65B
31 Jan 2013,$11.37B
28 Feb 2013,$8.93B
29 Mar 2013,$9.4B
30 Apr 2013,$8.58B
31 May 2013,$10.61B
28 Jun 2013,$9.32B
31 Jul 2013,$8.29B
30 Aug 2013,$6.7B
30 Sep 2013,$6.94B
31 Oct 2013,$7.29B
29 Nov 2013,$7.52B
31 Dec 2013,$7.59B
31 Jan 2014,$6.83B
28 Feb 2014,$7.23B
31 Mar 2014,$6.41B
30 Apr 2014,$6.2B
30 May 2014,$6.28B
30 Jun 2014,$6.24B
31 Jul 2014,$6.22B
29 Aug 2014,$5.78B
30 Sep 2014,$5.75B
31 Oct 2014,$5.45B
28 Nov 2014,$5.69B
31 Dec 2014,$5.33B
30 Jan 2015,$5.04B
27 Feb 2015,$5.13B
31 Mar 2015,$5.32B
30 Apr 2015,$5.67B
29 May 2015,$4.94B
30 Jun 2015,$4.58B
31 Jul 2015,$4.71B
31 Aug 2015,$5.09B
30 Sep 2015,$4.77B
30 Oct 2015,$5.15B
30 Nov 2015,$5.34B
31 Dec 2015,$5.35B
29 Jan 2016,$5.88B
29 Feb 2016,$5.99B
31 Mar 2016,$6.07B
29 Apr 2016,$5.9B
31 May 2016,$5.57B
30 Jun 2016,$5.34B
29 Jul 2016,$5.52B
31 Aug 2016,$5.85B
30 Sep 2016,$5.89B
