timeline,Oriental Land
31 Mar 2006,$5.16B
28 Apr 2006,$5.13B
31 May 2006,$4.89B
30 Jun 2006,$4.74B
31 Jul 2006,$4.64B
31 Aug 2006,$4.82B
29 Sep 2006,$4.77B
31 Oct 2006,$4.78B
30 Nov 2006,$4.28B
29 Dec 2006,$4.27B
31 Jan 2007,$4.22B
28 Feb 2007,$4.82B
30 Mar 2007,$4.81B
30 Apr 2007,$4.7B
31 May 2007,$4.41B
29 Jun 2007,$4.37B
31 Jul 2007,$4.29B
31 Aug 2007,$4.69B
28 Sep 2007,$4.62B
31 Oct 2007,$4.65B
30 Nov 2007,$4.69B
31 Jan 2008,$4.5B
29 Feb 2008,$4.35B
31 Mar 2008,$4.21B
30 Apr 2008,$4.32B
30 May 2008,$4.38B
30 Jun 2008,$4.3B
31 Jul 2008,$4.56B
29 Aug 2008,$5.1B
30 Sep 2008,$5.43B
31 Oct 2008,$6.27B
28 Nov 2008,$6.71B
31 Dec 2008,$6.64B
30 Jan 2009,$6.76B
27 Feb 2009,$5.88B
31 Mar 2009,$4.92B
30 Apr 2009,$4.89B
29 May 2009,$4.8B
30 Jun 2009,$4.69B
31 Jul 2009,$4.61B
31 Aug 2009,$4.63B
30 Sep 2009,$4.73B
30 Oct 2009,$4.54B
30 Nov 2009,$4.67B
31 Dec 2009,$4.51B
29 Jan 2010,$4.85B
26 Feb 2010,$5.16B
31 Mar 2010,$5.14B
30 Apr 2010,$5.24B
31 May 2010,$6.08B
30 Jun 2010,$6.74B
30 Jul 2010,$6.25B
31 Aug 2010,$6.83B
30 Sep 2010,$6.69B
29 Oct 2010,$6.8B
30 Nov 2010,$6.74B
31 Dec 2010,$6.81B
31 Jan 2011,$6.66B
28 Feb 2011,$7.16B
31 Mar 2011,$5.53B
29 Apr 2011,$5.56B
31 May 2011,$5.85B
30 Jun 2011,$5.47B
29 Jul 2011,$6.1B
31 Aug 2011,$6.37B
30 Sep 2011,$7.42B
31 Oct 2011,$6.69B
30 Nov 2011,$7.22B
30 Dec 2011,$7.54B
31 Jan 2012,$7.49B
29 Feb 2012,$7.22B
30 Mar 2012,$7.53B
30 Apr 2012,$7.86B
31 May 2012,$8.26B
29 Jun 2012,$8.73B
31 Jul 2012,$9.6B
31 Aug 2012,$10.15B
28 Sep 2012,$9.69B
31 Oct 2012,$9.96B
30 Nov 2012,$9.4B
31 Dec 2012,$8.7B
31 Jan 2013,$9.3B
28 Feb 2013,$10.65B
29 Mar 2013,$11.99B
30 Apr 2013,$11.63B
31 May 2013,$9.88B
28 Jun 2013,$11.29B
31 Jul 2013,$11.59B
30 Aug 2013,$11.51B
30 Sep 2013,$11.61B
31 Oct 2013,$10.99B
29 Nov 2013,$10.24B
31 Dec 2013,$9.9B
31 Jan 2014,$10.58B
28 Feb 2014,$10.31B
31 Mar 2014,$10.49B
30 Apr 2014,$10.21B
30 May 2014,$11.58B
30 Jun 2014,$11.86B
31 Jul 2014,$13.31B
29 Aug 2014,$14B
30 Sep 2014,$14.12B
31 Oct 2014,$16.29B
28 Nov 2014,$16.63B
31 Dec 2014,$18.06B
30 Jan 2015,$20.11B
27 Feb 2015,$22.78B
31 Mar 2015,$26.47B
30 Apr 2015,$23.2B
29 May 2015,$22.33B
30 Jun 2015,$21.48B
31 Jul 2015,$21.93B
31 Aug 2015,$18.63B
30 Sep 2015,$18.7B
30 Oct 2015,$20.99B
30 Nov 2015,$20.36B
31 Dec 2015,$21.07B
29 Jan 2016,$22.18B
29 Feb 2016,$23.53B
31 Mar 2016,$23.68B
29 Apr 2016,$23.43B
31 May 2016,$22.33B
30 Jun 2016,$21.92B
29 Jul 2016,$21.2B
31 Aug 2016,$19.99B
30 Sep 2016,$20.44B
31 Oct 2016,$20.22B
30 Nov 2016,$20.59B
30 Dec 2016,$20.33B
31 Jan 2017,$19.23B
28 Feb 2017,$20.01B
31 Mar 2017,$20.04B
28 Apr 2017,$19.87B
31 May 2017,$21.67B
30 Jun 2017,$22.13B
31 Jul 2017,$22.96B
31 Aug 2017,$23.43B
29 Sep 2017,$24.11B
31 Oct 2017,$25.63B
30 Nov 2017,$28.05B
29 Dec 2017,$28.4B
31 Jan 2018,$29.44B
28 Feb 2018,$29.55B
30 Mar 2018,$30.91B
30 Apr 2018,$30.73B
31 May 2018,$32.72B
29 Jun 2018,$33.86B
31 Jul 2018,$34.74B
31 Aug 2018,$34.22B
28 Sep 2018,$33.51B
31 Oct 2018,$30.8B
30 Nov 2018,$32.53B
31 Dec 2018,$32.59B
31 Jan 2019,$33.09B
28 Feb 2019,$36.07B
29 Mar 2019,$37.65B
30 Apr 2019,$36.56B
31 May 2019,$40.52B
31 Jul 2019,$44.37B
30 Aug 2019,$48.91B
30 Sep 2019,$51.82B
31 Oct 2019,$48.73B
29 Nov 2019,$46.75B
31 Dec 2019,$45.41B
31 Jan 2020,$44.25B
28 Feb 2020,$37.9B
31 Mar 2020,$42.98B
30 Apr 2020,$43.73B
29 May 2020,$48.53B
5 Jun 2020,$45.94B
30 Jun 2020,$43.62B
17 Jul 2020,$42.76B
31 Jul 2020,$37.79B
6 Aug 2020,$38.27B
1 Sep 2020,$41.84B
17 Sep 2020,$44.18B
24 Sep 2020,$45.51B
30 Sep 2020,$44.04B
7 Oct 2020,$45.04B
15 Oct 2020,$45.69B
22 Oct 2020,$45.18B
30 Oct 2020,$44.28B
4 Nov 2020,$46.51B
11 Nov 2020,$51.3B
19 Nov 2020,$52.91B
30 Nov 2020,$52.83B
4 Dec 2020,$52.89B
18 Dec 2020,$49.91B
23 Dec 2020,$48.7B
31 Dec 2020,$49.8B
15 Jan 2021,$46.95B
22 Jan 2021,$47.1B
29 Jan 2021,$47.95B
19 Feb 2021,$51.93B
26 Feb 2021,$51.12B
17 Mar 2021,$49.11B
25 Mar 2021,$47.6B
31 Mar 2021,$47.65B
6 Apr 2021,$47.14B
16 Apr 2021,$44.46B
21 Apr 2021,$42.88B
30 Apr 2021,$43.44B
13 May 2021,$41B
19 May 2021,$42.55B
31 May 2021,$45.12B
4 Jun 2021,$47.2B
10 Jun 2021,$45.05B
30 Jun 2021,$44.62B
9 Jul 2021,$45.11B
16 Jul 2021,$44.47B
19 Jul 2021,$43.72B
30 Jul 2021,$45.19B
12 Aug 2021,$46.05B
13 Aug 2021,$46.9B
20 Aug 2021,$47.07B
31 Aug 2021,$47.63B
3 Sep 2021,$49.7B
10 Sep 2021,$48.98B
17 Sep 2021,$50.96B
24 Sep 2021,$51.62B
2 Oct 2021,$52.93B
9 Oct 2021,$51.14B
16 Oct 2021,$51.77B
23 Oct 2021,$51.48B
30 Oct 2021,$51.94B
6 Nov 2021,$52.29B
13 Nov 2021,$54.79B
20 Nov 2021,$55.17B
27 Nov 2021,$53.71B
4 Dec 2021,$51.77B
10 Dec 2021,$54.67B
