timeline,SoftBank
31 Jan 2001,$6.55B
28 Feb 2001,$4.85B
30 Mar 2001,$12.79B
30 Apr 2001,$12.54B
31 May 2001,$12.46B
29 Jun 2001,$10.84B
31 Jul 2001,$8.42B
31 Aug 2001,$6.82B
28 Sep 2001,$5.72B
31 Oct 2001,$7.24B
30 Nov 2001,$7.58B
31 Dec 2001,$6.73B
31 Jan 2002,$4.88B
28 Feb 2002,$4.34B
29 Mar 2002,$6.14B
30 Apr 2002,$5.25B
31 May 2002,$5.59B
28 Jun 2002,$4.38B
31 Jul 2002,$4.07B
30 Aug 2002,$3.38B
30 Sep 2002,$3.1B
31 Oct 2002,$2.53B
29 Nov 2002,$3.79B
31 Dec 2002,$3.8B
31 Jan 2003,$4.11B
28 Feb 2003,$4.48B
31 Mar 2003,$4.04B
30 Apr 2003,$3.81B
30 May 2003,$4.58B
30 Jun 2003,$5.95B
31 Jul 2003,$10.02B
29 Aug 2003,$9.52B
30 Sep 2003,$14.32B
31 Oct 2003,$17.26B
28 Nov 2003,$13.14B
31 Dec 2003,$10.19B
30 Jan 2004,$11.45B
27 Feb 2004,$12.38B
31 Mar 2004,$15.67B
30 Apr 2004,$15.81B
31 May 2004,$13.18B
30 Jun 2004,$15.11B
30 Jul 2004,$12.18B
31 Aug 2004,$14.76B
30 Sep 2004,$14.94B
29 Oct 2004,$16.17B
30 Nov 2004,$17.22B
31 Dec 2004,$16.78B
31 Jan 2005,$16.34B
28 Feb 2005,$14.78B
31 Mar 2005,$14.41B
29 Apr 2005,$13.88B
31 May 2005,$12.48B
30 Jun 2005,$13.53B
29 Jul 2005,$14.24B
31 Aug 2005,$17.05B
30 Sep 2005,$19.68B
31 Oct 2005,$19.74B
30 Nov 2005,$28.38B
30 Dec 2005,$15.11B
31 Jan 2006,$34.53B
28 Feb 2006,$33.59B
31 Mar 2006,$30.6B
31 Jul 2006,$18.99B
31 Aug 2006,$18.1B
29 Sep 2006,$20.31B
