timeline,Sumitomo Mitsui Financial Group
31 Mar 2003,$10.62B
30 Apr 2003,$8.9B
30 May 2003,$9.3B
30 Jun 2003,$12.11B
31 Jul 2003,$13.78B
29 Aug 2003,$19.52B
30 Sep 2003,$24.46B
31 Oct 2003,$30.71B
28 Nov 2003,$27.56B
31 Dec 2003,$29.85B
30 Jan 2004,$30.43B
27 Feb 2004,$31.58B
31 Mar 2004,$40.47B
30 Apr 2004,$42.49B
31 May 2004,$39.89B
30 Jul 2004,$34.11B
31 Aug 2004,$34.4B
30 Sep 2004,$32.38B
29 Oct 2004,$36.71B
30 Nov 2004,$40.18B
31 Dec 2004,$41.91B
31 Jan 2005,$40.47B
28 Feb 2005,$39.02B
31 Mar 2005,$39.91B
29 Apr 2005,$37.27B
31 May 2005,$36.98B
30 Jun 2005,$39.91B
29 Jul 2005,$38.44B
31 Aug 2005,$47.25B
30 Sep 2005,$55.17B
31 Oct 2005,$52.53B
30 Nov 2005,$56.35B
30 Dec 2005,$62.51B
31 Jan 2006,$66.62B
28 Feb 2006,$64.56B
31 Mar 2006,$81.6B
28 Apr 2006,$80.48B
31 May 2006,$77.52B
30 Jun 2006,$77.96B
31 Jul 2006,$80.11B
31 Aug 2006,$82.71B
29 Sep 2006,$77.89B
31 Oct 2006,$83.08B
30 Nov 2006,$74.55B
29 Dec 2006,$75.66B
28 Feb 2007,$70.84B
30 Mar 2007,$68.84B
30 Apr 2007,$65.06B
31 May 2007,$73.99B
29 Jun 2007,$70.05B
31 Jul 2007,$69.22B
31 Aug 2007,$59.76B
28 Sep 2007,$58.33B
31 Oct 2007,$61.05B
30 Nov 2007,$63.92B
31 Dec 2007,$55.07B
31 Jan 2008,$60.6B
29 Feb 2008,$56.21B
31 Mar 2008,$52.36B
30 Apr 2008,$66.35B
30 May 2008,$66.43B
30 Jun 2008,$58.09B
31 Jul 2008,$60.65B
29 Aug 2008,$47.62B
30 Sep 2008,$45.91B
31 Oct 2008,$29.92B
28 Nov 2008,$27.89B
31 Dec 2008,$31.97B
30 Jan 2009,$31.35B
27 Feb 2009,$25.07B
31 Mar 2009,$26.6B
30 Apr 2009,$26.61B
29 May 2009,$29.67B
30 Jun 2009,$40.43B
31 Jul 2009,$42.39B
31 Aug 2009,$42.78B
30 Sep 2009,$34.95B
30 Oct 2009,$35.12B
30 Nov 2009,$33.05B
31 Dec 2009,$28.44B
29 Jan 2010,$32.49B
26 Feb 2010,$32.16B
31 Mar 2010,$46.49B
30 Apr 2010,$46.33B
31 May 2010,$41.5B
30 Jun 2010,$39.99B
30 Jul 2010,$43.1B
31 Aug 2010,$41.33B
30 Sep 2010,$40.56B
29 Oct 2010,$41.24B
30 Nov 2010,$42.6B
31 Dec 2010,$49.57B
31 Jan 2011,$47.51B
28 Feb 2011,$52.79B
31 Mar 2011,$42.94B
29 Apr 2011,$42.26B
31 May 2011,$40.13B
30 Jun 2011,$42.71B
29 Jul 2011,$43.72B
31 Aug 2011,$41.09B
30 Sep 2011,$40.65B
31 Oct 2011,$41.36B
30 Nov 2011,$37.87B
30 Dec 2011,$39.02B
31 Jan 2012,$43.8B
29 Feb 2012,$47.24B
30 Mar 2012,$45.65B
30 Apr 2012,$45.45B
31 May 2012,$40.95B
29 Jun 2012,$46.54B
31 Jul 2012,$43.34B
31 Aug 2012,$41.78B
28 Sep 2012,$42.55B
31 Oct 2012,$43.37B
30 Nov 2012,$45.67B
31 Dec 2012,$49.05B
31 Jan 2013,$54.56B
28 Feb 2013,$54.4B
29 Mar 2013,$54.28B
30 Apr 2013,$63.72B
31 May 2013,$54.3B
28 Jun 2013,$62.54B
31 Jul 2013,$62.55B
30 Aug 2013,$60.49B
30 Sep 2013,$66.31B
31 Oct 2013,$65.43B
29 Nov 2013,$67.73B
31 Dec 2013,$70.62B
31 Jan 2014,$64.17B
28 Feb 2014,$60.78B
31 Mar 2014,$58.58B
30 Apr 2014,$53.75B
30 May 2014,$55.16B
30 Jun 2014,$57.21B
31 Jul 2014,$56.61B
29 Aug 2014,$55.37B
30 Sep 2014,$55.88B
31 Oct 2014,$55.07B
28 Nov 2014,$51.92B
31 Dec 2014,$50.07B
30 Jan 2015,$46.13B
27 Feb 2015,$54.5B
31 Mar 2015,$52.41B
30 Apr 2015,$60.23B
29 May 2015,$62.6B
30 Jun 2015,$60.83B
31 Jul 2015,$61.08B
31 Aug 2015,$55.99B
30 Sep 2015,$51.45B
30 Oct 2015,$54.91B
30 Nov 2015,$52.28B
31 Dec 2015,$52.27B
29 Jan 2016,$45.76B
29 Feb 2016,$38.02B
31 Mar 2016,$41.51B
29 Apr 2016,$43.17B
31 May 2016,$44.62B
30 Jun 2016,$38.91B
29 Jul 2016,$43.15B
31 Aug 2016,$48.12B
30 Sep 2016,$45.65B
31 Oct 2016,$47.75B
30 Nov 2016,$51.11B
30 Dec 2016,$52.43B
31 Jan 2017,$53.53B
28 Feb 2017,$53.06B
31 Mar 2017,$51.01B
28 Apr 2017,$52.26B
31 May 2017,$50.55B
30 Jun 2017,$55.12B
31 Jul 2017,$53.54B
31 Aug 2017,$52.5B
29 Sep 2017,$54.15B
31 Oct 2017,$56.38B
30 Nov 2017,$57.25B
29 Dec 2017,$60.82B
31 Jan 2018,$63.27B
28 Feb 2018,$61.5B
30 Mar 2018,$59.04B
30 Apr 2018,$58.85B
31 May 2018,$58.19B
29 Jun 2018,$54.75B
31 Jul 2018,$55.87B
31 Aug 2018,$55.08B
28 Sep 2018,$56.44B
31 Oct 2018,$54.48B
30 Nov 2018,$51.47B
31 Dec 2018,$46.1B
31 Jan 2019,$51.79B
28 Feb 2019,$49.62B
29 Mar 2019,$48.88B
30 Apr 2019,$50.24B
31 May 2019,$48.12B
28 Jun 2019,$49.13B
31 Jul 2019,$48.26B
30 Aug 2019,$44.84B
30 Sep 2019,$47B
31 Oct 2019,$48.96B
29 Nov 2019,$50B
31 Dec 2019,$50.78B
31 Jan 2020,$48.83B
28 Feb 2020,$43.5B
5 Mar 2020,$42.07B
13 Mar 2020,$34.63B
31 Mar 2020,$33.24B
23 Apr 2020,$34.67B
30 Apr 2020,$36.53B
29 May 2020,$39.67B
2 Jul 2020,$38.93B
16 Jul 2020,$40.04B
24 Jul 2020,$38.89B
6 Aug 2020,$37.61B
13 Aug 2020,$39.78B
2 Sep 2020,$40.37B
9 Sep 2020,$39.21B
16 Sep 2020,$40.11B
24 Sep 2020,$40B
30 Sep 2020,$37.84B
8 Oct 2020,$38.96B
22 Oct 2020,$38.84B
30 Oct 2020,$37.76B
6 Nov 2020,$39.11B
13 Nov 2020,$40.04B
20 Nov 2020,$41.61B
30 Nov 2020,$39.89B
4 Dec 2020,$41.02B
11 Dec 2020,$40.76B
18 Dec 2020,$41.86B
31 Dec 2020,$42.47B
8 Jan 2021,$46.14B
22 Jan 2021,$44.32B
29 Jan 2021,$42.64B
2 Feb 2021,$43.06B
9 Feb 2021,$45.88B
23 Feb 2021,$49.12B
2 Mar 2021,$48.31B
18 Mar 2021,$53.61B
26 Mar 2021,$52.91B
1 Apr 2021,$49.04B
8 Apr 2021,$48.46B
14 Apr 2021,$48.42B
21 Apr 2021,$47.42B
30 Apr 2021,$47.84B
6 May 2021,$49.39B
14 May 2021,$50.06B
20 May 2021,$50.13B
3 Jun 2021,$50.95B
10 Jun 2021,$49.46B
30 Jun 2021,$47.48B
9 Jul 2021,$46.38B
16 Jul 2021,$46.99B
21 Jul 2021,$45.84B
30 Jul 2021,$46.73B
12 Aug 2021,$48.69B
13 Aug 2021,$48.45B
27 Aug 2021,$47.62B
3 Sep 2021,$48.65B
10 Sep 2021,$49.2B
17 Sep 2021,$49.34B
24 Sep 2021,$49.89B
2 Oct 2021,$48.01B
9 Oct 2021,$47.62B
16 Oct 2021,$47.08B
23 Oct 2021,$46.39B
30 Oct 2021,$44.99B
6 Nov 2021,$46.05B
20 Nov 2021,$46.54B
27 Nov 2021,$45.64B
4 Dec 2021,$45.92B
10 Dec 2021,$46.73B
