timeline,Sony
31 Jan 2001,$67.29B
28 Feb 2001,$65.43B
30 Mar 2001,$66.44B
30 Apr 2001,$70.49B
31 May 2001,$71.82B
29 Jun 2001,$60.43B
31 Jul 2001,$45.48B
31 Aug 2001,$41.24B
28 Sep 2001,$30.49B
31 Oct 2001,$35.09B
30 Nov 2001,$43.81B
31 Dec 2001,$41.42B
31 Jan 2002,$41.11B
28 Feb 2002,$42.43B
29 Mar 2002,$47.71B
30 Apr 2002,$50.02B
31 May 2002,$53.62B
28 Jun 2002,$49B
31 Jul 2002,$41.83B
30 Aug 2002,$40.15B
30 Sep 2002,$37.93B
31 Oct 2002,$39.9B
29 Nov 2002,$40.93B
31 Dec 2002,$38.04B
31 Jan 2003,$36.79B
28 Feb 2003,$34.97B
31 Mar 2003,$32.51B
30 Apr 2003,$22.9B
30 May 2003,$25.3B
30 Jun 2003,$25.91B
31 Jul 2003,$28.87B
29 Aug 2003,$30.49B
30 Sep 2003,$32.13B
31 Oct 2003,$32.5B
28 Nov 2003,$31.72B
31 Dec 2003,$32.07B
30 Jan 2004,$37.6B
27 Feb 2004,$37.87B
31 Mar 2004,$38.73B
30 Apr 2004,$35.57B
31 May 2004,$34.16B
30 Jun 2004,$35.19B
30 Jul 2004,$32.05B
31 Aug 2004,$32.07B
30 Sep 2004,$31.83B
29 Oct 2004,$32.25B
30 Nov 2004,$33.65B
31 Dec 2004,$36.05B
31 Jan 2005,$34.26B
28 Feb 2005,$34.97B
31 Mar 2005,$39.86B
29 Apr 2005,$36.57B
31 May 2005,$37.12B
30 Jun 2005,$34.31B
29 Jul 2005,$32.38B
31 Aug 2005,$33.49B
30 Sep 2005,$33.07B
31 Oct 2005,$32.69B
30 Nov 2005,$36.88B
30 Dec 2005,$40.71B
31 Jan 2006,$48.79B
28 Feb 2006,$46.77B
31 Mar 2006,$46.11B
28 Apr 2006,$48.99B
31 May 2006,$45.21B
30 Jun 2006,$44.09B
31 Jul 2006,$46.05B
31 Aug 2006,$43.46B
29 Sep 2006,$40.41B
31 Oct 2006,$41.03B
30 Nov 2006,$39.46B
29 Dec 2006,$42.89B
31 Jan 2007,$46.39B
28 Feb 2007,$51.8B
30 Mar 2007,$50.59B
30 Apr 2007,$53.37B
31 May 2007,$57.82B
29 Jun 2007,$51.5B
31 Jul 2007,$52.87B
31 Aug 2007,$47.9B
28 Sep 2007,$48.2B
31 Oct 2007,$49.61B
30 Nov 2007,$54.13B
31 Dec 2007,$54.47B
31 Jan 2008,$47.65B
29 Feb 2008,$47.36B
31 Mar 2008,$46.73B
30 Apr 2008,$53.4B
30 May 2008,$58.77B
30 Jun 2008,$49.08B
31 Jul 2008,$42.27B
29 Aug 2008,$42.87B
30 Sep 2008,$34.64B
31 Oct 2008,$26.08B
28 Nov 2008,$21.75B
31 Dec 2008,$24.54B
30 Jan 2009,$21.57B
27 Feb 2009,$18.58B
31 Mar 2009,$23.15B
30 Apr 2009,$29.02B
29 May 2009,$29.44B
30 Jun 2009,$26.31B
31 Jul 2009,$28.36B
31 Aug 2009,$27.17B
30 Sep 2009,$29.76B
30 Oct 2009,$31.07B
30 Nov 2009,$27.06B
31 Dec 2009,$28.79B
29 Jan 2010,$33.41B
26 Feb 2010,$34.44B
31 Mar 2010,$38.69B
30 Apr 2010,$34.88B
31 May 2010,$31.06B
30 Jun 2010,$27B
30 Jul 2010,$31.33B
