timeline,Takeda Pharmaceutical
31 Mar 2008,$45.35B
30 Apr 2008,$48.2B
30 May 2008,$51.58B
30 Jun 2008,$45.18B
31 Jul 2008,$45.71B
29 Aug 2008,$45.98B
30 Sep 2008,$44.29B
31 Oct 2008,$42.06B
28 Nov 2008,$42.33B
31 Dec 2008,$45.8B
30 Jan 2009,$41B
27 Feb 2009,$35.13B
31 Mar 2009,$27.55B
30 Apr 2009,$27.85B
29 May 2009,$30.83B
30 Jun 2009,$30.42B
31 Jul 2009,$31.57B
31 Aug 2009,$31.5B
30 Sep 2009,$32.33B
30 Oct 2009,$31.26B
30 Nov 2009,$32.49B
31 Dec 2009,$32.44B
29 Jan 2010,$34.59B
26 Feb 2010,$35.68B
31 Mar 2010,$34.57B
30 Apr 2010,$33.71B
31 May 2010,$32.03B
30 Jun 2010,$33.6B
30 Jul 2010,$36.49B
31 Aug 2010,$36.22B
29 Oct 2010,$37.65B
30 Nov 2010,$36.5B
31 Dec 2010,$38.44B
31 Jan 2011,$38.02B
28 Feb 2011,$39.44B
31 Mar 2011,$36.88B
29 Apr 2011,$38.35B
31 May 2011,$37.37B
30 Jun 2011,$36.44B
29 Jul 2011,$37.89B
31 Aug 2011,$38.05B
30 Sep 2011,$37.29B
31 Oct 2011,$35.38B
30 Nov 2011,$32.21B
30 Dec 2011,$34.81B
31 Jan 2012,$34.21B
29 Feb 2012,$35.55B
30 Mar 2012,$34.73B
30 Apr 2012,$34.22B
31 May 2012,$32.7B
29 Jun 2012,$35.96B
31 Jul 2012,$36.43B
31 Aug 2012,$36.88B
28 Sep 2012,$36.55B
31 Oct 2012,$36.76B
30 Nov 2012,$36.22B
31 Dec 2012,$35.39B
31 Jan 2013,$40.74B
28 Feb 2013,$40.99B
29 Mar 2013,$42.17B
30 Apr 2013,$43.17B
31 May 2013,$35.13B
28 Jun 2013,$35.91B
31 Jul 2013,$35.23B
30 Aug 2013,$35.89B
30 Sep 2013,$37.4B
31 Oct 2013,$37.38B
29 Nov 2013,$38.37B
31 Dec 2013,$36.3B
31 Jan 2014,$36.81B
28 Feb 2014,$37.66B
31 Mar 2014,$37.53B
30 Apr 2014,$35.31B
30 May 2014,$35.75B
30 Jun 2014,$36.58B
31 Jul 2014,$36.27B
29 Aug 2014,$36.16B
30 Sep 2014,$34.41B
31 Oct 2014,$34.73B
28 Nov 2014,$33.31B
31 Dec 2014,$33.02B
30 Jan 2015,$39.41B
27 Feb 2015,$40.49B
31 Mar 2015,$39.28B
30 Apr 2015,$40.66B
29 May 2015,$38.33B
30 Jun 2015,$37.86B
31 Jul 2015,$39.52B
31 Aug 2015,$38.66B
30 Sep 2015,$34.34B
30 Oct 2015,$38.52B
30 Nov 2015,$38.29B
31 Dec 2015,$39.58B
29 Jan 2016,$38.17B
29 Feb 2016,$37.12B
31 Mar 2016,$35.8B
29 Apr 2016,$38.14B
31 May 2016,$33.91B
30 Jun 2016,$33.72B
29 Jul 2016,$34.3B
31 Aug 2016,$34.73B
30 Sep 2016,$37.34B
31 Oct 2016,$35.22B
30 Nov 2016,$32.63B
30 Dec 2016,$32.58B
31 Jan 2017,$32.56B
28 Feb 2017,$36.29B
31 Mar 2017,$36.52B
28 Apr 2017,$37.49B
31 May 2017,$40.2B
30 Jun 2017,$39.8B
31 Jul 2017,$41.23B
31 Aug 2017,$42.96B
29 Sep 2017,$43.15B
31 Oct 2017,$44.21B
30 Nov 2017,$43.12B
29 Dec 2017,$44.29B
31 Jan 2018,$46.09B
28 Feb 2018,$44.44B
30 Mar 2018,$38.02B
30 Apr 2018,$33.11B
31 May 2018,$31.99B
29 Jun 2018,$33.07B
31 Jul 2018,$32.9B
31 Aug 2018,$32.75B
28 Sep 2018,$33.49B
31 Oct 2018,$31.58B
30 Nov 2018,$29.31B
31 Dec 2018,$26.23B
31 Jan 2019,$62.48B
28 Feb 2019,$62.54B
29 Mar 2019,$63.39B
30 Apr 2019,$57.23B
31 May 2019,$52.15B
28 Jun 2019,$55.15B
31 Jul 2019,$52.05B
30 Aug 2019,$53.15B
30 Sep 2019,$53.24B
31 Oct 2019,$56.23B
29 Nov 2019,$64.11B
31 Dec 2019,$61.97B
31 Jan 2020,$60.45B
28 Feb 2020,$53.44B
5 Mar 2020,$56.34B
31 Mar 2020,$47.68B
7 Apr 2020,$49.54B
30 Apr 2020,$56.73B
29 May 2020,$60.64B
5 Jun 2020,$57.67B
25 Jun 2020,$57.19B
2 Jul 2020,$55.25B
14 Jul 2020,$53.91B
21 Jul 2020,$55.45B
24 Jul 2020,$54.95B
31 Jul 2020,$55.89B
6 Aug 2020,$57.11B
13 Aug 2020,$58.49B
14 Aug 2020,$58.64B
20 Aug 2020,$59.78B
27 Aug 2020,$59.02B
31 Aug 2020,$59.13B
10 Sep 2020,$57.4B
24 Sep 2020,$59.12B
30 Sep 2020,$55.38B
8 Oct 2020,$53.91B
15 Oct 2020,$53.32B
22 Oct 2020,$52.08B
30 Oct 2020,$48.54B
5 Nov 2020,$52.51B
13 Nov 2020,$53.55B
20 Nov 2020,$54.94B
25 Nov 2020,$55.16B
4 Dec 2020,$58.7B
11 Dec 2020,$58.07B
18 Dec 2020,$58.76B
24 Dec 2020,$56.32B
31 Dec 2020,$56.92B
8 Jan 2021,$56.06B
15 Jan 2021,$54.22B
22 Jan 2021,$54.17B
29 Jan 2021,$55.43B
4 Feb 2021,$54.49B
12 Feb 2021,$55.5B
19 Feb 2021,$55.15B
26 Feb 2021,$53.07B
4 Mar 2021,$55.66B
10 Mar 2021,$58.03B
17 Mar 2021,$61.51B
23 Mar 2021,$61.74B
31 Mar 2021,$56.94B
9 Apr 2021,$54.07B
16 Apr 2021,$53.72B
21 Apr 2021,$52.57B
30 Apr 2021,$52.61B
5 May 2021,$52.4B
14 May 2021,$53.83B
20 May 2021,$54.25B
28 May 2021,$54.03B
31 May 2021,$53.33B
4 Jun 2021,$52.49B
11 Jun 2021,$54.45B
30 Jun 2021,$53.03B
9 Jul 2021,$52.31B
16 Jul 2021,$53.64B
20 Jul 2021,$53.6B
30 Jul 2021,$53.38B
6 Aug 2021,$51.14B
13 Aug 2021,$53.01B
20 Aug 2021,$52.87B
27 Aug 2021,$52.3B
31 Aug 2021,$52.61B
3 Sep 2021,$53.48B
10 Sep 2021,$53.3B
17 Sep 2021,$54.18B
24 Sep 2021,$53.12B
2 Oct 2021,$52.02B
9 Oct 2021,$45.08B
16 Oct 2021,$44.54B
23 Oct 2021,$44.25B
30 Oct 2021,$44.09B
6 Nov 2021,$44.83B
13 Nov 2021,$45.56B
20 Nov 2021,$44.39B
27 Nov 2021,$42.82B
4 Dec 2021,$42.44B
10 Dec 2021,$42.59B
