timeline,Toyota
31 Jan 2001,$127.69B
28 Feb 2001,$130.48B
30 Mar 2001,$130.36B
30 Apr 2001,$124.76B
31 May 2001,$131.28B
29 Jun 2001,$129.8B
31 Jul 2001,$122.16B
31 Aug 2001,$112.58B
28 Sep 2001,$95.53B
31 Oct 2001,$90.65B
30 Nov 2001,$95.63B
31 Dec 2001,$93.89B
31 Jan 2002,$96.47B
28 Feb 2002,$94.8B
29 Mar 2002,$106.12B
30 Apr 2002,$100.06B
31 May 2002,$101.05B
28 Jun 2002,$96.72B
31 Jul 2002,$87.55B
30 Aug 2002,$91.32B
30 Sep 2002,$93.26B
31 Oct 2002,$88.69B
29 Nov 2002,$96.54B
31 Dec 2002,$96.72B
31 Jan 2003,$87.23B
28 Feb 2003,$86.65B
31 Mar 2003,$77.58B
30 Apr 2003,$78.14B
30 May 2003,$82.29B
30 Jun 2003,$89.4B
31 Jul 2003,$88.53B
29 Aug 2003,$95.59B
30 Sep 2003,$102.77B
31 Oct 2003,$100.13B
28 Nov 2003,$102.81B
31 Dec 2003,$118.65B
30 Jan 2004,$114.59B
27 Feb 2004,$119.31B
31 Mar 2004,$124.06B
30 Apr 2004,$121.91B
31 May 2004,$120.48B
30 Jun 2004,$135.92B
30 Jul 2004,$133.22B
31 Aug 2004,$131.87B
30 Sep 2004,$127.19B
29 Oct 2004,$129.21B
30 Nov 2004,$124.41B
31 Dec 2004,$136.33B
31 Jan 2005,$130.2B
28 Feb 2005,$129.52B
31 Mar 2005,$121.54B
29 Apr 2005,$118.81B
31 May 2005,$117.18B
30 Jun 2005,$116.82B
29 Jul 2005,$123.96B
31 Aug 2005,$133.96B
30 Sep 2005,$150.94B
31 Oct 2005,$151.66B
30 Nov 2005,$158.09B
30 Dec 2005,$170.95B
31 Jan 2006,$169.47B
28 Feb 2006,$174.63B
31 Mar 2006,$176.51B
28 Apr 2006,$189.85B
31 May 2006,$174.05B
30 Jun 2006,$169.53B
31 Jul 2006,$170.55B
31 Aug 2006,$175.61B
29 Sep 2006,$176.51B
31 Oct 2006,$191.26B
30 Nov 2006,$194.59B
29 Dec 2006,$217.7B
31 Jan 2007,$213.6B
28 Feb 2007,$216.55B
30 Mar 2007,$204.92B
30 Apr 2007,$194.15B
31 May 2007,$193.09B
29 Jun 2007,$201.28B
31 Jul 2007,$192.88B
31 Aug 2007,$184.97B
28 Sep 2007,$186.86B
31 Oct 2007,$182.99B
30 Nov 2007,$179.8B
31 Dec 2007,$169.76B
31 Jan 2008,$173.2B
29 Feb 2008,$173.57B
31 Mar 2008,$158.87B
30 Apr 2008,$159.83B
30 May 2008,$160.69B
30 Jun 2008,$148.02B
31 Jul 2008,$135.5B
29 Aug 2008,$141.07B
30 Sep 2008,$134.51B
31 Oct 2008,$119.28B
28 Nov 2008,$98.92B
31 Dec 2008,$102.62B
30 Jan 2009,$99.59B
27 Feb 2009,$99.01B
31 Mar 2009,$99.25B
30 Apr 2009,$124.12B
29 May 2009,$125.67B
30 Jun 2009,$119.39B
31 Jul 2009,$132.07B
31 Aug 2009,$134.58B
30 Sep 2009,$124.94B
30 Oct 2009,$127.47B
30 Nov 2009,$125.01B
31 Dec 2009,$130.75B
