timeline,株式会社大林組
2001-01,$2.75B
2001-02,$3.17B
2001-03,$3.1B
2001-04,$4.11B
2001-05,$3.08B
2001-06,$3.11B
2001-07,$3.17B
2001-08,$3.34B
2001-09,$3.43B
2001-10,$3.4B
2001-11,$2.9B
2001-12,$2.39B
2002-01,$2.2B
2002-02,$2.21B
2002-03,$2.4B
2002-04,$2.16B
2002-05,$2.42B
2002-06,$2.18B
2002-07,$2.09B
2002-08,$2.01B
2002-09,$2.02B
2002-10,$1.7B
2002-11,$1.73B
2002-12,$1.69B
2003-02,$1.81B
2003-03,$1.83B
2003-04,$2.07B
2003-05,$2.26B
2003-06,$2.34B
2003-07,$2.55B
2003-08,$2.43B
2003-09,$2.9B
2003-10,$3.19B
2003-11,$2.67B
2003-12,$3.05B
2004-02,$3.19B
2004-03,$3.62B
2004-04,$3.4B
2004-05,$3.42B
2004-06,$3.74B
2004-07,$3.37B
2004-08,$3.42B
2004-09,$3.49B
2004-10,$3.63B
2004-11,$4.07B
2004-12,$4.11B
2005-01,$4.22B
2005-03,$4.21B
2005-04,$3.91B
2005-05,$3.51B
2005-06,$3.8B
2005-07,$4.02B
2005-08,$4.35B
2005-09,$4.99B
2005-10,$5.4B
2005-11,$5.38B
2005-12,$5.53B
2006-01,$6.0B
2006-02,$5.55B
2006-03,$6.1B
2006-04,$5.54B
2006-05,$5.04B
2006-06,$5.01B
2006-07,$4.72B
2006-08,$5.17B
2006-09,$5.29B
2006-10,$4.88B
2006-11,$4.65B
2006-12,$4.91B
2007-01,$4.67B
2007-02,$5.07B
2007-03,$4.84B
2007-04,$4.82B
2007-05,$4.31B
2007-06,$4.28B
2007-07,$4.03B
2007-08,$3.81B
2007-09,$3.39B
2007-10,$3.68B
2007-11,$3.57B
2007-12,$3.58B
2008-01,$3.84B
2008-02,$3.22B
2008-03,$2.65B
2008-04,$3.19B
2008-05,$3.42B
2008-06,$3.05B
2008-07,$2.96B
2008-08,$3.22B
2008-09,$3.32B
2008-10,$2.99B
2008-11,$3.45B
2008-12,$3.36B
2009-01,$2.73B
2009-02,$2.62B
2009-03,$3.03B
2009-04,$3.07B
2009-05,$2.75B
2009-06,$3.0B
2009-07,$2.68B
2009-08,$2.66B
2009-09,$2.49B
2009-10,$2.19B
2009-11,$1.83B
2009-12,$2.0B
2010-01,$2.02B
2010-02,$2.18B
2010-03,$2.63B
2010-04,$2.67B
2010-05,$2.36B
2010-06,$2.25B
2010-07,$2.34B
2010-08,$2.03B
2010-09,$2.1B
2010-10,$2.08B
2010-11,$2.21B
2010-12,$2.37B
2011-01,$2.49B
2011-02,$2.32B
2011-03,$2.35B
2011-04,$2.16B
2011-05,$2.17B
2011-06,$2.22B
2011-07,$2.26B
2011-08,$2.38B
2011-09,$2.45B
2011-10,$2.29B
2011-11,$2.02B
2011-12,$2.17B
2012-01,$2.33B
2012-03,$2.29B
2012-04,$2.15B
2012-05,$1.93B
2012-06,$2.21B
2012-07,$2.26B
2012-08,$2.15B
2012-09,$2.26B
2012-11,$2.46B
2012-12,$3.07B
2013-01,$2.97B
2013-02,$3.02B
2013-03,$2.85B
2013-04,$3.79B
2013-05,$3.13B
2013-06,$3.26B
2013-07,$3.32B
2013-08,$3.55B
2013-09,$3.71B
2013-10,$3.97B
2013-11,$3.5B
2013-12,$3.79B
2014-01,$3.87B
2014-02,$3.95B
2014-03,$3.69B
2014-04,$4.17B
2014-05,$4.32B
2014-06,$4.58B
2014-07,$4.81B
2014-08,$5.03B
2014-09,$4.76B
2014-10,$4.81B
2014-11,$4.69B
2014-12,$4.96B
2015-01,$4.76B
2015-02,$5.18B
2015-03,$4.94B
2015-04,$5.09B
2015-05,$5.16B
2015-06,$5.66B
2015-07,$6.05B
2015-08,$6.65B
2015-09,$6.45B
2015-10,$6.74B
2015-11,$7.2B
2015-12,$7.09B
2016-01,$6.83B
2016-02,$6.52B
2016-03,$7.03B
2016-04,$6.84B
2016-05,$7.39B
2016-06,$6.87B
2016-07,$7.15B
2016-08,$6.05B
2016-09,$6.31B
2016-10,$6.41B
2016-11,$6.89B
2016-12,$7.07B
2017-01,$6.81B
2017-02,$6.61B
2017-03,$6.59B
2017-04,$6.84B
2017-05,$7.75B
2017-06,$8.36B
2017-07,$8.41B
2017-08,$8.21B
2017-09,$8.54B
2017-10,$9.37B
2017-11,$9.19B
2017-12,$8.64B
2018-01,$8.31B
2018-02,$7.69B
2018-03,$7.37B
2018-04,$7.99B
2018-05,$6.96B
2018-06,$7.3B
2018-07,$7.38B
2018-08,$6.59B
2018-09,$6.81B
2018-10,$6.31B
2018-11,$7.17B
2018-12,$6.29B
2019-01,$6.54B
2019-02,$6.87B
2019-03,$7.05B
2019-04,$6.89B
2019-05,$6.32B
2019-06,$6.72B
2019-07,$6.56B
2019-08,$6.2B
2019-09,$6.81B
2019-10,$7.09B
2019-11,$7.34B
2019-12,$7.7B
2020-01,$7.68B
2020-02,$6.89B
2020-03,$6.19B
2020-04,$5.83B
2020-05,$6.31B
2020-06,$6.38B
2020-07,$6.16B
2020-08,$6.49B
2020-09,$6.05B
2020-10,$5.59B
2020-11,$6.05B
2020-12,$5.7B
2021-01,$5.74B
2021-02,$5.76B
2021-03,$6.37B
2021-04,$6.46B
2021-05,$6.07B
2021-06,$5.69B
2021-07,$5.82B
2021-08,$5.97B
2021-09,$6.17B
2021-10,$6.03B
2021-11,$5.93B
2021-12,$5.53B
