timeline,鹿島建設株式会社
2001-01,$2.36B
2001-02,$2.67B
2001-03,$2.89B
2001-04,$3.61B
2001-05,$2.8B
2001-06,$2.7B
2001-07,$2.89B
2001-08,$3.21B
2001-09,$3.6B
2001-10,$3.43B
2001-11,$3.31B
2001-12,$3.02B
2002-01,$2.8B
2002-02,$2.82B
2002-03,$2.7B
2002-04,$2.71B
2002-05,$3.24B
2002-06,$2.88B
2002-07,$3.02B
2002-08,$2.85B
2002-09,$3.14B
2002-10,$3.0B
2002-11,$2.61B
2002-12,$2.25B
2003-01,$2.1B
2003-02,$2.01B
2003-03,$1.86B
2003-04,$2.15B
2003-05,$2.25B
2003-06,$2.42B
2003-07,$2.72B
2003-08,$2.7B
2003-09,$3.21B
2003-10,$3.49B
2003-11,$2.96B
2003-12,$2.95B
2004-01,$3.19B
2004-02,$3.24B
2004-03,$4.17B
2004-04,$3.6B
2004-05,$3.37B
2004-06,$3.78B
2004-07,$3.51B
2004-08,$3.53B
2004-09,$3.36B
2004-10,$3.73B
2004-11,$4.16B
2004-12,$4.11B
2005-01,$4.26B
2005-02,$4.02B
2005-03,$4.13B
2005-04,$3.72B
2005-05,$3.47B
2005-06,$3.82B
2005-07,$3.8B
2005-08,$4.13B
2005-09,$5.04B
2005-10,$5.6B
2005-12,$6.32B
2006-01,$7.19B
2006-02,$6.4B
2006-03,$6.85B
2006-04,$6.01B
2006-05,$5.12B
2006-06,$4.9B
2006-07,$4.5B
2006-08,$5.07B
2006-09,$5.04B
2006-10,$5.21B
2006-11,$5.11B
2006-12,$4.87B
2007-01,$5.2B
2007-02,$5.86B
2007-03,$5.61B
2007-04,$5.54B
2007-05,$4.63B
2007-06,$4.81B
2007-07,$4.56B
2007-08,$4.5B
2007-09,$3.68B
2007-10,$3.79B
2007-11,$3.39B
2007-12,$3.4B
2008-01,$3.18B
2008-02,$3.06B
2008-03,$2.63B
2008-04,$3.25B
2008-05,$4.01B
2008-06,$3.46B
2008-07,$3.28B
2008-08,$3.17B
2008-09,$2.92B
2008-10,$2.58B
2008-12,$2.89B
2009-01,$2.26B
2009-02,$1.92B
2009-03,$2.17B
2009-04,$2.54B
2009-05,$2.64B
2009-06,$2.7B
2009-07,$2.39B
2009-08,$2.34B
2009-09,$2.06B
2009-10,$1.93B
2009-11,$1.5B
2009-12,$1.68B
2010-01,$1.69B
2010-02,$1.86B
2010-03,$2.1B
2010-04,$2.19B
2010-05,$1.97B
2010-06,$1.86B
2010-07,$1.89B
2010-08,$1.81B
2010-09,$1.84B
2010-10,$1.73B
2010-11,$1.92B
2010-12,$1.98B
2011-02,$2.0B
2011-03,$2.14B
2011-04,$2.12B
2011-05,$2.08B
2011-06,$2.11B
2011-07,$2.19B
2011-08,$2.22B
2011-09,$2.36B
2011-10,$2.32B
2011-11,$2.1B
2011-12,$2.16B
2012-01,$2.36B
2012-02,$2.3B
2012-03,$2.31B
2012-04,$2.09B
2012-05,$1.88B
2012-06,$2.14B
2012-07,$2.06B
2012-08,$1.99B
2012-09,$1.95B
2012-10,$2.03B
2012-11,$2.17B
2012-12,$2.6B
2013-01,$2.51B
2013-03,$2.35B
2013-04,$2.85B
2013-05,$2.75B
2013-06,$3.01B
2013-07,$3.16B
2013-08,$3.22B
2013-09,$3.66B
2013-10,$3.8B
2013-11,$3.51B
2013-12,$3.62B
2014-01,$3.5B
2014-02,$3.28B
2014-03,$3.32B
2014-04,$3.56B
2014-05,$3.87B
2014-06,$4.1B
2014-07,$4.43B
2014-08,$4.87B
2014-09,$4.81B
2014-10,$4.51B
2014-11,$4.3B
2014-12,$4.57B
2015-01,$4.3B
2015-02,$5.19B
2015-03,$5.11B
2015-04,$5.25B
2015-05,$5.01B
2015-06,$5.27B
2015-07,$5.64B
2015-08,$6.25B
2015-09,$5.8B
2015-10,$6.38B
2015-11,$6.19B
2015-12,$6.63B
2016-01,$6.19B
2016-02,$5.93B
2016-03,$6.47B
2016-04,$6.27B
2016-05,$6.91B
2016-06,$6.48B
2016-07,$6.98B
2016-08,$6.36B
2016-09,$6.45B
2016-10,$6.49B
2016-11,$7.34B
2016-12,$7.41B
2017-01,$7.21B
2017-02,$6.7B
2017-03,$6.65B
2017-04,$6.93B
2017-05,$7.79B
2017-06,$8.68B
2017-07,$8.81B
2017-08,$9.24B
2017-09,$10.24B
2017-10,$10.74B
2017-11,$10.79B
2017-12,$9.92B
2018-01,$9.88B
2018-02,$9.36B
2018-03,$9.04B
2018-04,$9.66B
2018-05,$8.13B
2018-06,$7.85B
2018-07,$7.97B
2018-08,$7.32B
2018-09,$7.56B
2018-10,$6.66B
2018-11,$7.19B
2018-12,$6.77B
2019-01,$7.08B
2019-02,$7.54B
2019-03,$7.48B
2019-04,$7.53B
2019-05,$6.8B
2019-06,$6.75B
2019-07,$6.37B
2019-08,$5.85B
2019-09,$6.42B
2019-10,$6.78B
2019-11,$6.54B
2019-12,$6.6B
2020-01,$6.37B
2020-02,$5.27B
2020-03,$5.01B
2020-05,$5.2B
2020-06,$5.81B
2020-07,$5.4B
2020-08,$5.96B
2020-09,$5.71B
2020-10,$5.23B
2020-11,$6.03B
2020-12,$6.12B
2021-01,$6.29B
2021-02,$6.52B
2021-03,$6.88B
2021-04,$6.9B
2021-05,$6.83B
2021-06,$6.47B
2021-07,$6.3B
2021-08,$6.52B
2021-09,$6.79B
2021-10,$6.32B
2021-11,$6.12B
2021-12,$5.79B
