timeline,大東建託株式会社
2006-03,$6.5B
2006-04,$6.26B
2006-05,$6.45B
2006-06,$6.71B
2006-07,$6.59B
2006-08,$6.45B
2006-09,$6.78B
2006-10,$6.53B
2006-11,$6.34B
2006-12,$5.78B
2007-01,$6.12B
2007-02,$6.07B
2007-03,$5.87B
2007-05,$6.87B
2007-06,$6.25B
2007-07,$6.32B
2007-08,$5.82B
2007-09,$5.9B
2007-10,$5.64B
2007-11,$5.66B
2007-12,$6.59B
2008-01,$6.1B
2008-02,$6.08B
2008-03,$5.47B
2008-04,$5.15B
2008-05,$5.78B
2008-06,$5.48B
2008-07,$5.26B
2008-08,$4.84B
2008-09,$4.12B
2008-10,$4.37B
2008-11,$4.32B
2008-12,$4.98B
2009-01,$4.16B
2009-02,$3.31B
2009-03,$3.45B
2009-04,$4.27B
2009-05,$4.5B
2009-06,$4.76B
2009-07,$4.87B
2009-08,$4.64B
2009-09,$4.1B
2009-10,$4.0B
2009-11,$4.29B
2009-12,$4.6B
2010-01,$4.5B
2010-02,$4.54B
2010-03,$4.71B
2010-04,$5.27B
2010-05,$4.8B
2010-06,$5.25B
2010-07,$4.91B
2010-08,$5.04B
2010-09,$5.21B
2010-10,$5.08B
2010-11,$5.41B
2010-12,$5.81B
2011-01,$6.01B
2011-02,$6.97B
2011-03,$5.99B
2011-04,$6.74B
2011-05,$7.02B
2011-06,$4.74B
2011-07,$5.16B
2011-08,$4.91B
2011-09,$4.97B
2011-10,$4.89B
2011-11,$4.74B
2011-12,$4.59B
2012-01,$5.0B
2012-02,$4.98B
2012-03,$5.28B
2012-04,$5.13B
2012-05,$4.91B
2012-06,$5.37B
2012-07,$5.29B
2012-08,$5.36B
2012-09,$5.5B
2012-10,$5.65B
2012-11,$5.6B
2012-12,$5.71B
2013-01,$6.32B
2013-02,$5.82B
2013-03,$5.62B
2013-04,$6.63B
2013-05,$6.66B
2013-06,$6.57B
2013-07,$6.3B
2013-08,$6.32B
2013-09,$6.89B
2013-10,$7.03B
2013-11,$6.83B
2013-12,$6.91B
2014-01,$6.84B
2014-02,$6.65B
2014-03,$6.71B
2014-04,$7.3B
2014-05,$7.75B
2014-06,$8.37B
2014-07,$8.77B
2014-08,$9.04B
2014-09,$9.1B
2014-10,$9.71B
2014-11,$9.42B
2014-12,$9.63B
2015-01,$9.26B
2015-02,$9.09B
2015-03,$9.31B
2015-04,$9.69B
2015-05,$9.6B
2015-06,$8.79B
2015-07,$9.08B
2015-08,$9.2B
2015-09,$8.4B
2015-10,$9.11B
2015-11,$8.87B
2015-12,$9.71B
2016-01,$10.56B
2016-02,$10.59B
2016-03,$10.87B
2016-04,$10.54B
2016-05,$10.95B
2016-06,$11.32B
2016-07,$11.69B
2016-08,$10.36B
2016-09,$11.0B
2016-10,$11.95B
2016-11,$12.09B
2016-12,$11.96B
2017-01,$10.74B
2017-02,$10.69B
2017-03,$10.26B
2017-04,$11.0B
2017-05,$11.71B
2017-06,$11.59B
2017-07,$12.33B
2017-08,$12.88B
2017-09,$13.56B
2017-10,$13.12B
2017-11,$13.59B
2017-12,$15.2B
2018-01,$12.53B
2018-02,$11.66B
2018-03,$12.08B
2018-04,$12.0B
2018-05,$11.69B
2018-06,$11.85B
2018-07,$12.16B
2018-08,$10.85B
2018-09,$9.52B
2018-10,$9.88B
2018-11,$9.67B
2018-12,$9.8B
2019-01,$9.79B
2019-02,$9.9B
2019-03,$9.89B
2019-04,$9.39B
2019-05,$8.78B
2019-06,$8.53B
2019-07,$8.48B
2019-08,$8.24B
2019-09,$8.29B
2019-10,$8.63B
2019-11,$8.04B
2019-12,$8.1B
2020-01,$7.76B
2020-02,$6.6B
2020-03,$6.17B
2020-04,$6.23B
2020-05,$6.87B
2020-06,$5.98B
2020-07,$4.99B
2020-08,$5.55B
2020-09,$5.64B
2020-10,$5.92B
2020-11,$6.02B
2020-12,$5.83B
2021-01,$6.07B
2021-02,$7.1B
2021-03,$7.16B
2021-04,$7.57B
2021-05,$7.14B
2021-06,$7.29B
2021-07,$7.88B
2021-08,$7.63B
2021-09,$8.13B
2021-10,$8.08B
2021-11,$7.96B
2021-12,$7.83B
