timeline,大和ハウス工業株式会社
2001-01,$3.17B
2001-02,$3.56B
2001-03,$3.75B
2001-04,$4.59B
2001-05,$4.46B
2001-06,$4.52B
2001-07,$4.26B
2001-08,$4.36B
2001-09,$3.83B
2001-10,$3.82B
2001-11,$3.46B
2001-12,$3.45B
2002-01,$3.29B
2002-02,$3.05B
2002-03,$3.96B
2002-04,$3.98B
2002-05,$4.22B
2002-06,$3.56B
2002-07,$3.55B
2002-08,$3.35B
2002-09,$3.61B
2002-10,$3.18B
2002-12,$3.24B
2003-01,$3.25B
2003-02,$3.26B
2003-03,$3.32B
2003-04,$3.5B
2003-05,$3.7B
2003-06,$4.01B
2003-07,$4.22B
2003-08,$4.41B
2003-09,$4.95B
2003-10,$5.76B
2003-11,$5.05B
2003-12,$5.53B
2004-01,$5.17B
2004-02,$5.25B
2004-03,$6.45B
2004-04,$6.0B
2004-05,$5.94B
2004-06,$6.15B
2004-07,$5.62B
2004-08,$5.53B
2004-09,$5.23B
2004-10,$5.26B
2004-11,$5.37B
2004-12,$5.66B
2005-01,$5.81B
2005-02,$5.79B
2005-03,$5.98B
2005-04,$5.72B
2005-05,$5.84B
2005-06,$6.17B
2005-07,$6.13B
2005-08,$6.5B
2005-09,$7.21B
2005-10,$7.54B
2005-11,$8.09B
2005-12,$8.95B
2006-01,$9.56B
2006-02,$9.09B
2006-03,$9.9B
2006-04,$9.42B
2006-05,$8.56B
2006-06,$8.88B
2006-07,$9.07B
2006-08,$9.28B
2006-09,$9.93B
2006-10,$10.24B
2006-11,$9.86B
2006-12,$10.05B
2007-01,$9.9B
2007-02,$10.27B
2007-03,$10.22B
2007-04,$9.99B
2007-05,$9.65B
2007-06,$9.32B
2007-07,$8.29B
2007-08,$8.12B
2007-09,$7.93B
2007-10,$8.64B
2007-11,$7.79B
2007-12,$7.63B
2008-01,$7.84B
2008-02,$5.71B
2008-03,$5.22B
2008-04,$6.19B
2008-05,$6.84B
2008-06,$5.28B
2008-07,$5.42B
2008-08,$5.71B
2008-09,$5.23B
2008-10,$4.53B
2008-11,$4.21B
2008-12,$4.58B
2009-01,$4.33B
2009-02,$3.43B
2009-03,$4.04B
2009-04,$4.39B
2009-05,$4.63B
2009-06,$5.31B
2009-07,$5.0B
2009-08,$5.3B
2009-09,$4.8B
2009-10,$5.03B
2009-11,$4.44B
2009-12,$5.08B
2010-01,$4.87B
2010-02,$4.86B
2010-03,$5.39B
2010-04,$5.17B
2010-05,$4.44B
2010-06,$4.11B
2010-07,$4.35B
2010-08,$4.02B
2010-09,$4.29B
2010-10,$4.44B
2010-11,$4.82B
2010-12,$5.1B
2011-01,$5.11B
2011-02,$5.34B
2011-03,$5.22B
2011-04,$4.97B
2011-05,$5.06B
2011-06,$5.16B
2011-07,$5.28B
2011-08,$4.82B
2011-09,$5.12B
2011-10,$5.03B
2011-11,$4.67B
2011-12,$4.68B
2012-01,$4.91B
2012-02,$5.35B
2012-03,$5.58B
2012-04,$5.28B
2012-05,$5.1B
2012-06,$5.75B
2012-07,$5.7B
2012-08,$5.56B
2012-09,$5.78B
2012-10,$6.17B
2012-11,$6.43B
2012-12,$7.55B
2013-01,$8.57B
2013-02,$8.68B
2013-03,$9.29B
2013-04,$11.23B
2013-05,$9.85B
2013-06,$9.44B
2013-07,$9.2B
2013-08,$9.86B
2013-09,$10.41B
2013-10,$11.05B
2013-11,$11.21B
2013-12,$11.47B
2014-01,$11.07B
2014-02,$10.4B
2014-03,$10.18B
2014-04,$10.01B
2014-05,$11.07B
2014-06,$12.2B
2014-07,$12.27B
2014-08,$11.43B
2014-10,$12.11B
2014-11,$13.14B
2014-12,$13.32B
2015-01,$12.71B
2015-02,$13.67B
2015-03,$13.77B
2015-04,$15.55B
2015-05,$17.35B
2015-06,$16.57B
2015-07,$17.93B
2015-08,$17.47B
2015-09,$17.27B
2015-10,$18.73B
2015-11,$20.09B
2015-12,$20.53B
2016-01,$19.69B
2016-02,$18.11B
2016-03,$18.53B
2016-04,$17.34B
2016-05,$18.83B
2016-06,$17.45B
2016-07,$16.97B
2016-08,$15.63B
2016-09,$16.13B
2016-10,$16.89B
2016-11,$19.03B
2016-12,$18.7B
2017-01,$17.93B
2017-02,$18.05B
2017-03,$18.7B
2017-04,$19.37B
2017-05,$21.17B
2017-06,$22.45B
2017-07,$22.52B
2017-08,$22.51B
2017-09,$22.73B
2017-10,$24.22B
2017-11,$24.07B
2017-12,$25.31B
2018-01,$25.18B
2018-02,$23.27B
2018-03,$23.99B
2018-04,$23.5B
2018-05,$23.13B
2018-06,$22.13B
2018-07,$23.84B
2018-08,$19.86B
2018-09,$19.74B
2018-10,$19.98B
2018-11,$20.92B
2018-12,$20.47B
2019-01,$20.64B
2019-02,$20.16B
2019-03,$20.6B
2019-04,$18.21B
2019-05,$19.03B
2019-06,$18.38B
2019-07,$18.21B
2019-08,$19.5B
2019-09,$20.52B
2019-10,$21.86B
2019-11,$19.6B
2019-12,$19.84B
2020-01,$20.25B
2020-02,$17.73B
2020-03,$15.67B
2020-05,$15.61B
2020-06,$14.76B
2020-07,$13.76B
2020-08,$15.9B
2020-09,$15.56B
2020-10,$16.43B
2020-11,$17.84B
2020-12,$17.88B
2021-01,$17.46B
2021-02,$18.31B
2021-03,$18.95B
2021-04,$18.79B
2021-05,$18.81B
2021-06,$19.14B
2021-07,$19.53B
2021-08,$19.97B
2021-09,$22.19B
2021-10,$21.57B
2021-11,$20.19B
2021-12,$19.37B
