timeline,株式会社日清製粉グループ本社
2005-03,$2.13B
2005-04,$2.05B
2005-05,$2.0B
2005-06,$2.15B
2005-07,$2.21B
2005-08,$2.24B
2005-09,$2.27B
2005-10,$2.43B
2005-11,$2.4B
2005-12,$2.56B
2006-01,$2.55B
2006-02,$2.44B
2006-03,$2.72B
2006-04,$2.76B
2006-05,$2.74B
2006-06,$2.89B
2006-07,$2.93B
2006-08,$2.84B
2006-09,$2.79B
2006-10,$2.78B
2006-11,$2.59B
2006-12,$2.78B
2007-01,$2.81B
2007-02,$2.8B
2007-03,$2.71B
2007-04,$2.93B
2007-05,$2.84B
2007-06,$2.76B
2007-07,$2.51B
2007-08,$2.4B
2007-09,$2.45B
2007-10,$2.35B
2007-11,$2.48B
2007-12,$2.54B
2008-01,$2.36B
2008-04,$2.47B
2008-05,$2.78B
2008-06,$2.96B
2008-07,$3.29B
2008-08,$3.36B
2008-09,$3.12B
2008-10,$2.32B
2008-11,$2.37B
2008-12,$2.6B
2009-01,$2.2B
2009-02,$2.21B
2009-03,$2.34B
2009-04,$2.25B
2009-05,$2.39B
2009-06,$2.55B
2009-08,$2.74B
2009-09,$2.79B
2009-10,$2.71B
2009-11,$2.6B
2009-12,$2.79B
2010-01,$2.68B
2010-02,$2.6B
2010-03,$2.65B
2010-04,$2.54B
2010-05,$2.24B
2010-06,$2.21B
2010-07,$2.32B
2010-08,$2.35B
2010-09,$2.4B
2010-10,$2.18B
2010-11,$2.22B
2010-12,$2.26B
2011-02,$2.35B
2011-03,$2.1B
2011-04,$2.21B
2011-05,$2.19B
2011-06,$2.2B
2011-07,$2.16B
2011-08,$2.12B
2011-09,$2.23B
2011-10,$2.13B
2011-11,$2.01B
2011-12,$2.04B
2012-01,$2.02B
2012-02,$2.13B
2012-03,$2.19B
2012-04,$2.14B
2012-05,$1.92B
2012-06,$2.04B
2012-07,$2.05B
2012-08,$2.08B
2012-09,$2.1B
2012-10,$2.19B
2012-11,$2.31B
2012-12,$2.36B
2013-01,$2.44B
2013-02,$2.67B
2013-03,$2.8B
2013-04,$2.76B
2013-05,$2.51B
2013-06,$2.6B
2013-07,$2.49B
2013-08,$2.43B
2013-09,$2.17B
2013-10,$2.33B
2013-11,$2.67B
2013-12,$2.62B
2014-01,$2.48B
2014-02,$2.65B
2014-03,$2.73B
2014-04,$2.87B
2014-05,$2.85B
2014-06,$2.92B
2014-08,$2.89B
2014-09,$2.88B
2014-10,$2.97B
2014-11,$3.12B
2014-12,$3.1B
2015-01,$3.85B
2015-02,$3.79B
2015-03,$3.76B
2015-04,$3.73B
2015-05,$4.12B
2015-06,$4.33B
2015-07,$4.72B
2015-08,$4.41B
2015-09,$4.61B
2015-10,$4.94B
2015-11,$5.14B
2015-12,$5.28B
2016-01,$5.13B
2016-02,$4.9B
2016-03,$4.76B
2016-04,$4.79B
2016-05,$5.02B
2016-06,$4.36B
2016-07,$4.52B
2016-08,$3.89B
2016-09,$4.08B
2016-10,$4.12B
2016-11,$4.27B
2016-12,$4.67B
2017-01,$4.57B
2017-02,$4.49B
2017-03,$4.42B
2017-04,$4.55B
2017-05,$4.87B
2017-06,$4.88B
2017-07,$4.79B
2017-08,$5.03B
2017-09,$4.96B
2017-10,$5.21B
2017-11,$5.75B
2017-12,$5.96B
2018-01,$5.73B
2018-02,$5.56B
2018-03,$5.52B
2018-04,$6.27B
2018-05,$6.02B
2018-06,$6.14B
2018-07,$5.72B
2018-08,$5.82B
2018-09,$6.52B
2018-10,$5.9B
2018-11,$6.25B
2018-12,$5.95B
2019-01,$5.74B
2019-02,$6.25B
2019-03,$6.65B
2019-04,$6.77B
2019-05,$6.61B
2019-06,$6.44B
2019-07,$5.41B
2019-08,$5.24B
2019-10,$5.63B
2019-11,$5.39B
2019-12,$5.0B
2020-01,$4.92B
2020-02,$4.79B
2020-03,$4.72B
2020-04,$4.41B
2020-05,$4.4B
2020-06,$4.22B
2020-07,$4.14B
2020-08,$4.55B
2020-09,$4.42B
2020-10,$4.31B
2020-11,$4.48B
2020-12,$4.37B
2021-01,$4.44B
2021-02,$4.53B
2021-03,$4.9B
2021-04,$4.67B
2021-05,$4.43B
2021-06,$4.31B
2021-07,$4.54B
2021-08,$4.84B
2021-09,$5.15B
2021-10,$4.81B
2021-11,$4.51B
2021-12,$4.38B
