timeline,明治ホールディングス株式会社
2009-04,$8.72B
2009-05,$9.24B
2009-06,$11.23B
2009-07,$11.06B
2009-08,$11.0B
2009-09,$11.09B
2009-10,$10.71B
2009-11,$9.96B
2009-12,$10.16B
2010-01,$9.85B
2010-02,$10.34B
2010-03,$2.36B
2010-04,$2.21B
2010-05,$2.14B
2010-06,$2.37B
2010-07,$2.41B
2010-08,$2.54B
2010-09,$2.55B
2010-10,$2.41B
2010-11,$2.36B
2010-12,$2.38B
2011-01,$2.41B
2011-02,$2.5B
2011-03,$2.17B
2011-04,$2.25B
2011-05,$2.24B
2011-06,$2.28B
2011-08,$2.27B
2011-09,$2.48B
2011-10,$2.33B
2011-11,$2.23B
2011-12,$2.15B
2012-01,$2.24B
2012-02,$2.32B
2012-03,$2.35B
2012-04,$2.3B
2012-05,$2.12B
2012-06,$2.37B
2012-07,$2.33B
2012-08,$2.37B
2012-09,$2.52B
2012-10,$2.37B
2012-11,$2.38B
2012-12,$2.43B
2013-01,$2.63B
2013-02,$2.59B
2013-03,$2.83B
2013-04,$2.85B
2013-05,$2.9B
2013-06,$3.09B
2013-07,$2.99B
2013-08,$3.31B
2013-09,$3.49B
2013-10,$3.56B
2013-11,$3.71B
2013-12,$4.39B
2014-01,$4.19B
2014-02,$4.35B
2014-03,$4.23B
2014-04,$4.07B
2014-05,$4.16B
2014-06,$4.36B
2014-07,$4.82B
2014-08,$5.56B
2014-09,$5.63B
2014-10,$6.0B
2014-11,$6.91B
2014-12,$7.15B
2015-01,$8.45B
2015-02,$9.26B
2015-03,$9.51B
2015-04,$8.91B
2015-05,$9.19B
2015-06,$10.26B
2015-07,$11.44B
2015-08,$12.82B
2015-09,$11.35B
2015-10,$12.45B
2015-11,$12.79B
2015-12,$13.05B
2016-01,$12.97B
2016-02,$11.76B
2016-03,$11.75B
2016-04,$11.14B
2016-05,$12.99B
2016-06,$13.54B
2016-07,$13.97B
2016-08,$12.08B
2016-09,$12.97B
2016-10,$13.6B
2016-11,$11.84B
2016-12,$11.89B
2017-01,$11.34B
2017-02,$11.66B
2017-03,$11.97B
2017-04,$12.22B
2017-05,$11.7B
2017-06,$11.66B
2017-07,$11.23B
2017-08,$11.2B
2017-09,$11.4B
2017-10,$11.84B
2017-11,$12.5B
2017-12,$12.26B
2018-01,$11.67B
2018-02,$10.01B
2018-03,$10.36B
2018-04,$11.22B
2018-05,$11.85B
2018-06,$11.94B
2018-07,$11.22B
2018-08,$9.43B
2018-09,$9.75B
2018-10,$9.59B
2018-11,$11.42B
2018-12,$11.45B
2019-01,$10.75B
2019-02,$11.28B
2019-03,$11.49B
2019-04,$11.19B
2019-05,$9.73B
2019-06,$9.85B
2019-07,$9.68B
2019-08,$9.44B
2019-09,$10.08B
2019-10,$10.0B
2019-11,$9.51B
2019-12,$9.44B
2020-01,$9.87B
2020-02,$8.23B
2020-04,$9.53B
2020-05,$10.37B
2020-06,$10.97B
2020-07,$10.72B
2020-08,$11.02B
2020-09,$10.3B
2020-10,$9.67B
2020-11,$9.69B
2020-12,$9.34B
2021-01,$9.17B
2021-02,$8.87B
2021-03,$8.97B
2021-04,$8.83B
2021-05,$8.7B
2021-06,$8.6B
2021-07,$8.81B
2021-08,$8.94B
2021-09,$9.48B
2021-10,$9.19B
2021-11,$9.01B
2021-12,$8.77B
