timeline,サントリー食品インターナショナル株式会社
2013-07,$6.57B
2013-08,$9.58B
2013-09,$9.03B
2013-10,$8.8B
2013-12,$9.14B
2014-02,$9.77B
2014-03,$9.68B
2014-04,$9.71B
2014-05,$10.58B
2014-06,$10.83B
2014-07,$10.57B
2014-08,$10.39B
2014-09,$10.6B
2014-10,$10.83B
2014-11,$11.41B
2014-12,$11.36B
2015-01,$11.29B
2015-02,$12.23B
2015-03,$14.03B
2015-04,$13.92B
2015-05,$14.11B
2015-06,$13.28B
2015-07,$14.28B
2015-08,$13.98B
2015-09,$12.49B
2015-10,$13.38B
2015-11,$13.09B
2015-12,$14.49B
2016-01,$15.04B
2016-02,$13.04B
2016-03,$13.81B
2016-04,$13.05B
2016-05,$14.25B
2016-06,$12.59B
2016-07,$12.19B
2016-08,$11.18B
2016-09,$11.85B
2016-10,$12.52B
2016-11,$13.34B
2016-12,$13.23B
2017-01,$13.06B
2017-02,$12.83B
2017-03,$12.78B
2017-04,$13.58B
2017-05,$14.66B
2017-06,$14.22B
2017-07,$14.74B
2017-08,$13.84B
2017-09,$13.65B
2017-10,$14.14B
2017-11,$13.24B
2017-12,$13.65B
2018-01,$14.19B
2018-02,$13.57B
2018-03,$14.08B
2018-04,$14.68B
2018-05,$13.19B
2018-06,$12.89B
2018-07,$12.95B
2018-08,$12.41B
2018-09,$13.1B
2018-10,$12.55B
2018-11,$12.97B
2018-12,$13.51B
2019-01,$13.12B
2019-02,$13.38B
2019-03,$14.17B
2019-04,$13.35B
2019-05,$12.3B
2019-06,$12.76B
2019-07,$11.81B
2019-08,$12.48B
2019-09,$12.59B
2019-11,$12.94B
2019-12,$12.38B
2020-01,$12.65B
2020-02,$11.94B
2020-03,$11.02B
2020-04,$11.05B
2020-05,$11.99B
2020-06,$11.46B
2020-07,$10.83B
2020-08,$10.77B
2020-09,$10.76B
2020-10,$10.27B
2020-11,$10.4B
2020-12,$10.14B
2021-01,$9.92B
2021-02,$10.12B
2021-03,$11.24B
2021-04,$10.41B
2021-05,$10.85B
2021-06,$11.58B
2021-07,$11.2B
2021-08,$11.55B
2021-09,$13.32B
2021-10,$12.38B
2021-11,$11.87B
2021-12,$11.3B
