timeline,株式会社ローソン
2006-02,$3.92B
2006-03,$4.0B
2006-04,$3.9B
2006-05,$3.68B
2006-06,$3.76B
2006-07,$3.53B
2006-08,$3.7B
2006-09,$3.74B
2006-10,$3.58B
2006-11,$3.65B
2006-12,$3.84B
2007-01,$3.94B
2007-02,$4.18B
2007-03,$4.17B
2007-04,$4.07B
2007-05,$4.0B
2007-06,$3.92B
2007-07,$3.76B
2007-08,$3.55B
2007-09,$3.34B
2007-10,$3.67B
2007-11,$3.73B
2007-12,$3.65B
2008-01,$3.5B
2008-03,$3.86B
2008-04,$3.93B
2008-05,$4.07B
2008-06,$4.52B
2008-07,$4.88B
2008-08,$4.37B
2008-09,$4.27B
2008-10,$4.17B
2008-11,$4.18B
2008-12,$4.54B
2009-01,$3.9B
2009-02,$3.72B
2009-03,$3.57B
2009-04,$3.34B
2009-05,$3.46B
2009-06,$3.71B
2009-07,$3.44B
2009-08,$3.53B
2009-09,$3.65B
2009-10,$3.54B
2009-11,$3.74B
2009-12,$3.59B
2010-02,$3.4B
2010-03,$3.49B
2010-04,$3.64B
2010-05,$3.39B
2010-06,$3.4B
2010-07,$3.47B
2010-08,$3.35B
2010-10,$3.2B
2010-11,$3.25B
2010-12,$3.51B
2011-01,$3.58B
2011-02,$3.52B
2011-03,$3.51B
2011-04,$3.47B
2011-05,$3.55B
2011-06,$3.71B
2011-07,$3.67B
2011-09,$3.86B
2011-10,$3.91B
2011-11,$4.03B
2011-12,$4.23B
2012-01,$4.08B
2012-02,$4.21B
2012-03,$4.59B
2012-04,$4.66B
2012-05,$4.84B
2012-06,$4.92B
2012-07,$4.95B
2012-08,$5.29B
2012-10,$5.17B
2012-11,$4.92B
2012-12,$5.17B
2013-01,$5.84B
2013-02,$6.07B
2013-03,$6.39B
2013-04,$6.77B
2013-05,$6.47B
2013-06,$6.67B
2013-07,$6.77B
2013-08,$6.52B
2013-09,$6.78B
2013-10,$6.93B
2013-11,$6.62B
2013-12,$6.93B
2014-01,$6.59B
2014-02,$6.22B
2014-03,$6.43B
2014-04,$6.26B
2014-05,$6.44B
2014-06,$6.7B
2014-07,$6.82B
2014-08,$6.58B
2014-09,$6.76B
2014-10,$6.62B
2014-11,$6.45B
2014-12,$6.42B
2015-01,$6.8B
2015-02,$6.89B
2015-03,$7.35B
2015-04,$7.6B
2015-05,$7.66B
2015-06,$7.39B
2015-07,$8.14B
2015-08,$7.64B
2015-09,$7.77B
2015-10,$7.93B
2015-11,$8.25B
2015-12,$8.69B
2016-01,$8.33B
2016-02,$7.67B
2016-03,$8.31B
2016-04,$7.5B
2016-05,$7.74B
2016-06,$7.21B
2016-07,$6.98B
2016-08,$6.4B
2016-09,$7.03B
2016-10,$7.04B
2016-11,$6.99B
2016-12,$7.24B
2017-01,$7.27B
2017-02,$6.84B
2017-03,$6.66B
2017-04,$6.53B
2017-05,$6.66B
2017-06,$6.93B
2017-07,$6.63B
2017-08,$6.52B
2017-09,$6.57B
2017-10,$6.53B
2017-11,$6.83B
2017-12,$6.61B
2018-01,$6.51B
2018-02,$6.17B
2018-03,$6.4B
2018-04,$6.38B
2018-05,$6.26B
2018-06,$6.11B
2018-07,$5.92B
2018-08,$5.75B
2018-09,$6.11B
2018-10,$6.3B
2018-11,$6.56B
2018-12,$6.13B
2019-01,$5.92B
2019-02,$5.96B
2019-03,$5.42B
2019-04,$4.58B
2019-05,$4.47B
2019-06,$4.56B
2019-07,$4.81B
2019-08,$4.65B
2019-09,$4.88B
2019-10,$5.28B
2019-11,$5.26B
2019-12,$5.46B
2020-01,$5.6B
2020-02,$5.06B
2020-03,$5.23B
2020-05,$5.07B
2020-06,$5.0B
2020-07,$4.73B
2020-08,$4.64B
2020-09,$4.47B
2020-10,$4.24B
2020-11,$4.32B
2020-12,$4.23B
2021-01,$4.39B
2021-02,$4.57B
2021-03,$4.7B
2021-04,$4.48B
2021-05,$4.37B
2021-06,$4.45B
2021-07,$4.79B
2021-08,$5.09B
2021-09,$5.17B
2021-10,$4.78B
2021-11,$5.13B
2021-12,$5.06B
