timeline,日本マクドナルドホールディングス株式会社
2006-12,$2.33B
2007-01,$2.41B
2007-02,$2.31B
2007-03,$2.23B
2007-04,$2.26B
2007-05,$2.35B
2007-06,$2.36B
2007-07,$2.39B
2007-08,$2.31B
2007-09,$2.35B
2007-11,$2.2B
2007-12,$2.19B
2008-01,$2.03B
2008-02,$1.98B
2008-03,$1.87B
2008-04,$1.92B
2008-05,$2.03B
2008-06,$1.89B
2008-07,$1.87B
2008-08,$1.77B
2008-09,$1.69B
2008-10,$1.75B
2008-11,$2.05B
2008-12,$2.11B
2009-01,$2.1B
2009-02,$2.09B
2009-03,$1.97B
2009-04,$1.99B
2009-05,$2.19B
2009-06,$2.1B
2009-07,$2.02B
2009-08,$2.04B
2009-09,$2.11B
2009-10,$2.14B
2009-11,$2.17B
2009-12,$2.09B
2010-01,$2.15B
2010-02,$2.11B
2010-03,$2.23B
2010-04,$2.35B
2010-05,$2.37B
2010-06,$2.33B
2010-07,$2.27B
2010-08,$2.35B
2010-09,$2.36B
2010-10,$2.4B
2010-11,$2.44B
2010-12,$2.39B
2011-01,$2.35B
2011-04,$2.43B
2011-05,$2.46B
2011-06,$2.4B
2011-07,$2.37B
2011-08,$2.39B
2011-09,$2.41B
2011-10,$2.43B
2011-11,$2.44B
2012-01,$2.43B
2012-02,$2.49B
2012-03,$2.58B
2012-04,$2.66B
2012-05,$2.68B
2012-06,$2.64B
2012-07,$2.65B
2012-08,$2.6B
2012-09,$2.61B
2012-10,$2.6B
2012-11,$2.76B
2012-12,$2.68B
2013-01,$2.75B
2013-02,$2.72B
2013-03,$3.0B
2013-04,$3.33B
2013-05,$3.28B
2013-06,$3.23B
2013-07,$3.19B
2013-08,$3.02B
2013-09,$3.18B
2013-10,$3.19B
2013-11,$3.3B
2013-12,$3.15B
2014-02,$3.19B
2014-03,$3.26B
2014-04,$3.32B
2014-05,$3.38B
2014-06,$3.34B
2014-07,$3.04B
2014-08,$3.01B
2014-09,$3.18B
2014-10,$3.19B
2014-11,$3.18B
2014-12,$3.08B
2015-01,$3.03B
2015-02,$3.09B
2015-03,$3.12B
2015-04,$3.04B
2015-05,$3.05B
2015-06,$3.03B
2015-07,$3.1B
2015-08,$3.13B
2015-09,$3.15B
2015-10,$3.35B
2015-11,$3.51B
2015-12,$3.07B
2016-01,$2.79B
2016-02,$3.08B
2016-03,$3.13B
2016-05,$3.41B
2016-06,$3.28B
2016-07,$3.68B
2016-08,$3.35B
2016-09,$3.49B
2016-10,$3.54B
2016-11,$3.69B
2016-12,$3.59B
2017-01,$3.48B
2017-02,$3.75B
2017-03,$3.81B
2017-04,$4.03B
2017-05,$4.65B
2017-06,$5.05B
2017-07,$5.26B
2017-08,$5.73B
2017-09,$5.84B
2017-10,$5.71B
2017-11,$5.75B
2017-12,$5.81B
2018-01,$5.76B
2018-02,$5.6B
2018-03,$5.84B
2018-04,$6.0B
2018-05,$6.43B
2018-06,$6.63B
2018-07,$6.26B
2018-08,$5.72B
2018-09,$5.85B
2018-10,$5.83B
2018-11,$5.97B
2018-12,$5.47B
2019-01,$5.65B
2019-02,$5.85B
2019-03,$6.0B
2019-04,$6.04B
2019-05,$5.79B
2019-06,$5.57B
2019-07,$5.74B
2019-08,$5.85B
2019-09,$6.13B
2019-10,$6.37B
2019-11,$6.34B
2019-12,$6.15B
2020-01,$6.07B
2020-02,$5.73B
2020-03,$5.71B
2020-04,$6.19B
2020-05,$6.62B
2020-06,$6.83B
2020-07,$5.91B
2020-08,$6.11B
2020-09,$6.06B
2020-10,$5.87B
2020-11,$6.01B
2020-12,$5.99B
2021-01,$5.97B
2021-02,$6.18B
2021-03,$6.01B
2021-04,$5.87B
2021-05,$5.84B
2021-06,$5.82B
2021-07,$5.89B
2021-08,$6.17B
2021-09,$6.38B
2021-10,$6.07B
2021-11,$5.97B
2021-12,$5.93B
