timeline,キッコーマン株式会社
2007-03,$2.63B
2007-04,$3.05B
2007-05,$3.17B
2007-06,$3.19B
2007-07,$2.81B
2007-08,$2.72B
2007-09,$3.01B
2007-10,$2.53B
2007-11,$2.65B
2007-12,$2.67B
2008-01,$2.24B
2008-02,$2.11B
2008-03,$2.13B
2008-04,$2.15B
2008-05,$2.29B
2008-06,$2.26B
2008-07,$2.33B
2008-08,$2.36B
2008-09,$2.47B
2008-10,$1.68B
2008-11,$1.87B
2008-12,$1.83B
2009-01,$1.52B
2009-02,$1.31B
2009-03,$1.5B
2009-04,$1.6B
2009-05,$1.75B
2009-06,$1.77B
2009-07,$2.02B
2009-08,$2.1B
2009-09,$2.04B
2009-10,$1.93B
2009-11,$1.83B
2009-12,$2.07B
2010-01,$1.93B
2010-02,$1.92B
2010-03,$1.99B
2010-04,$1.91B
2010-05,$1.71B
2010-06,$1.7B
2010-07,$1.67B
2010-08,$1.56B
2010-09,$1.68B
2010-10,$1.58B
2010-11,$1.64B
2010-12,$1.66B
2011-01,$1.62B
2011-02,$1.63B
2011-03,$1.42B
2011-04,$1.45B
2011-05,$1.5B
2011-06,$1.53B
2011-07,$1.54B
2011-08,$1.48B
2011-09,$1.61B
2011-10,$1.58B
2011-11,$1.52B
2011-12,$1.6B
2012-02,$1.62B
2012-03,$1.73B
2012-04,$1.7B
2012-05,$1.68B
2012-06,$1.78B
2012-08,$1.87B
2012-09,$1.93B
2012-10,$1.92B
2012-11,$2.11B
2012-12,$2.22B
2013-01,$2.47B
2013-02,$2.61B
2013-03,$3.0B
2013-04,$3.26B
2013-05,$2.93B
2013-06,$2.91B
2013-07,$2.97B
2013-08,$2.95B
2013-09,$3.16B
2013-10,$3.15B
2013-11,$3.46B
2013-12,$3.5B
2014-01,$3.23B
2014-02,$3.48B
2014-03,$3.43B
2014-04,$3.66B
2014-05,$3.61B
2014-06,$3.72B
2014-07,$4.02B
2014-09,$4.11B
2014-10,$4.45B
2014-11,$4.98B
2014-12,$5.23B
2015-01,$6.16B
2015-02,$6.11B
2015-03,$6.57B
2015-04,$5.92B
2015-05,$5.99B
2015-06,$6.59B
2015-07,$7.47B
2015-08,$6.73B
2015-09,$5.65B
2015-10,$6.57B
2015-11,$6.98B
2015-12,$7.28B
2016-01,$6.82B
2016-02,$6.4B
2016-03,$6.29B
2016-04,$6.01B
2016-05,$6.77B
2016-06,$6.37B
2016-07,$6.21B
2016-08,$5.53B
2016-09,$5.47B
2016-10,$5.69B
2016-11,$5.95B
2016-12,$6.36B
2017-01,$6.04B
2017-02,$5.75B
2017-03,$5.66B
2017-04,$5.83B
2017-05,$5.91B
2017-06,$6.11B
2017-07,$5.76B
2017-08,$5.87B
2017-09,$5.89B
2017-10,$6.61B
2017-11,$7.47B
2017-12,$7.75B
2018-01,$7.64B
2018-02,$7.21B
2018-03,$7.25B
2018-04,$8.03B
2018-05,$8.7B
2018-06,$8.65B
2018-07,$8.18B
2018-08,$8.62B
2018-09,$10.46B
2018-10,$9.61B
2018-11,$10.24B
2018-12,$9.99B
2019-01,$9.76B
2019-02,$9.37B
2019-03,$9.18B
2019-04,$8.73B
2019-05,$7.62B
2019-06,$7.94B
2019-07,$8.42B
2019-08,$8.09B
2019-09,$8.73B
2019-10,$8.85B
2019-11,$9.31B
2019-12,$9.08B
2020-02,$8.47B
2020-03,$7.77B
2020-04,$8.43B
2020-05,$9.17B
2020-06,$8.78B
2020-07,$8.49B
2020-08,$9.74B
2020-09,$9.85B
2020-10,$8.76B
2020-11,$11.27B
2020-12,$11.48B
2021-01,$12.38B
2021-02,$12.38B
2021-03,$11.85B
2021-04,$11.2B
2021-05,$11.64B
2021-06,$12.26B
2021-07,$11.94B
2021-08,$13.01B
2021-09,$16.21B
2021-10,$15.33B
2021-11,$15.67B
2021-12,$14.91B
