timeline,味の素株式会社
2003-03,$6.99B
2003-04,$6.93B
2003-05,$6.81B
2003-06,$6.59B
2003-07,$6.61B
2003-08,$6.58B
2003-10,$6.36B
2003-11,$6.73B
2003-12,$7.07B
2004-01,$6.79B
2004-02,$6.82B
2004-03,$7.11B
2004-04,$7.4B
2004-05,$7.17B
2004-06,$7.53B
2004-07,$7.42B
2004-08,$7.07B
2004-09,$7.22B
2004-10,$6.73B
2004-11,$6.68B
2004-12,$6.99B
2005-01,$7.19B
2005-02,$7.39B
2005-03,$7.5B
2005-04,$7.23B
2005-05,$6.89B
2005-06,$7.08B
2005-07,$6.83B
2005-08,$6.66B
2005-09,$6.84B
2005-10,$6.48B
2005-11,$6.82B
2005-12,$6.92B
2006-01,$6.98B
2006-02,$7.11B
2006-03,$7.2B
2006-04,$8.13B
2006-05,$7.61B
2006-06,$7.26B
2006-07,$7.39B
2006-08,$7.29B
2006-10,$7.75B
2006-11,$8.02B
2006-12,$9.01B
2007-01,$8.72B
2007-02,$8.38B
2007-03,$7.77B
2007-04,$8.46B
2007-05,$8.06B
2007-06,$8.14B
2007-07,$8.27B
2007-08,$8.4B
2007-09,$8.25B
2007-10,$7.42B
2007-11,$6.97B
2007-12,$7.28B
2008-01,$6.48B
2008-02,$7.24B
2008-03,$6.23B
2008-04,$6.46B
2008-05,$6.33B
2008-06,$6.2B
2008-07,$6.85B
2008-08,$6.15B
2008-09,$6.17B
2008-10,$5.17B
2008-11,$6.23B
2008-12,$5.99B
2009-01,$4.84B
2009-02,$4.18B
2009-03,$4.29B
2009-04,$4.46B
2009-05,$4.38B
2009-06,$4.71B
2009-07,$5.59B
2009-08,$5.84B
2009-09,$5.54B
2009-10,$5.27B
2009-11,$5.0B
2009-12,$5.38B
2010-01,$5.27B
2010-02,$5.57B
2010-03,$5.7B
2010-04,$5.45B
2010-05,$4.76B
2010-06,$4.97B
2010-07,$5.04B
2010-08,$5.07B
2010-09,$5.03B
2010-10,$4.73B
2010-11,$5.08B
2010-12,$5.21B
2011-01,$5.59B
2011-02,$5.78B
2011-03,$5.33B
2011-04,$5.49B
2011-05,$5.76B
2011-06,$5.86B
2011-07,$5.87B
2011-08,$5.55B
2011-09,$5.49B
2011-10,$5.27B
2011-11,$5.47B
2011-12,$5.51B
2012-01,$5.49B
2012-02,$5.72B
2012-03,$6.19B
2012-04,$6.16B
2012-05,$6.31B
2012-06,$6.6B
2012-07,$6.63B
2012-08,$7.12B
2012-09,$7.3B
2012-10,$7.27B
2012-11,$7.03B
2012-12,$6.82B
2013-01,$7.4B
2013-02,$7.33B
2013-03,$8.44B
2013-04,$7.46B
2013-05,$7.8B
2013-06,$8.12B
2013-07,$7.63B
2013-08,$7.03B
2013-09,$6.96B
2013-10,$7.4B
2013-11,$7.87B
2013-12,$8.21B
2014-01,$7.84B
2014-02,$8.5B
2014-03,$7.72B
2014-04,$7.86B
2014-05,$8.32B
2014-06,$8.04B
2014-07,$8.07B
2014-08,$8.56B
2014-09,$9.23B
2014-10,$10.64B
2014-11,$11.21B
2014-12,$11.35B
2015-01,$12.34B
2015-02,$11.62B
2015-03,$13.75B
2015-04,$13.88B
2015-05,$13.4B
2015-06,$13.83B
2015-07,$14.88B
2015-08,$13.94B
2015-09,$13.12B
2015-10,$14.12B
2015-11,$14.73B
2015-12,$15.02B
2016-01,$14.8B
2016-02,$14.43B
2016-03,$13.01B
2016-04,$13.09B
2016-05,$13.71B
2016-06,$12.33B
2016-07,$13.52B
2016-08,$11.0B
2016-09,$11.25B
2016-10,$11.72B
2016-11,$11.1B
2016-12,$11.81B
2017-01,$11.18B
2017-02,$11.41B
2017-03,$11.02B
2017-04,$10.88B
2017-05,$11.9B
2017-06,$12.18B
2017-07,$11.13B
2017-08,$10.9B
2017-09,$11.02B
2017-10,$11.42B
2017-11,$10.36B
2017-12,$10.64B
2018-01,$10.39B
2018-02,$9.82B
2018-03,$9.66B
2018-04,$10.04B
2018-05,$10.37B
2018-06,$10.45B
2018-07,$9.69B
2018-08,$9.13B
2018-09,$9.44B
2018-10,$8.84B
2018-11,$9.11B
2018-12,$9.08B
2019-01,$8.73B
2019-02,$7.81B
2019-03,$8.21B
2019-04,$8.66B
2019-05,$8.93B
2019-06,$9.03B
2019-07,$9.46B
2019-08,$9.36B
2019-09,$9.86B
2019-10,$9.95B
2019-11,$8.81B
2019-12,$8.77B
2020-01,$8.72B
2020-02,$8.76B
2020-03,$9.72B
2020-04,$9.07B
2020-05,$8.88B
2020-06,$8.66B
2020-07,$9.2B
2020-08,$9.38B
2020-09,$10.34B
2020-10,$10.15B
2020-11,$10.93B
2020-12,$11.16B
2021-01,$11.68B
2021-02,$10.79B
2021-03,$10.98B
2021-04,$10.67B
2021-05,$11.86B
2021-06,$13.12B
2021-07,$13.87B
2021-08,$15.23B
2021-09,$17.19B
2021-10,$16.11B
2021-11,$16.71B
2021-12,$16.41B
