timeline,東洋水産株式会社
2009-03,$1.82B
2009-04,$1.73B
2009-05,$1.89B
2009-06,$1.79B
2009-07,$2.13B
2009-09,$2.18B
2009-10,$2.14B
2009-11,$2.12B
2009-12,$1.92B
2010-01,$2.14B
2010-02,$2.23B
2010-03,$2.17B
2010-04,$2.04B
2010-05,$1.81B
2010-06,$1.91B
2010-07,$1.68B
2010-08,$1.59B
2010-09,$1.55B
2010-11,$1.59B
2010-12,$1.62B
2011-01,$1.57B
2011-02,$1.66B
2011-03,$1.62B
2011-04,$1.68B
2011-05,$1.71B
2011-07,$1.72B
2011-08,$1.82B
2011-09,$1.91B
2011-10,$1.81B
2011-11,$1.7B
2011-12,$1.68B
2012-01,$1.69B
2012-02,$1.88B
2012-03,$1.94B
2012-04,$1.85B
2012-05,$1.81B
2012-06,$1.92B
2012-07,$1.7B
2012-08,$1.75B
2012-09,$1.76B
2012-10,$1.79B
2012-11,$2.04B
2012-12,$2.07B
2013-01,$2.29B
2013-02,$2.45B
2013-03,$2.6B
2013-04,$2.98B
2013-05,$2.94B
2013-06,$2.97B
2013-07,$2.76B
2013-08,$2.67B
2013-09,$2.59B
2013-10,$2.81B
2013-11,$2.69B
2013-12,$2.85B
2014-01,$2.92B
2014-02,$3.08B
2014-03,$3.1B
2014-04,$2.95B
2014-05,$2.79B
2014-06,$2.82B
2014-07,$2.83B
2014-08,$2.93B
2014-09,$3.28B
2014-10,$3.45B
2014-11,$3.62B
2014-12,$3.51B
2015-01,$3.76B
2015-02,$3.85B
2015-03,$3.81B
2015-04,$3.77B
2015-05,$3.89B
2015-06,$4.02B
2015-07,$4.22B
2015-08,$4.1B
2015-09,$4.07B
2015-10,$4.04B
2015-11,$3.96B
2015-12,$3.81B
2016-01,$3.73B
2016-02,$3.64B
2016-04,$3.51B
2016-05,$3.87B
2016-06,$3.73B
2016-07,$4.13B
2016-08,$3.82B
2016-09,$3.85B
2016-10,$3.83B
2016-11,$3.65B
2016-12,$3.82B
2017-01,$3.63B
2017-02,$3.71B
2017-03,$3.73B
2017-04,$3.77B
2017-05,$3.89B
2017-06,$3.88B
2017-07,$3.61B
2017-08,$3.66B
2017-09,$3.72B
2017-10,$3.92B
2017-11,$4.31B
2017-12,$4.34B
2018-01,$3.99B
2018-02,$3.77B
2018-03,$3.72B
2018-04,$3.88B
2018-05,$3.5B
2018-06,$3.55B
2018-07,$3.64B
2018-08,$3.69B
2018-09,$3.97B
2018-10,$3.5B
2018-12,$3.45B
2019-01,$3.52B
2019-02,$3.72B
2019-03,$3.8B
2019-04,$3.82B
2019-06,$4.0B
2019-07,$3.96B
2019-08,$3.9B
2019-10,$4.11B
2019-11,$4.25B
2019-12,$4.17B
2020-01,$4.14B
2020-02,$3.85B
2020-03,$4.7B
2020-05,$4.87B
2020-06,$5.22B
2020-07,$5.77B
2020-08,$5.62B
2020-09,$5.07B
2020-10,$4.73B
2020-11,$4.79B
2020-12,$4.59B
2021-01,$4.64B
2021-02,$4.16B
2021-03,$4.22B
2021-04,$4.06B
2021-05,$4.05B
2021-06,$4.0B
2021-07,$4.18B
2021-08,$4.22B
2021-09,$4.7B
2021-10,$4.4B
2021-11,$4.27B
2021-12,$4.23B
