timeline,日清食品ホールディングス株式会社
2006-03,$3.9B
2006-04,$3.89B
2006-05,$4.21B
2006-06,$4.33B
2006-07,$4.5B
2006-08,$4.24B
2006-09,$4.03B
2006-10,$3.78B
2006-11,$4.21B
2006-12,$4.72B
2007-01,$4.7B
2007-02,$4.53B
2007-03,$4.63B
2007-04,$4.85B
2007-05,$4.73B
2007-06,$4.45B
2007-07,$3.93B
2007-08,$3.97B
2007-09,$4.42B
2007-10,$3.9B
2007-11,$4.27B
2007-12,$3.89B
2008-01,$3.83B
2008-02,$3.74B
2008-03,$3.62B
2008-04,$3.94B
2008-05,$4.12B
2008-06,$3.84B
2008-07,$3.82B
2008-08,$3.89B
2008-09,$4.05B
2008-10,$3.0B
2008-11,$3.67B
2008-12,$3.36B
2009-01,$3.34B
2009-02,$3.22B
2009-03,$3.13B
2009-04,$2.88B
2009-05,$3.2B
2009-06,$3.15B
2009-07,$3.26B
2009-08,$3.31B
2009-09,$3.72B
2009-10,$3.46B
2009-11,$3.42B
2009-12,$3.27B
2010-01,$3.22B
2010-02,$3.32B
2010-03,$3.39B
2010-04,$3.4B
2010-05,$3.25B
2010-06,$3.52B
2010-07,$3.26B
2010-08,$3.23B
2010-09,$3.25B
2010-10,$3.14B
2010-11,$3.11B
2010-12,$3.14B
2011-02,$3.16B
2011-04,$3.09B
2011-05,$3.17B
2011-06,$2.86B
2011-07,$2.87B
2011-08,$2.89B
2011-09,$3.05B
2011-10,$2.94B
2011-11,$2.88B
2011-12,$2.94B
2012-01,$2.83B
2012-02,$2.98B
2012-03,$3.2B
2012-04,$3.11B
2012-05,$2.96B
2012-06,$3.14B
2012-07,$3.1B
2012-08,$3.13B
2012-09,$3.17B
2012-10,$2.93B
2012-11,$3.16B
2012-12,$3.18B
2013-01,$3.38B
2013-02,$3.58B
2013-03,$4.26B
2013-04,$4.25B
2013-05,$3.79B
2013-06,$3.9B
2013-07,$3.79B
2013-08,$3.77B
2013-09,$3.92B
2013-10,$4.08B
2013-11,$4.0B
2013-12,$4.32B
2014-01,$4.33B
2014-02,$4.42B
2014-03,$4.53B
2014-04,$4.75B
2014-05,$4.81B
2014-06,$5.07B
2014-07,$5.53B
2014-08,$5.79B
2014-09,$5.54B
2014-10,$5.7B
2014-11,$5.78B
2014-12,$5.61B
2015-01,$6.2B
2015-02,$5.77B
2015-03,$5.75B
2015-04,$5.58B
2015-05,$5.15B
2015-06,$5.22B
2015-07,$5.44B
2015-08,$5.6B
2015-09,$5.34B
2015-10,$5.45B
2015-11,$6.08B
2015-12,$6.25B
2016-01,$5.93B
2016-02,$5.04B
2016-04,$4.84B
2016-05,$5.3B
2016-06,$5.33B
2016-07,$5.56B
2016-08,$5.47B
2016-09,$5.84B
2016-10,$5.79B
2016-11,$5.68B
2016-12,$5.85B
2017-01,$5.68B
2017-02,$5.99B
2017-03,$5.66B
2017-04,$5.86B
2017-05,$6.42B
2017-06,$6.45B
2017-07,$6.36B
2017-08,$6.22B
2017-09,$6.28B
2017-10,$6.55B
2017-11,$7.45B
2017-12,$7.56B
2018-01,$7.42B
2018-02,$6.72B
2018-03,$6.78B
2018-04,$7.39B
2018-05,$7.44B
2018-06,$6.53B
2018-07,$6.28B
2018-08,$5.78B
2018-09,$6.36B
2018-10,$5.94B
2018-11,$5.97B
2018-12,$5.62B
2019-01,$5.63B
2019-02,$6.3B
2019-03,$6.19B
2019-04,$6.73B
2019-05,$6.05B
2019-06,$6.38B
2019-07,$6.24B
2019-08,$6.77B
2019-09,$7.17B
2019-10,$7.53B
2019-12,$7.46B
2020-01,$7.59B
2020-02,$7.81B
2020-03,$8.21B
2020-05,$8.27B
2020-06,$8.77B
2020-07,$8.76B
2020-08,$9.8B
2020-09,$9.34B
2020-10,$8.5B
2020-11,$8.08B
2020-12,$7.98B
2021-01,$8.34B
2021-02,$7.73B
2021-03,$7.52B
2021-04,$7.35B
2021-05,$7.31B
2021-06,$7.23B
2021-07,$7.3B
2021-08,$7.8B
2021-09,$8.49B
2021-10,$8.07B
2021-11,$7.88B
2021-12,$7.58B
