timeline,日本たばこ産業株式会社
2007-12,$57.26B
2009-12,$32.22B
2011-11,$44.49B
2011-12,$44.36B
2012-12,$54.04B
2013-02,$63.34B
2013-03,$63.7B
2013-04,$68.45B
2013-05,$62.19B
2013-06,$64.67B
2013-07,$63.49B
2013-08,$61.64B
2013-09,$65.57B
2013-10,$65.48B
2013-11,$61.44B
2013-12,$59.24B
2014-01,$56.53B
2014-02,$57.51B
2014-03,$57.22B
2014-04,$59.46B
2014-05,$61.52B
2014-06,$66.18B
2014-07,$64.52B
2014-08,$62.45B
2014-09,$59.26B
2014-10,$62.67B
2014-11,$58.64B
2014-12,$50.63B
2015-01,$49.67B
2015-02,$57.42B
2015-03,$57.55B
2015-04,$64.32B
2015-05,$66.63B
2015-06,$64.59B
2015-07,$70.5B
2015-08,$64.92B
2015-09,$56.01B
2015-10,$63.25B
2015-11,$65.25B
2015-12,$66.45B
2016-01,$70.19B
2016-02,$70.67B
2016-03,$74.72B
2016-04,$75.04B
2016-05,$71.12B
2016-06,$71.47B
2016-07,$68.76B
2016-08,$69.76B
2016-09,$72.87B
2016-10,$68.38B
2016-11,$62.81B
2016-12,$59.18B
2017-01,$57.34B
2017-02,$59.66B
2017-03,$57.95B
2017-04,$59.66B
2017-05,$67.23B
2017-06,$63.1B
2017-07,$62.14B
2017-08,$61.01B
2017-09,$58.71B
2017-10,$59.38B
2017-11,$59.47B
2017-12,$57.6B
2018-01,$59.49B
2018-02,$50.8B
2018-03,$51.56B
2018-04,$48.23B
2018-05,$48.36B
2018-06,$50.16B
2018-07,$51.24B
2018-08,$47.14B
2018-09,$46.85B
2018-10,$46.04B
2018-11,$44.58B
2018-12,$42.48B
2019-01,$45.19B
2019-02,$45.59B
2019-03,$44.26B
2019-04,$40.9B
2019-05,$40.42B
2019-06,$39.16B
2019-07,$39.52B
2019-08,$37.49B
2019-09,$38.87B
2019-10,$40.03B
2019-11,$40.39B
2019-12,$39.62B
2020-01,$37.72B
2020-02,$35.41B
2020-03,$35.64B
2020-04,$32.67B
2020-05,$35.17B
2020-06,$32.99B
2020-07,$31.99B
2020-08,$33.35B
2020-09,$32.97B
2020-10,$33.56B
2020-11,$36.15B
2020-12,$36.53B
2021-01,$35.14B
2021-02,$33.86B
2021-03,$33.4B
2021-04,$33.59B
2021-05,$35.15B
2021-06,$34.89B
2021-07,$34.62B
2021-08,$34.83B
2021-09,$35.31B
2021-10,$35.18B
2021-11,$35.62B
2021-12,$36.14B
