timeline,ヒューリック株式会社
2006-12,$1.07B
2007-01,$1.08B
2007-02,$1.07B
2007-03,$1.1B
2007-04,$0.99B
2007-05,$1.04B
2007-06,$0.93B
2007-07,$0.81B
2007-08,$0.67B
2007-09,$0.63B
2007-10,$0.74B
2007-11,$0.61B
2007-12,$0.54B
2008-01,$0.52B
2008-03,$0.44B
2008-04,$0.54B
2008-05,$0.55B
2008-06,$0.44B
2008-07,$0.43B
2008-08,$0.38B
2008-09,$0.36B
2008-10,$0.32B
2008-11,$0.34B
2008-12,$0.33B
2009-01,$0.26B
2009-02,$0.14B
2009-03,$0.19B
2009-04,$0.24B
2009-05,$0.27B
2009-06,$0.29B
2009-07,$0.27B
2009-09,$0.26B
2009-10,$0.27B
2009-11,$0.25B
2010-04,$0.26B
2010-05,$0.23B
2010-06,$0.21B
2010-07,$0.23B
2010-08,$0.21B
2010-09,$0.22B
2010-11,$0.23B
2010-12,$0.26B
2011-03,$0.27B
2011-04,$0.26B
2011-05,$0.27B
2011-06,$0.26B
2011-07,$0.24B
2011-08,$0.23B
2011-09,$0.22B
2011-10,$0.21B
2011-11,$0.19B
2011-12,$0.11B
2012-01,$0.12B
2012-04,$0.11B
2012-06,$0.15B
2012-08,$1.85B
2012-09,$2.22B
2012-10,$2.98B
2012-11,$2.6B
2012-12,$3.04B
2013-01,$3.02B
2013-02,$3.62B
2013-03,$4.03B
2013-04,$5.64B
2013-05,$4.51B
2013-06,$5.55B
2013-07,$6.13B
2013-08,$6.33B
2013-09,$7.66B
2013-10,$8.12B
2013-11,$9.4B
2013-12,$8.12B
2014-01,$6.86B
2014-02,$6.12B
2014-03,$7.39B
2014-04,$6.42B
2014-05,$6.95B
2014-06,$6.98B
2014-07,$6.43B
2014-08,$6.17B
2014-09,$6.06B
2014-10,$6.3B
2014-11,$6.41B
2014-12,$6.33B
2015-01,$5.64B
2015-02,$6.83B
2015-03,$7.06B
2015-04,$6.74B
2015-05,$7.39B
2015-06,$6.31B
2015-07,$7.13B
2015-08,$6.49B
2015-09,$6.26B
2015-10,$6.6B
2015-11,$6.57B
2015-12,$6.21B
2016-01,$5.96B
2016-02,$5.82B
2016-03,$6.25B
2016-04,$6.39B
2016-06,$6.23B
2016-07,$6.24B
2016-08,$5.7B
2016-09,$5.96B
2016-10,$5.82B
2016-11,$6.24B
2016-12,$6.04B
2017-01,$6.4B
2017-02,$6.21B
2017-03,$6.08B
2017-04,$6.1B
2017-05,$6.08B
2017-06,$6.66B
2017-07,$6.77B
2017-08,$6.33B
2017-09,$6.41B
2017-10,$6.77B
2017-11,$7.15B
2017-12,$7.35B
2018-01,$8.03B
2018-02,$6.94B
2018-03,$6.74B
2018-04,$6.84B
2018-05,$6.49B
2018-06,$6.87B
2018-07,$6.36B
2018-08,$6.11B
2018-09,$6.48B
2018-10,$6.01B
2018-11,$6.03B
2018-12,$5.72B
2019-01,$5.83B
2019-02,$5.94B
2019-03,$6.31B
2019-04,$5.56B
2019-05,$5.01B
2019-06,$5.03B
2019-07,$5.45B
2019-08,$5.89B
2019-09,$6.42B
2019-10,$6.86B
2019-11,$7.27B
2019-12,$7.77B
2020-01,$7.88B
2020-02,$7.49B
2020-03,$6.47B
2020-05,$6.22B
2020-06,$6.23B
2020-07,$5.34B
2020-08,$5.59B
2020-09,$5.79B
2020-10,$5.92B
2020-11,$6.14B
2020-12,$6.6B
2021-01,$6.72B
2021-02,$7.04B
2021-03,$7.64B
2021-04,$7.47B
2021-05,$7.22B
2021-06,$7.45B
2021-07,$7.52B
2021-08,$7.7B
2021-09,$8.21B
2021-10,$6.9B
2021-11,$7.32B
2021-12,$7.48B
