timeline,ウエルシアホールディングス株式会社
2009-08,$0.21B
2009-09,$0.27B
2009-11,$0.25B
2009-12,$0.26B
2010-02,$0.25B
2010-05,$0.22B
2010-07,$0.24B
2010-12,$0.26B
2011-07,$0.27B
2011-08,$0.26B
2011-09,$0.24B
2011-10,$0.25B
2011-11,$0.24B
2011-12,$0.3B
2012-01,$0.31B
2012-02,$0.34B
2012-03,$0.38B
2012-04,$0.42B
2012-05,$0.43B
2012-06,$0.45B
2012-07,$0.47B
2012-08,$0.43B
2012-09,$0.41B
2012-10,$0.48B
2012-11,$0.44B
2012-12,$0.49B
2013-01,$0.55B
2013-02,$0.69B
2013-03,$0.76B
2013-04,$0.84B
2013-05,$0.72B
2013-06,$0.74B
2013-07,$0.86B
2013-08,$0.8B
2013-09,$0.85B
2013-10,$0.97B
2013-11,$0.98B
2013-12,$1.01B
2014-01,$1.11B
2014-02,$1.06B
2014-03,$1.08B
2014-04,$1.15B
2014-05,$1.14B
2014-06,$1.16B
2014-07,$1.24B
2014-08,$1.14B
2014-09,$1.22B
2014-10,$1.39B
2014-11,$1.46B
2014-12,$1.39B
2015-01,$1.69B
2015-02,$1.71B
2015-03,$1.74B
2015-04,$2.03B
2015-05,$2.29B
2015-06,$2.24B
2015-07,$2.54B
2015-08,$2.33B
2015-09,$2.32B
2015-10,$2.77B
2015-11,$3.14B
2015-12,$3.1B
2016-01,$2.98B
2016-02,$2.56B
2016-03,$2.97B
2016-04,$2.67B
2016-05,$2.86B
2016-06,$2.96B
2016-07,$3.11B
2016-08,$2.78B
2016-09,$3.18B
2016-10,$3.29B
2016-11,$3.27B
2017-01,$2.85B
2017-02,$2.88B
2017-03,$2.86B
2017-04,$3.3B
2017-05,$3.72B
2017-06,$3.82B
2017-07,$3.85B
2017-08,$3.96B
2017-09,$3.89B
2017-10,$3.95B
2017-11,$4.42B
2017-12,$4.47B
2018-01,$4.25B
2018-02,$4.35B
2018-03,$4.38B
2018-04,$5.17B
2018-05,$5.4B
2018-06,$5.41B
2018-07,$5.2B
2018-08,$4.71B
2018-09,$5.91B
2018-10,$5.29B
2018-11,$5.28B
2018-12,$4.55B
2019-01,$3.78B
2019-02,$3.63B
2019-03,$3.45B
2019-04,$4.02B
2019-05,$3.5B
2019-06,$4.03B
2019-07,$4.67B
2019-08,$5.11B
2019-09,$5.0B
2019-10,$5.75B
2019-11,$6.17B
2019-12,$6.39B
2020-01,$5.55B
2020-02,$5.98B
2020-03,$6.96B
2020-05,$7.71B
2020-06,$8.08B
2020-07,$8.48B
2020-08,$8.58B
2020-09,$8.64B
2020-10,$7.56B
2020-11,$7.8B
2020-12,$7.25B
2021-01,$6.84B
2021-02,$6.46B
2021-03,$7.05B
2021-04,$6.55B
2021-05,$6.2B
2021-06,$6.44B
2021-07,$6.56B
2021-08,$7.33B
2021-09,$7.72B
2021-10,$7.6B
2021-11,$7.79B
2021-12,$7.14B
