timeline,GLP投資法人
2013-08,$1.56B
2013-09,$1.78B
2013-10,$1.66B
2013-11,$1.9B
2014-01,$1.97B
2014-02,$1.98B
2014-03,$1.92B
2014-04,$1.87B
2014-05,$1.99B
2014-06,$2.1B
2014-07,$2.12B
2014-08,$2.3B
2014-09,$2.34B
2014-10,$2.32B
2014-11,$2.88B
2014-12,$2.82B
2015-02,$2.76B
2015-03,$2.62B
2015-04,$2.59B
2015-05,$2.57B
2015-06,$2.47B
2015-07,$2.52B
2015-08,$2.4B
2015-09,$2.41B
2015-10,$2.54B
2015-11,$2.75B
2015-12,$2.67B
2016-01,$2.68B
2016-02,$2.75B
2016-03,$2.94B
2016-04,$3.01B
2016-05,$2.91B
2016-06,$2.97B
2016-07,$2.98B
2016-08,$2.94B
2016-09,$3.08B
2016-10,$3.01B
2016-11,$3.23B
2016-12,$3.39B
2017-01,$3.26B
2017-02,$3.23B
2017-03,$3.24B
2017-04,$3.16B
2017-05,$3.14B
2017-06,$3.05B
2017-07,$3.02B
2017-08,$2.95B
2017-10,$2.87B
2017-11,$3.06B
2017-12,$3.07B
2018-01,$3.19B
2018-02,$2.84B
2018-03,$2.91B
2018-04,$2.96B
2018-05,$3.65B
2018-06,$3.53B
2018-07,$3.58B
2018-08,$3.34B
2018-09,$3.32B
2018-10,$3.35B
2018-11,$3.86B
2018-12,$3.78B
2019-01,$3.91B
2019-02,$3.93B
2019-03,$4.01B
2019-04,$4.05B
2019-05,$4.08B
2019-06,$4.15B
2019-07,$4.1B
2019-08,$4.43B
2019-09,$4.85B
2019-10,$4.76B
2019-11,$4.92B
2019-12,$4.56B
2020-01,$4.91B
2020-02,$4.87B
2020-03,$4.11B
2020-04,$4.69B
2020-05,$4.86B
2020-06,$5.11B
2020-07,$5.74B
2020-08,$5.77B
2020-09,$5.5B
2020-10,$5.49B
2020-11,$5.48B
2020-12,$5.56B
2021-01,$5.96B
2021-02,$6.07B
2021-03,$6.11B
2021-04,$6.35B
2021-05,$6.65B
2021-06,$7.27B
2021-07,$7.46B
2021-08,$7.92B
2021-09,$7.67B
2021-10,$7.3B
2021-11,$7.33B
2021-12,$7.47B
