timeline,日本プロロジスリート投資法人
2013-11,$2.43B
2013-12,$2.47B
2014-01,$2.55B
2014-02,$3.01B
2014-03,$2.87B
2014-04,$2.98B
2014-05,$3.07B
2014-06,$3.26B
2014-07,$3.31B
2014-08,$3.48B
2014-09,$3.52B
2014-10,$3.57B
2014-12,$3.98B
2015-01,$4.23B
2015-02,$4.21B
2015-03,$4.03B
2015-04,$3.95B
2015-05,$3.65B
2015-06,$3.44B
2015-07,$3.73B
2015-08,$3.36B
2015-09,$3.31B
2015-10,$3.25B
2015-11,$3.29B
2015-12,$3.33B
2016-01,$3.26B
2016-02,$3.65B
2016-03,$3.84B
2016-04,$3.98B
2016-05,$3.9B
2016-06,$4.08B
2016-07,$4.14B
2016-08,$4.03B
2016-09,$4.16B
2016-10,$3.85B
2016-12,$3.88B
2017-01,$3.83B
2017-02,$4.06B
2017-04,$3.96B
2017-05,$4.05B
2017-06,$4.02B
2017-07,$3.91B
2017-08,$4.32B
2017-09,$4.28B
2017-10,$4.32B
2017-11,$4.37B
2017-12,$4.32B
2018-01,$4.54B
2018-02,$4.39B
2018-03,$4.15B
2018-04,$4.18B
2018-05,$4.37B
2018-06,$4.43B
2018-07,$4.36B
2018-08,$4.17B
2018-09,$4.33B
2018-10,$4.39B
2018-11,$4.53B
2018-12,$4.47B
2019-01,$4.58B
2019-02,$4.56B
2019-03,$4.54B
2019-04,$4.61B
2019-05,$4.55B
2019-06,$4.8B
2019-07,$5.04B
2019-08,$5.96B
2019-09,$6.13B
2019-10,$6.25B
2019-11,$6.08B
2019-12,$5.72B
2020-01,$6.46B
2020-02,$6.47B
2020-03,$5.9B
2020-05,$6.48B
2020-06,$6.69B
2020-07,$7.92B
2020-08,$7.62B
2020-09,$7.73B
2020-10,$7.43B
2020-11,$7.36B
2020-12,$6.85B
2021-01,$7.33B
2021-02,$7.48B
2021-03,$7.54B
2021-04,$7.88B
2021-05,$7.87B
2021-06,$7.84B
2021-07,$8.28B
2021-08,$9.04B
2021-09,$9.29B
2021-10,$8.51B
2021-11,$8.65B
2021-12,$8.56B
