timeline,イオンリート投資法人
2014-01,$1.11B
2014-02,$1.09B
2014-03,$1.03B
2014-04,$1.09B
2014-05,$1.07B
2014-06,$1.12B
2014-07,$1.13B
2014-08,$1.19B
2014-09,$1.15B
2014-10,$1.18B
2014-11,$1.43B
2015-01,$1.35B
2015-02,$1.71B
2015-03,$1.66B
2015-04,$1.59B
2015-05,$1.54B
2015-06,$1.57B
2015-07,$1.43B
2015-08,$1.31B
2015-09,$1.21B
2015-10,$1.39B
2015-11,$1.37B
2016-01,$1.21B
2016-02,$1.23B
2016-03,$1.39B
2016-04,$1.56B
2016-05,$1.63B
2016-06,$1.36B
2016-07,$1.5B
2016-08,$1.49B
2016-09,$1.52B
2016-10,$1.47B
2016-11,$1.42B
2016-12,$1.48B
2017-01,$1.42B
2017-02,$1.44B
2017-03,$1.43B
2017-04,$1.76B
2017-06,$1.79B
2017-07,$1.74B
2017-08,$1.72B
2017-09,$1.64B
2017-10,$1.65B
2017-11,$1.83B
2017-12,$1.86B
2018-01,$1.87B
2018-02,$1.8B
2018-03,$1.76B
2018-04,$1.78B
2018-05,$1.93B
2018-06,$2.0B
2018-07,$1.87B
2018-09,$1.91B
2018-10,$1.95B
2018-11,$1.99B
2018-12,$1.98B
2019-01,$2.0B
2019-02,$2.02B
2019-03,$2.05B
2019-04,$2.11B
2019-05,$2.13B
2019-06,$2.16B
2019-07,$2.22B
2019-08,$2.19B
2019-09,$2.33B
2019-10,$2.57B
2019-11,$2.52B
2019-12,$2.46B
2020-01,$2.44B
2020-02,$2.29B
2020-03,$1.71B
2020-04,$1.78B
2020-05,$1.88B
2020-06,$1.92B
2020-07,$1.77B
2020-08,$1.85B
2020-09,$1.98B
2020-10,$1.97B
2020-11,$2.0B
2020-12,$2.1B
2021-01,$2.23B
2021-02,$2.37B
2021-03,$2.44B
2021-04,$2.49B
2021-05,$2.49B
2021-06,$2.67B
2021-07,$2.75B
2021-08,$2.63B
2021-09,$2.51B
2021-10,$2.72B
2021-11,$2.78B
2021-12,$2.79B
