timeline,株式会社コスモス薬品
2006-05,$0.55B
2006-06,$0.5B
2006-07,$0.43B
2006-08,$0.48B
2006-09,$0.53B
2006-11,$0.48B
2006-12,$0.54B
2007-01,$0.48B
2007-02,$0.45B
2007-03,$0.42B
2007-04,$0.39B
2007-05,$0.36B
2007-06,$0.31B
2007-07,$0.33B
2007-08,$0.31B
2007-09,$0.32B
2007-10,$0.31B
2007-11,$0.27B
2007-12,$0.28B
2008-01,$0.24B
2008-02,$0.23B
2008-03,$0.25B
2008-04,$0.19B
2008-05,$0.2B
2008-06,$0.19B
2008-07,$0.26B
2008-09,$0.19B
2008-10,$0.2B
2008-11,$0.25B
2008-12,$0.24B
2009-01,$0.3B
2009-02,$0.24B
2009-03,$0.21B
2009-04,$0.23B
2009-05,$0.26B
2009-06,$0.3B
2009-07,$0.35B
2009-09,$0.41B
2009-11,$0.38B
2009-12,$0.41B
2010-01,$0.35B
2010-02,$0.33B
2010-03,$0.35B
2010-05,$0.34B
2010-06,$0.33B
2010-07,$0.38B
2010-08,$0.42B
2010-09,$0.41B
2010-10,$0.44B
2010-11,$0.46B
2010-12,$0.54B
2011-01,$0.58B
2011-02,$0.6B
2011-03,$0.61B
2011-04,$0.63B
2011-05,$0.59B
2011-07,$0.63B
2011-08,$0.66B
2011-09,$0.7B
2011-10,$0.64B
2011-11,$0.65B
2011-12,$0.69B
2012-01,$0.63B
2012-02,$0.62B
2012-03,$0.73B
2012-04,$0.79B
2012-05,$0.77B
2012-06,$0.92B
2012-07,$1.11B
2012-08,$1.17B
2012-09,$1.25B
2012-10,$1.37B
2012-11,$1.48B
2012-12,$1.5B
2013-01,$1.71B
2013-02,$1.84B
2013-03,$2.14B
2013-04,$1.9B
2013-05,$1.79B
2013-06,$1.75B
2013-07,$1.82B
2013-08,$2.14B
2013-09,$2.25B
2013-10,$2.09B
2013-11,$1.91B
2013-12,$1.99B
2014-01,$2.25B
2014-02,$2.15B
2014-03,$2.11B
2014-04,$1.91B
2014-05,$1.83B
2014-06,$1.87B
2014-07,$2.21B
2014-08,$2.27B
2014-09,$2.43B
2014-10,$2.78B
2014-11,$2.75B
2014-12,$2.87B
2015-01,$3.32B
2015-02,$3.19B
2015-03,$3.28B
2015-04,$2.81B
2015-05,$2.95B
2015-06,$2.9B
2015-07,$2.79B
2015-08,$2.72B
2015-09,$2.46B
2015-10,$2.64B
2015-11,$2.94B
2015-12,$3.34B
2016-01,$3.16B
2016-02,$3.03B
2016-03,$3.27B
2016-04,$3.23B
2016-05,$3.48B
2016-06,$3.6B
2016-07,$3.75B
2016-08,$3.28B
2016-09,$3.78B
2016-10,$3.99B
2016-11,$3.66B
2016-12,$3.76B
2017-01,$3.64B
2017-02,$3.74B
2017-03,$3.8B
2017-04,$3.94B
2017-05,$4.08B
2017-06,$3.82B
2017-07,$4.1B
2017-08,$4.35B
2017-09,$4.39B
2017-10,$4.12B
2017-11,$4.41B
2017-12,$4.11B
2018-01,$3.4B
2018-02,$3.54B
2018-03,$3.77B
2018-04,$4.3B
2018-05,$4.1B
2018-06,$3.93B
2018-07,$4.29B
2018-08,$4.06B
2018-09,$4.46B
2018-10,$4.03B
2018-11,$4.02B
2018-12,$3.2B
2019-01,$3.64B
2019-02,$3.56B
2019-03,$3.34B
2019-04,$3.1B
2019-05,$3.0B
2019-06,$3.19B
2019-07,$3.52B
2019-08,$3.79B
2019-09,$3.69B
2019-10,$3.9B
2019-11,$3.86B
2019-12,$3.94B
2020-01,$4.19B
2020-02,$4.09B
2020-03,$4.5B
2020-04,$5.02B
2020-05,$5.4B
2020-06,$5.64B
2020-07,$6.55B
2020-08,$6.61B
2020-09,$6.42B
2020-10,$6.13B
2020-11,$6.21B
2020-12,$5.86B
2021-01,$5.7B
2021-02,$5.58B
2021-03,$6.07B
2021-04,$5.69B
2021-05,$5.39B
2021-06,$5.51B
2021-07,$6.21B
2021-08,$6.84B
2021-09,$7.22B
2021-10,$6.39B
2021-11,$6.48B
2021-12,$6.12B
