timeline,株式会社ツルハホールディングス
2006-05,$0.86B
2006-07,$0.85B
2006-08,$0.87B
2006-09,$0.94B
2006-10,$0.89B
2006-12,$0.88B
2007-01,$0.91B
2007-02,$0.86B
2007-03,$0.92B
2007-04,$0.86B
2007-05,$0.82B
2007-06,$0.91B
2007-07,$0.93B
2007-09,$0.8B
2007-10,$0.83B
2007-11,$0.79B
2007-12,$0.9B
2008-01,$0.82B
2008-02,$0.71B
2008-03,$0.9B
2008-04,$0.81B
2008-05,$0.77B
2008-06,$0.73B
2008-07,$0.75B
2008-08,$0.76B
2008-09,$0.66B
2008-10,$0.49B
2008-11,$0.59B
2008-12,$0.72B
2009-01,$0.69B
2009-02,$0.65B
2009-03,$0.52B
2009-04,$0.51B
2009-05,$0.58B
2009-06,$0.61B
2009-07,$0.63B
2009-08,$0.76B
2009-09,$0.78B
2009-10,$0.74B
2009-11,$0.71B
2009-12,$0.69B
2010-01,$0.71B
2010-02,$0.72B
2010-03,$0.7B
2010-04,$0.71B
2010-05,$0.64B
2010-06,$0.66B
2010-07,$0.7B
2010-08,$0.72B
2010-09,$0.73B
2010-10,$0.72B
2010-11,$0.76B
2010-12,$0.81B
2011-01,$0.83B
2011-02,$0.84B
2011-03,$0.79B
2011-04,$0.8B
2011-05,$0.78B
2011-06,$0.8B
2011-07,$0.83B
2011-08,$0.82B
2011-09,$0.9B
2011-10,$0.85B
2011-11,$0.84B
2011-12,$0.9B
2012-01,$0.85B
2012-02,$0.87B
2012-03,$1.02B
2012-04,$1.0B
2012-05,$0.96B
2012-06,$1.03B
2012-07,$1.05B
2012-08,$1.06B
2012-09,$1.22B
2012-10,$1.26B
2012-11,$1.3B
2012-12,$1.42B
2013-01,$1.6B
2013-02,$1.68B
2013-03,$1.91B
2013-04,$1.98B
2013-05,$1.73B
2013-06,$1.97B
2013-07,$1.89B
2013-08,$1.87B
2013-09,$1.82B
2013-10,$1.87B
2013-11,$1.98B
2013-12,$2.03B
2014-01,$2.02B
2014-02,$1.99B
2014-03,$2.14B
2014-04,$2.16B
2014-05,$2.3B
2014-06,$2.36B
2014-07,$2.5B
2014-08,$2.4B
2014-09,$2.58B
2014-10,$2.77B
2014-11,$2.84B
2014-12,$2.96B
2015-01,$3.37B
2015-02,$3.43B
2015-03,$3.91B
2015-04,$3.7B
2015-05,$3.91B
2015-06,$3.98B
2015-07,$4.55B
2015-08,$4.13B
2015-09,$4.31B
2015-10,$4.03B
2015-11,$4.61B
2015-12,$4.4B
2016-01,$4.15B
2016-02,$4.0B
2016-03,$4.64B
2016-04,$4.43B
2016-05,$4.86B
2016-06,$5.22B
2016-07,$4.93B
2016-08,$4.29B
2016-09,$4.92B
2016-10,$5.12B
2016-11,$4.94B
2016-12,$4.7B
2017-01,$4.49B
2017-02,$4.41B
2017-03,$4.36B
2017-04,$4.79B
2017-05,$5.2B
2017-06,$5.06B
2017-07,$4.91B
2017-08,$5.55B
2017-09,$5.71B
2017-10,$5.95B
2017-11,$6.59B
2017-12,$6.51B
2018-01,$6.46B
2018-02,$6.59B
2018-03,$6.45B
2018-04,$6.68B
2018-05,$6.88B
2018-06,$5.91B
2018-07,$5.84B
2018-08,$5.41B
2018-09,$5.96B
2018-10,$5.01B
2018-11,$4.78B
2018-12,$4.02B
2019-01,$4.28B
2019-02,$4.21B
2019-03,$3.84B
2019-04,$4.04B
2019-05,$3.71B
2019-06,$4.25B
2019-07,$4.75B
2019-08,$4.94B
2019-09,$5.02B
2019-10,$5.22B
2019-11,$5.56B
2019-12,$5.98B
2020-01,$5.73B
2020-02,$5.35B
2020-03,$6.08B
2020-04,$6.14B
2020-05,$6.44B
2020-06,$6.53B
2020-07,$6.27B
2020-08,$6.17B
2020-09,$6.29B
2020-10,$6.31B
2020-11,$6.56B
2020-12,$6.54B
2021-01,$6.16B
2021-02,$6.04B
2021-03,$6.19B
2021-04,$5.72B
2021-05,$5.57B
2021-06,$5.74B
2021-07,$5.54B
2021-08,$6.07B
2021-09,$6.18B
2021-10,$6.0B
2021-11,$6.11B
2021-12,$5.26B
