timeline,野村不動産マスターファンド投資法人
2013-08,$1.33B
2013-09,$1.47B
2013-10,$1.48B
2013-12,$1.59B
2014-02,$1.56B
2014-04,$1.57B
2014-05,$1.71B
2014-06,$1.82B
2014-07,$1.83B
2014-08,$1.92B
2014-09,$2.02B
2014-10,$1.98B
2014-11,$2.26B
2014-12,$2.29B
2015-01,$2.17B
2015-02,$2.16B
2015-03,$2.19B
2015-04,$2.29B
2015-05,$2.34B
2015-06,$2.29B
2015-07,$2.19B
2015-08,$1.92B
2015-09,$2.25B
2015-11,$2.18B
2015-12,$2.19B
2016-01,$2.17B
2016-02,$5.14B
2016-03,$5.52B
2016-04,$5.58B
2016-05,$5.75B
2016-06,$5.34B
2016-07,$5.57B
2016-08,$5.6B
2016-09,$5.55B
2016-10,$5.58B
2016-11,$6.29B
2016-12,$6.52B
2017-01,$6.49B
2017-02,$6.21B
2017-03,$6.38B
2017-04,$5.93B
2017-05,$6.15B
2017-06,$5.67B
2017-07,$5.77B
2017-08,$5.36B
2017-09,$5.4B
2017-10,$5.24B
2017-11,$5.23B
2017-12,$5.16B
2018-01,$5.61B
2018-02,$5.4B
2018-03,$5.42B
2018-04,$5.63B
2018-05,$5.81B
2018-06,$5.96B
2018-07,$6.04B
2018-08,$5.9B
2018-09,$5.92B
2018-10,$5.58B
2018-11,$5.78B
2018-12,$5.5B
2019-01,$5.94B
2019-02,$5.63B
2019-03,$6.02B
2019-05,$6.75B
2019-06,$6.65B
2019-07,$6.93B
2019-08,$7.44B
2019-09,$7.83B
2019-10,$8.28B
2019-11,$8.01B
2019-12,$7.44B
2020-01,$7.65B
2020-02,$7.39B
2020-03,$5.48B
2020-04,$4.96B
2020-05,$5.31B
2020-06,$5.32B
2020-07,$5.29B
2020-08,$5.41B
2020-09,$5.29B
2020-10,$5.21B
2020-11,$5.43B
2020-12,$5.69B
2021-01,$6.24B
2021-02,$6.49B
2021-03,$6.76B
2021-04,$6.84B
2021-05,$6.99B
2021-06,$7.21B
2021-07,$7.16B
2021-08,$7.12B
2021-09,$6.83B
2021-10,$6.69B
2021-11,$6.7B
2021-12,$6.69B
