timeline,ＴＩＳ株式会社
2009-03,$0.85B
2009-04,$0.9B
2009-05,$1.17B
2009-06,$1.29B
2009-07,$1.43B
2009-08,$0.99B
2009-09,$0.93B
2009-10,$0.85B
2009-11,$0.76B
2009-12,$0.79B
2010-01,$0.77B
2010-02,$0.74B
2010-03,$0.87B
2010-04,$1.02B
2010-05,$0.83B
2010-06,$0.82B
2010-07,$0.8B
2010-08,$0.73B
2010-09,$0.7B
2010-10,$0.69B
2010-11,$0.76B
2010-12,$0.84B
2011-01,$0.79B
2011-02,$0.72B
2011-03,$0.67B
2011-04,$0.61B
2011-05,$0.54B
2011-06,$0.55B
2011-07,$0.58B
2011-10,$0.63B
2011-11,$0.67B
2011-12,$0.72B
2012-02,$0.71B
2012-03,$0.75B
2012-04,$0.8B
2012-05,$0.68B
2012-06,$0.73B
2012-07,$0.63B
2012-08,$0.77B
2012-09,$0.79B
2012-10,$0.77B
2012-11,$0.78B
2012-12,$0.81B
2013-01,$1.0B
2013-02,$0.99B
2013-03,$0.96B
2013-04,$1.13B
2013-05,$1.09B
2013-06,$1.02B
2013-07,$0.88B
2013-08,$0.91B
2013-09,$0.96B
2013-10,$1.09B
2013-11,$1.2B
2013-12,$1.28B
2014-01,$1.32B
2014-02,$1.36B
2014-03,$1.31B
2014-04,$1.22B
2014-05,$1.34B
2014-06,$1.35B
2014-07,$1.47B
2014-08,$1.49B
2014-10,$1.39B
2014-11,$1.43B
2014-12,$1.41B
2015-01,$1.52B
2015-02,$1.63B
2015-03,$1.69B
2015-04,$1.84B
2015-05,$1.88B
2015-06,$2.01B
2015-07,$2.19B
2015-09,$2.09B
2015-10,$2.32B
2015-11,$2.3B
2015-12,$2.15B
2016-01,$2.03B
2016-02,$2.0B
2016-03,$2.04B
2016-04,$2.01B
2016-05,$2.06B
2016-06,$1.8B
2016-07,$2.05B
2016-08,$1.88B
2016-09,$2.0B
2016-10,$1.82B
2016-11,$1.84B
2016-12,$1.92B
2017-01,$1.96B
2017-02,$2.09B
2017-03,$2.15B
2017-04,$2.13B
2017-05,$2.44B
2017-06,$2.35B
2017-07,$2.51B
2017-08,$2.44B
2017-09,$2.49B
2017-10,$2.64B
2017-11,$2.87B
2017-12,$2.96B
2018-01,$2.9B
2018-02,$2.98B
2018-03,$3.16B
2018-04,$3.26B
2018-05,$3.86B
2018-06,$3.84B
2018-07,$4.01B
2018-09,$4.25B
2018-10,$3.79B
2018-11,$3.92B
2018-12,$3.24B
2019-01,$3.65B
2019-02,$3.88B
2019-03,$3.92B
2019-04,$3.77B
2019-05,$4.03B
2019-06,$4.1B
2019-07,$4.22B
2019-08,$4.62B
2019-10,$4.88B
2019-11,$4.82B
2019-12,$4.77B
2020-01,$4.89B
2020-02,$4.74B
2020-03,$3.96B
2020-04,$4.48B
2020-05,$5.1B
2020-06,$5.03B
2020-07,$5.02B
2020-08,$4.89B
2020-09,$4.81B
2020-10,$4.57B
2020-11,$4.61B
2020-12,$4.55B
2021-01,$4.95B
2021-02,$5.09B
2021-03,$5.28B
2021-04,$5.87B
2021-05,$6.01B
2021-06,$6.23B
2021-07,$6.42B
2021-08,$6.69B
2021-09,$7.33B
2021-10,$6.71B
2021-11,$7.38B
2021-12,$7.58B
