timeline,株式会社ネクソン
2011-12,$4.16B
2012-01,$4.19B
2012-02,$4.41B
2012-03,$5.5B
2012-04,$5.81B
2012-05,$4.73B
2012-06,$5.93B
2012-07,$6.2B
2012-08,$4.32B
2012-09,$4.1B
2012-10,$3.73B
2012-11,$3.54B
2012-12,$3.33B
2013-01,$3.69B
2013-02,$3.23B
2013-03,$3.52B
2013-04,$4.55B
2013-05,$4.2B
2013-06,$4.21B
2013-07,$4.79B
2013-08,$4.15B
2013-09,$4.63B
2013-10,$4.44B
2013-11,$3.69B
2013-12,$3.76B
2014-01,$3.48B
2014-02,$3.35B
2014-03,$3.37B
2014-04,$3.09B
2014-05,$3.46B
2014-06,$3.71B
2014-07,$3.84B
2014-08,$3.49B
2014-09,$3.43B
2014-10,$3.66B
2014-11,$4.26B
2014-12,$4.28B
2015-01,$4.43B
2015-02,$4.71B
2015-03,$4.84B
2015-04,$5.76B
2015-05,$6.34B
2015-06,$6.38B
2015-07,$6.44B
2015-08,$6.41B
2015-09,$6.05B
2015-10,$6.45B
2015-11,$7.46B
2015-12,$7.57B
2016-01,$7.42B
2016-02,$6.48B
2016-03,$7.36B
2016-04,$6.38B
2016-05,$7.0B
2016-06,$5.8B
2016-07,$5.92B
2016-08,$5.45B
2016-09,$6.05B
2016-10,$6.87B
2016-11,$6.14B
2016-12,$6.5B
2017-01,$6.6B
2017-02,$7.16B
2017-03,$6.81B
2017-04,$7.29B
2017-05,$8.05B
2017-06,$8.59B
2017-07,$8.89B
2017-08,$10.63B
2017-09,$11.37B
2017-10,$11.83B
2017-11,$12.53B
2017-12,$12.77B
2018-01,$14.07B
2018-02,$15.06B
2018-03,$13.69B
2018-04,$12.47B
2018-05,$14.12B
2018-06,$12.62B
2018-08,$10.96B
2018-09,$11.68B
2018-10,$10.14B
2018-11,$10.58B
2018-12,$11.14B
2019-01,$13.1B
2019-02,$13.93B
2019-03,$13.67B
2019-04,$12.6B
2019-05,$12.77B
2019-06,$12.34B
2019-07,$13.69B
2019-08,$11.29B
2019-09,$10.38B
2019-10,$9.9B
2019-11,$11.82B
2019-12,$11.28B
2020-01,$11.53B
2020-02,$13.75B
2020-04,$13.44B
2020-05,$17.48B
2020-06,$18.97B
2020-07,$20.23B
2020-08,$20.67B
2020-09,$20.35B
2020-10,$20.62B
2020-11,$22.46B
2020-12,$24.62B
2021-01,$25.28B
2021-02,$26.5B
2021-03,$27.9B
2021-04,$28.33B
2021-05,$22.05B
2021-06,$19.41B
2021-07,$18.23B
2021-08,$17.35B
2021-09,$15.97B
2021-10,$14.85B
2021-11,$18.28B
2021-12,$17.91B
