timeline,ＧＭＯペイメントゲートウェイ株式会社
2005-09,$0.08B
2005-10,$0.08B
2005-11,$0.07B
2005-12,$0.34B
2006-01,$0.39B
2006-02,$0.32B
2006-03,$0.4B
2006-04,$0.33B
2006-05,$0.22B
2006-06,$0.24B
2006-08,$0.26B
2006-09,$0.19B
2006-10,$0.17B
2006-11,$0.19B
2006-12,$0.16B
2007-02,$0.15B
2007-04,$0.13B
2007-05,$0.12B
2007-06,$0.11B
2007-07,$0.1B
2007-08,$0.08B
2007-09,$0.07B
2007-10,$0.1B
2007-12,$0.11B
2008-01,$0.09B
2008-02,$0.09B
2008-03,$0.09B
2008-04,$0.09B
2008-05,$0.1B
2008-06,$0.09B
2008-07,$0.08B
2008-08,$0.08B
2008-09,$0.07B
2008-10,$0.06B
2008-11,$0.05B
2008-12,$0.05B
2009-01,$0.08B
2009-02,$0.06B
2009-03,$0.06B
2009-04,$0.07B
2009-05,$0.07B
2009-06,$0.08B
2009-07,$0.09B
2009-08,$0.09B
2009-09,$0.09B
2009-10,$0.09B
2009-11,$0.09B
2009-12,$0.09B
2010-01,$0.08B
2010-02,$0.08B
2010-03,$0.09B
2010-04,$0.12B
2010-05,$0.11B
2010-08,$0.1B
2010-09,$0.13B
2010-10,$0.12B
2010-11,$0.13B
2010-12,$0.15B
2011-01,$0.17B
2011-02,$0.2B
2011-03,$0.23B
2011-04,$0.22B
2011-05,$0.21B
2011-06,$0.22B
2011-07,$0.21B
2011-09,$0.27B
2011-10,$0.26B
2011-12,$0.24B
2012-02,$0.25B
2012-03,$0.26B
2012-04,$0.23B
2012-05,$0.21B
2012-06,$0.24B
2012-07,$0.23B
2012-08,$0.21B
2012-10,$0.2B
2012-11,$0.21B
2012-12,$0.2B
2013-02,$0.28B
2013-03,$0.33B
2013-05,$0.3B
2013-06,$0.32B
2013-07,$0.35B
2013-08,$0.37B
2013-09,$0.41B
2013-10,$0.49B
2013-11,$0.65B
2013-12,$0.64B
2014-01,$0.75B
2014-02,$0.78B
2014-03,$0.67B
2014-04,$0.48B
2014-05,$0.56B
2014-06,$0.58B
2014-07,$0.72B
2014-08,$0.76B
2014-10,$0.68B
2014-11,$0.65B
2014-12,$0.69B
2015-01,$0.63B
2015-02,$0.8B
2015-03,$0.87B
2015-04,$0.95B
2015-05,$0.94B
2015-06,$1.29B
2015-07,$1.33B
2015-08,$1.34B
2015-09,$1.51B
2015-10,$1.57B
2015-11,$1.94B
2015-12,$1.9B
2016-01,$2.03B
2016-02,$2.08B
2016-03,$2.5B
2016-04,$2.31B
2016-05,$2.28B
2016-06,$1.9B
2016-07,$1.93B
2016-08,$1.56B
2016-09,$1.72B
2016-10,$1.58B
2016-11,$1.54B
2016-12,$1.7B
2017-01,$1.84B
2017-02,$2.1B
2017-03,$1.82B
2017-04,$1.64B
2017-05,$2.11B
2017-06,$2.04B
2017-07,$2.13B
2017-08,$2.3B
2017-09,$2.31B
2017-10,$2.71B
2017-12,$3.05B
2018-01,$3.14B
2018-02,$2.94B
2018-03,$3.47B
2018-04,$3.55B
2018-05,$3.81B
2018-06,$4.19B
2018-07,$4.12B
2018-08,$4.33B
2018-09,$4.61B
2018-10,$3.56B
2018-11,$4.54B
2018-12,$3.04B
2019-01,$3.65B
2019-02,$4.3B
2019-03,$5.1B
2019-04,$5.7B
2019-05,$4.74B
2019-06,$4.81B
2019-07,$5.18B
2019-08,$5.34B
2019-09,$4.69B
2019-10,$5.18B
2019-11,$5.03B
2019-12,$4.85B
2020-01,$4.61B
2020-02,$4.29B
2020-03,$4.92B
2020-04,$6.26B
2020-05,$7.87B
2020-06,$7.65B
2020-07,$7.13B
2020-08,$7.47B
2020-09,$7.16B
2020-10,$8.06B
2020-11,$8.84B
2020-12,$8.98B
2021-01,$9.65B
2021-02,$9.95B
2021-03,$9.28B
2021-04,$9.59B
2021-05,$8.56B
2021-06,$8.96B
2021-07,$9.39B
2021-08,$9.31B
2021-09,$10.5B
2021-10,$9.56B
2021-11,$10.16B
2021-12,$10.23B
