timeline,住友化学株式会社
2001-01,$8.55B
2001-02,$8.12B
2001-03,$8.86B
2001-04,$9.64B
2001-05,$8.64B
2001-06,$8.22B
2001-07,$7.77B
2001-08,$7.46B
2001-09,$5.97B
2001-10,$6.82B
2001-11,$6.61B
2001-12,$6.5B
2002-01,$6.66B
2002-02,$7.29B
2002-03,$7.34B
2002-04,$7.93B
2002-05,$8.38B
2002-06,$7.96B
2002-07,$6.99B
2002-08,$6.92B
2002-09,$6.82B
2002-10,$5.36B
2002-11,$6.45B
2002-12,$6.85B
2003-01,$6.67B
2003-02,$5.84B
2003-03,$5.86B
2003-04,$4.72B
2003-05,$4.79B
2003-06,$5.5B
2003-07,$5.15B
2003-08,$6.16B
2003-09,$5.94B
2003-10,$5.99B
2003-11,$5.71B
2003-12,$6.45B
2004-01,$6.41B
2004-02,$5.94B
2004-03,$7.15B
2004-04,$7.45B
2004-05,$7.48B
2004-06,$7.43B
2004-07,$6.69B
2004-08,$7.17B
2004-09,$7.62B
2004-10,$7.51B
2004-11,$7.49B
2004-12,$7.33B
2005-01,$7.83B
2005-02,$8.15B
2005-03,$7.74B
2005-04,$7.84B
2005-05,$7.45B
2005-07,$8.38B
2005-08,$8.97B
2005-09,$10.25B
2005-10,$10.0B
2005-11,$10.91B
2005-12,$11.83B
2006-01,$13.2B
2006-02,$13.29B
2006-03,$13.99B
2006-04,$14.57B
2006-05,$14.06B
2006-06,$13.93B
2006-07,$13.23B
2006-08,$13.49B
2006-09,$12.88B
2006-10,$12.18B
2006-11,$11.36B
2006-12,$13.48B
2007-01,$13.59B
2007-02,$13.14B
2007-03,$13.0B
2007-04,$11.62B
2007-05,$11.77B
2007-06,$12.09B
2007-07,$13.02B
2007-08,$12.63B
2007-09,$14.38B
2007-10,$14.88B
2007-11,$13.78B
2007-12,$14.56B
2008-01,$11.0B
2008-02,$10.66B
2008-03,$9.32B
2008-04,$9.86B
2008-05,$11.24B
2008-06,$9.77B
2008-07,$10.45B
2008-08,$9.83B
2008-09,$6.64B
2008-10,$4.28B
2008-11,$4.86B
2008-12,$4.41B
2009-01,$4.22B
2009-02,$4.35B
2009-03,$4.85B
2009-04,$5.61B
2009-05,$6.1B
2009-06,$6.33B
2009-07,$6.83B
2009-08,$6.49B
2009-09,$5.45B
2009-10,$5.37B
2009-11,$4.95B
2009-12,$5.9B
2010-01,$5.93B
2010-02,$5.74B
2010-03,$6.65B
2010-04,$6.49B
2010-05,$5.42B
2010-06,$5.05B
2010-07,$5.46B
2010-08,$5.02B
2010-09,$5.33B
2010-10,$5.11B
2010-11,$5.23B
2010-12,$5.82B
2011-01,$6.17B
2011-02,$6.41B
2011-03,$5.98B
2011-04,$6.2B
2011-05,$5.85B
2011-06,$5.77B
2011-07,$5.65B
2011-08,$4.6B
2011-09,$4.34B
2011-10,$4.25B
2011-11,$4.15B
2011-12,$4.05B
2012-01,$4.43B
2012-02,$5.08B
2012-03,$5.14B
2012-04,$4.83B
2012-05,$3.61B
2012-06,$3.55B
2012-07,$3.16B
2012-08,$2.94B
2012-09,$2.87B
2012-10,$3.23B
2012-11,$3.39B
2012-12,$3.88B
2013-01,$3.85B
2013-02,$3.95B
2013-03,$4.22B
2013-04,$4.7B
2013-05,$4.71B
2013-06,$4.5B
2013-07,$4.66B
2013-08,$5.16B
2013-09,$5.39B
2013-10,$5.16B
2013-11,$5.94B
2014-01,$6.08B
2014-02,$6.0B
2014-03,$5.49B
2014-04,$5.52B
2014-05,$5.44B
2014-06,$5.52B
2014-07,$5.72B
2014-08,$5.38B
2014-09,$5.64B
2014-10,$5.45B
2014-11,$6.47B
2014-12,$6.91B
2015-01,$6.75B
2015-02,$8.06B
2015-03,$8.91B
2015-04,$9.73B
2015-05,$10.45B
2015-06,$10.61B
2015-07,$10.21B
2015-08,$8.71B
2015-09,$8.68B
2015-10,$10.08B
2015-11,$10.18B
2015-12,$10.11B
2016-01,$8.69B
2016-02,$7.12B
2016-03,$7.34B
2016-04,$7.29B
2016-05,$7.32B
2016-06,$6.03B
2016-07,$6.63B
2016-08,$6.83B
2016-09,$6.41B
2016-10,$7.18B
2016-11,$7.54B
2016-12,$8.01B
2017-01,$8.69B
2017-02,$9.02B
2017-03,$8.97B
2017-04,$9.07B
2017-05,$8.33B
2017-06,$9.31B
2017-07,$9.34B
2017-08,$9.5B
2017-09,$10.13B
2017-10,$11.44B
2017-11,$11.27B
2017-12,$11.68B
2018-01,$11.53B
2018-02,$9.64B
2018-03,$8.94B
2018-04,$9.07B
2018-05,$9.5B
2018-06,$9.06B
2018-07,$9.24B
2018-08,$9.1B
2018-09,$9.59B
2018-10,$8.16B
2018-11,$8.88B
2018-12,$7.69B
2019-01,$8.16B
2019-02,$7.96B
2019-03,$7.43B
2019-04,$7.96B
2019-05,$6.78B
2019-06,$7.21B
2019-08,$6.71B
2019-09,$6.99B
2019-10,$7.2B
2019-11,$7.12B
2019-12,$7.18B
2020-01,$6.81B
2020-02,$5.67B
2020-03,$4.63B
2020-05,$4.71B
2020-06,$4.64B
2020-07,$4.62B
2020-08,$4.99B
2020-09,$5.0B
2020-10,$5.04B
2020-11,$5.54B
2020-12,$5.83B
2021-01,$6.61B
2021-02,$7.42B
2021-03,$8.17B
2021-04,$8.16B
2021-05,$8.56B
2021-06,$8.69B
2021-07,$7.85B
2021-08,$8.11B
2021-09,$8.89B
2021-10,$8.16B
2021-11,$8.24B
2021-12,$7.78B
