timeline,イビデン株式会社
2006-03,$7.84B
2006-04,$7.13B
2006-05,$7.38B
2006-06,$7.25B
2006-07,$7.3B
2006-08,$7.92B
2006-09,$8.22B
2006-10,$8.08B
2006-11,$7.64B
2006-12,$7.9B
2007-01,$7.89B
2007-02,$7.81B
2007-03,$8.05B
2007-04,$8.91B
2007-05,$8.54B
2007-06,$10.4B
2007-07,$11.47B
2007-08,$12.86B
2007-09,$12.63B
2007-10,$12.71B
2007-11,$11.4B
2007-12,$10.12B
2008-01,$8.75B
2008-02,$6.63B
2008-03,$5.12B
2008-04,$5.9B
2008-05,$5.8B
2008-06,$5.04B
2008-07,$4.21B
2008-08,$4.24B
2008-09,$3.25B
2008-10,$2.34B
2008-11,$1.95B
2008-12,$2.37B
2009-01,$2.43B
2009-02,$2.5B
2009-03,$3.09B
2009-04,$3.74B
2009-05,$3.56B
2009-06,$3.48B
2009-07,$4.04B
2009-08,$4.24B
2009-09,$4.28B
2009-11,$3.74B
2009-12,$4.23B
2010-01,$3.98B
2010-02,$3.84B
2010-03,$4.13B
2010-04,$4.37B
2010-05,$3.52B
2010-06,$3.1B
2010-07,$3.31B
2010-08,$2.6B
2010-09,$2.72B
2010-10,$2.54B
2010-11,$2.95B
2010-12,$3.29B
2011-01,$3.56B
2011-02,$3.61B
2011-03,$3.31B
2011-04,$3.44B
2011-05,$3.32B
2011-06,$3.16B
2011-07,$2.95B
2011-08,$2.35B
2011-09,$2.09B
2011-10,$2.23B
2011-12,$1.92B
2012-01,$1.96B
2012-02,$2.47B
2012-03,$2.82B
2012-04,$2.19B
2012-05,$1.84B
2012-06,$1.9B
2012-07,$1.62B
2012-08,$1.49B
2012-09,$1.44B
2012-10,$1.27B
2012-11,$1.42B
2012-12,$1.72B
2013-01,$1.64B
2013-02,$1.83B
2013-03,$1.85B
2013-04,$2.08B
2013-05,$1.97B
2013-06,$1.88B
2013-07,$1.78B
2013-08,$1.73B
2013-09,$1.95B
2013-10,$2.06B
2013-11,$2.13B
2013-12,$2.39B
2014-01,$2.32B
2014-02,$2.42B
2014-03,$2.48B
2014-04,$2.24B
2014-05,$2.26B
2014-06,$2.48B
2014-07,$2.53B
2014-08,$2.49B
2014-09,$2.6B
2014-10,$1.99B
2014-11,$2.15B
2014-12,$2.18B
2015-01,$2.17B
2015-02,$2.45B
2015-03,$2.47B
2015-04,$2.56B
2015-05,$2.83B
2015-06,$2.52B
2015-07,$2.5B
2015-08,$2.09B
2015-09,$1.9B
2015-10,$2.04B
2015-11,$2.35B
2015-12,$2.12B
2016-01,$2.04B
2016-02,$1.67B
2016-03,$1.61B
2016-04,$1.64B
2016-05,$1.65B
2016-06,$1.35B
2016-07,$1.55B
2016-08,$1.54B
2016-09,$1.58B
2016-10,$1.79B
2016-11,$1.82B
2016-12,$1.85B
2017-01,$1.89B
2017-02,$2.13B
2017-03,$2.03B
2017-04,$2.3B
2017-05,$2.33B
2017-06,$2.27B
2017-07,$2.25B
2017-08,$2.14B
2017-09,$2.1B
2017-10,$2.21B
2017-11,$2.1B
2017-12,$1.98B
2018-01,$1.99B
2018-02,$2.04B
2018-03,$1.86B
2018-04,$2.23B
2018-05,$2.09B
2018-06,$2.19B
2018-07,$2.26B
2018-08,$1.99B
2018-09,$1.96B
2018-10,$1.72B
2018-11,$1.95B
2018-12,$1.91B
2019-01,$1.95B
2019-03,$2.07B
2019-04,$2.45B
2019-05,$2.08B
2019-06,$2.32B
2019-07,$2.41B
2019-08,$2.54B
2019-09,$2.68B
2019-10,$3.08B
2019-11,$3.18B
2019-12,$3.21B
2020-01,$3.16B
2020-02,$2.94B
2020-04,$3.04B
2020-05,$3.51B
2020-06,$3.87B
2020-07,$3.5B
2020-08,$4.18B
2020-09,$4.43B
2020-10,$5.21B
2020-11,$5.57B
2020-12,$6.08B
2021-01,$6.13B
2021-02,$5.69B
2021-03,$6.02B
2021-04,$6.55B
2021-05,$5.83B
2021-06,$6.96B
2021-07,$7.18B
2021-08,$7.25B
2021-09,$8.33B
2021-10,$7.56B
2021-11,$8.45B
2021-12,$8.77B
