timeline,信越化学工業株式会社
2009-09,$26.66B
2009-10,$24.63B
2009-11,$22.79B
2009-12,$24.09B
2010-03,$24.47B
2010-04,$24.31B
2010-05,$23.86B
2010-08,$19.11B
2010-10,$21.65B
2010-11,$20.91B
2010-12,$21.89B
2011-01,$24.31B
2011-02,$24.27B
2011-03,$21.44B
2011-04,$21.85B
2011-05,$21.65B
2011-07,$23.78B
2011-08,$21.02B
2011-09,$21.74B
2011-11,$20.59B
2011-12,$20.55B
2012-01,$22.08B
2012-02,$23.14B
2012-03,$23.25B
2012-04,$24.51B
2012-05,$21.65B
2012-06,$23.33B
2012-07,$21.63B
2012-08,$22.62B
2012-09,$24.01B
2012-10,$23.98B
2012-11,$25.06B
2012-12,$25.83B
2013-01,$26.06B
2013-02,$26.21B
2013-03,$28.18B
2013-04,$28.49B
2013-05,$27.19B
2013-06,$28.39B
2013-07,$26.53B
2013-08,$25.63B
2013-09,$26.06B
2013-10,$23.85B
2013-11,$24.58B
2013-12,$24.86B
2014-01,$23.82B
2014-02,$23.95B
2014-03,$24.4B
2014-04,$24.89B
2014-05,$25.31B
2014-06,$25.85B
2014-07,$27.23B
2014-08,$26.5B
2014-09,$27.89B
2014-10,$27.45B
2014-11,$28.86B
2014-12,$28.03B
2015-01,$28.25B
2015-02,$29.25B
2015-03,$27.85B
2015-04,$26.32B
2015-05,$26.13B
2015-06,$26.38B
2015-07,$25.46B
2015-08,$23.45B
2015-09,$21.72B
2015-10,$25.46B
2015-11,$24.14B
2015-12,$23.39B
2016-01,$21.78B
2016-02,$21.21B
2016-03,$22.07B
2016-04,$24.44B
2016-05,$24.86B
2016-06,$24.7B
2016-07,$28.71B
2016-08,$31.44B
2016-09,$29.47B
2016-10,$32.46B
2016-11,$32.03B
2016-12,$33.21B
2017-01,$36.52B
2017-02,$35.89B
2017-03,$36.78B
2017-04,$37.11B
2017-05,$38.2B
2017-06,$38.76B
2017-07,$39.01B
2017-08,$37.52B
2017-09,$38.13B
2017-10,$44.94B
2017-11,$44.78B
2017-12,$43.24B
2018-01,$48.66B
2018-02,$45.13B
2018-03,$44.06B
2018-04,$43.05B
2018-05,$42.72B
2018-06,$38.11B
2018-07,$42.85B
2018-08,$39.64B
2018-09,$37.46B
2018-10,$35.35B
2018-11,$37.71B
2018-12,$33.0B
2019-01,$35.91B
2019-02,$35.67B
2019-03,$35.78B
2019-04,$38.92B
2019-05,$34.38B
2019-06,$38.7B
2019-07,$42.7B
2019-08,$41.83B
2019-09,$44.52B
2019-10,$46.46B
2019-11,$43.27B
2019-12,$46.04B
2020-01,$48.53B
2020-02,$46.04B
2020-03,$39.78B
2020-04,$46.85B
2020-05,$46.78B
2020-06,$48.68B
2020-07,$49.74B
2020-08,$50.38B
2020-09,$53.51B
2020-10,$56.01B
2020-11,$61.92B
2020-12,$70.03B
2021-01,$72.36B
2021-02,$70.67B
2021-03,$69.9B
2021-04,$72.13B
2021-05,$69.99B
2021-06,$71.07B
2021-07,$67.72B
2021-08,$67.96B
2021-09,$77.72B
2021-10,$71.06B
2021-11,$73.03B
2021-12,$71.47B
