timeline,協和キリン株式会社
2001-01,$3.16B
2001-02,$3.09B
2001-03,$3.07B
2001-04,$3.41B
2001-05,$3.18B
2001-07,$3.01B
2001-08,$2.8B
2001-09,$2.65B
2001-10,$2.75B
2001-11,$2.55B
2001-12,$2.38B
2002-01,$2.34B
2002-02,$2.5B
2002-03,$2.62B
2002-04,$2.81B
2002-05,$2.74B
2002-06,$2.49B
2002-07,$2.36B
2002-08,$2.38B
2002-09,$2.24B
2002-10,$2.04B
2002-11,$1.92B
2002-12,$1.88B
2003-01,$1.91B
2003-02,$1.92B
2003-03,$1.94B
2003-04,$2.05B
2003-05,$2.28B
2003-06,$2.48B
2003-07,$2.49B
2003-08,$2.51B
2003-09,$2.5B
2003-10,$2.48B
2003-11,$2.37B
2003-12,$2.61B
2004-01,$2.54B
2004-02,$2.65B
2004-03,$2.64B
2004-04,$2.81B
2004-05,$2.79B
2004-06,$3.01B
2004-07,$2.97B
2004-08,$2.89B
2004-09,$2.75B
2004-10,$2.84B
2004-11,$2.82B
2004-12,$2.95B
2005-01,$3.05B
2005-03,$3.14B
2005-04,$2.98B
2005-05,$2.65B
2005-06,$2.75B
2005-07,$2.84B
2005-08,$3.12B
2005-09,$3.37B
2005-10,$3.43B
2005-11,$3.24B
2005-12,$3.15B
2006-01,$3.58B
2006-02,$3.38B
2006-03,$3.29B
2006-04,$3.04B
2006-05,$2.94B
2006-06,$2.95B
2006-07,$3.19B
2006-08,$3.29B
2006-09,$3.19B
2006-10,$3.45B
2006-11,$3.49B
2006-12,$3.9B
2007-01,$4.04B
2007-02,$4.14B
2007-03,$3.84B
2007-04,$3.95B
2007-05,$4.29B
2007-06,$4.09B
2007-07,$4.22B
2007-08,$3.96B
2007-09,$4.16B
2007-10,$4.42B
2007-12,$4.2B
2008-01,$3.73B
2008-02,$3.58B
2008-03,$3.35B
2008-04,$3.31B
2008-05,$3.6B
2008-06,$3.83B
2008-07,$4.26B
2008-08,$4.22B
2008-09,$3.85B
2008-10,$2.83B
2008-11,$2.85B
2008-12,$3.27B
2009-01,$2.88B
2009-02,$2.7B
2009-03,$4.2B
2009-04,$4.41B
2009-05,$5.07B
2009-06,$5.54B
2009-08,$5.74B
2009-09,$5.78B
2009-10,$5.4B
2009-11,$4.73B
2009-12,$5.01B
2010-01,$4.79B
2010-02,$4.68B
2010-03,$4.9B
2010-04,$5.05B
2010-05,$4.52B
2010-06,$4.3B
2010-07,$4.5B
2010-08,$4.18B
2010-09,$4.2B
2010-10,$4.01B
2010-11,$4.28B
2010-12,$4.2B
2011-01,$4.21B
2011-02,$4.18B
2011-03,$3.92B
2011-04,$4.05B
2011-05,$4.0B
2011-06,$3.84B
2011-07,$4.13B
2011-08,$4.0B
2011-09,$4.33B
2011-10,$4.46B
2011-11,$4.5B
2011-12,$4.61B
2012-01,$4.6B
2012-02,$4.25B
2012-03,$4.51B
2012-04,$4.13B
2012-05,$3.78B
2012-06,$4.0B
2012-07,$4.28B
2012-09,$4.62B
2012-10,$4.16B
2012-11,$4.12B
2012-12,$4.1B
2013-01,$4.17B
2013-02,$4.69B
2013-03,$5.18B
2013-04,$5.77B
2013-05,$5.5B
2013-06,$5.42B
2013-07,$4.72B
2013-08,$4.79B
2013-09,$4.86B
2013-10,$5.23B
2013-11,$5.76B
2013-12,$5.59B
2014-01,$5.06B
2014-02,$5.26B
2014-03,$5.31B
2014-04,$5.62B
2014-05,$5.95B
2014-06,$6.62B
2014-07,$6.85B
2014-08,$6.8B
2014-09,$6.49B
2014-10,$6.14B
2014-11,$6.22B
2014-12,$5.48B
2015-01,$6.5B
2015-02,$6.97B
2015-03,$7.56B
2015-04,$8.47B
2015-05,$7.57B
2015-06,$7.73B
2015-07,$9.74B
2015-08,$9.84B
2015-09,$8.58B
2015-10,$9.66B
2015-11,$10.47B
2015-12,$9.24B
2016-01,$8.33B
2016-02,$8.12B
2016-03,$8.66B
2016-04,$9.57B
2016-05,$9.75B
2016-06,$8.38B
2016-07,$8.7B
2016-08,$7.08B
2016-09,$7.65B
2016-10,$7.74B
2016-11,$7.87B
2016-12,$7.8B
2017-01,$7.34B
2017-02,$8.11B
2017-03,$8.5B
2017-04,$9.22B
2017-05,$9.14B
2017-06,$10.07B
2017-07,$9.66B
2017-08,$9.32B
2017-09,$9.23B
2017-10,$10.07B
2017-11,$10.27B
2017-12,$10.51B
2018-01,$10.3B
2018-02,$10.95B
2018-03,$11.28B
2018-04,$11.46B
2018-05,$10.75B
2018-06,$10.77B
2018-07,$10.22B
2018-08,$9.51B
2018-09,$10.27B
2018-10,$10.59B
2018-11,$11.23B
2018-12,$10.02B
2019-01,$10.04B
2019-02,$10.06B
2019-03,$10.86B
2019-04,$10.2B
2019-05,$9.7B
2019-06,$9.18B
2019-07,$8.53B
2019-08,$9.2B
2019-09,$9.93B
2019-10,$9.45B
2019-11,$10.99B
2019-12,$12.18B
2020-01,$12.24B
2020-02,$12.5B
2020-03,$11.47B
2020-04,$11.92B
2020-05,$13.83B
2020-06,$13.39B
2020-07,$12.5B
2020-08,$12.9B
2020-09,$13.94B
2020-10,$12.5B
2020-11,$13.49B
2020-12,$13.21B
2021-01,$14.05B
2021-02,$14.42B
2021-03,$15.41B
2021-04,$15.7B
2021-05,$15.63B
2021-06,$17.76B
2021-07,$17.79B
2021-08,$17.17B
2021-09,$19.82B
2021-10,$18.09B
2021-11,$16.84B
2021-12,$15.46B
