timeline,積水化学工業株式会社
2006-03,$4.66B
2006-04,$4.6B
2006-05,$4.44B
2006-06,$4.62B
2006-07,$4.63B
2006-08,$4.81B
2006-09,$4.65B
2006-10,$4.83B
2006-11,$4.57B
2006-12,$4.43B
2007-01,$4.34B
2007-02,$4.57B
2007-03,$4.39B
2007-04,$4.37B
2007-05,$4.26B
2007-06,$4.46B
2007-07,$4.36B
2007-08,$4.01B
2007-09,$3.94B
2007-10,$3.67B
2007-11,$3.54B
2007-12,$3.52B
2008-01,$3.26B
2008-02,$3.45B
2008-03,$2.82B
2008-04,$3.54B
2008-05,$3.61B
2008-06,$3.38B
2008-07,$3.22B
2008-08,$3.18B
2008-09,$2.9B
2008-10,$2.65B
2008-11,$2.47B
2008-12,$2.6B
2009-01,$2.37B
2009-02,$1.97B
2009-03,$2.29B
2009-04,$2.42B
2009-05,$2.71B
2009-06,$2.81B
2009-07,$2.59B
2009-08,$2.75B
2009-09,$2.42B
2009-10,$2.57B
2009-11,$2.38B
2009-12,$2.67B
2010-01,$2.83B
2010-02,$2.72B
2010-03,$2.94B
2010-04,$2.98B
2010-05,$2.6B
2010-06,$2.59B
2010-07,$2.72B
2010-08,$2.28B
2010-09,$2.34B
2010-10,$2.37B
2010-11,$2.66B
2010-12,$2.7B
2011-01,$2.92B
2011-02,$2.98B
2011-03,$3.0B
2011-04,$3.1B
2011-05,$2.98B
2011-06,$3.15B
2011-07,$3.28B
2011-08,$3.02B
2011-10,$2.86B
2011-11,$2.62B
2011-12,$2.92B
2012-01,$3.08B
2012-02,$3.21B
2012-03,$3.26B
2012-04,$3.27B
2012-05,$3.04B
2012-06,$3.31B
2012-07,$2.99B
2012-08,$2.87B
2012-09,$2.82B
2012-10,$2.94B
2012-11,$2.9B
2012-12,$3.36B
2013-01,$3.95B
2013-02,$4.03B
2013-03,$4.63B
2013-04,$5.58B
2013-05,$4.65B
2013-06,$4.8B
2013-07,$4.48B
2013-08,$4.12B
2013-09,$4.54B
2013-10,$5.18B
2013-11,$5.46B
2013-12,$5.87B
2014-01,$5.46B
2014-02,$5.28B
2014-03,$4.82B
2014-04,$4.66B
2014-05,$4.94B
2014-06,$5.27B
2014-07,$5.58B
2014-08,$5.52B
2014-09,$5.65B
2014-10,$6.08B
2014-11,$6.63B
2014-12,$6.38B
2015-01,$5.67B
2015-02,$6.73B
2015-03,$6.87B
2015-04,$7.07B
2015-05,$7.39B
2015-06,$6.62B
2015-07,$6.07B
2015-08,$5.9B
2015-09,$5.52B
2015-10,$6.33B
2015-11,$6.46B
2015-12,$6.87B
2016-01,$6.28B
2016-02,$5.4B
2016-03,$5.97B
2016-05,$6.23B
2016-06,$5.4B
2016-07,$6.5B
2016-08,$6.23B
2016-09,$6.22B
2016-10,$7.13B
2016-11,$7.46B
2016-12,$8.03B
2017-01,$7.94B
2017-02,$7.99B
2017-03,$7.9B
2017-04,$7.89B
2017-05,$8.21B
2017-06,$8.42B
2017-07,$8.51B
2017-08,$8.59B
2017-09,$9.27B
2017-10,$9.54B
2017-11,$9.07B
2017-12,$9.45B
2018-01,$8.7B
2018-02,$8.44B
2018-03,$7.74B
2018-04,$8.09B
2018-05,$7.46B
2018-06,$7.87B
2018-07,$8.21B
2018-08,$7.94B
2018-09,$8.61B
2018-10,$7.29B
2018-11,$7.57B
2018-12,$6.7B
2019-01,$6.95B
2019-02,$7.17B
2019-03,$7.3B
2019-04,$7.31B
2019-05,$6.52B
2019-06,$6.61B
2019-07,$6.62B
2019-08,$6.25B
2019-09,$6.78B
2019-10,$7.69B
2019-11,$7.72B
2019-12,$7.69B
2020-01,$7.45B
2020-02,$6.5B
2020-03,$5.91B
2020-04,$5.54B
2020-05,$6.08B
2020-06,$6.2B
2020-07,$5.98B
2020-08,$6.71B
2020-09,$6.75B
2020-10,$6.7B
2020-11,$6.95B
2020-12,$7.63B
2021-01,$7.81B
2021-02,$7.99B
2021-03,$8.27B
2021-04,$8.07B
2021-05,$7.59B
2021-06,$7.5B
2021-07,$7.49B
2021-08,$7.64B
2021-09,$8.17B
2021-10,$7.31B
2021-11,$7.47B
2021-12,$7.63B
