timeline,株式会社野村総合研究所
2006-03,$5.72B
2006-04,$5.61B
2006-05,$5.26B
2006-06,$5.62B
2006-07,$6.09B
2006-08,$6.2B
2006-09,$6.51B
2006-10,$6.77B
2006-11,$6.55B
2006-12,$6.85B
2007-01,$7.46B
2007-02,$7.14B
2007-03,$6.88B
2007-04,$5.78B
2007-05,$5.85B
2007-06,$7.06B
2007-07,$7.37B
2007-08,$7.59B
2007-09,$7.61B
2007-10,$7.88B
2007-11,$7.65B
2007-12,$7.16B
2008-01,$5.46B
2008-02,$5.86B
2008-03,$5.07B
2008-04,$4.47B
2008-05,$5.08B
2008-06,$4.85B
2008-07,$4.71B
2008-08,$4.85B
2008-09,$4.13B
2008-10,$3.07B
2008-11,$3.5B
2008-12,$3.29B
2009-01,$3.19B
2009-02,$3.03B
2009-03,$2.62B
2009-04,$2.99B
2009-05,$3.0B
2009-06,$3.68B
2009-07,$4.02B
2009-08,$3.81B
2009-09,$3.66B
2009-10,$3.41B
2009-11,$3.12B
2009-12,$3.14B
2010-01,$3.47B
2010-02,$3.34B
2010-03,$3.65B
2010-04,$4.13B
2010-05,$3.6B
2010-06,$3.25B
2010-07,$2.94B
2010-08,$2.8B
2010-09,$2.69B
2010-10,$2.6B
2010-11,$2.89B
2010-12,$3.1B
2011-01,$3.06B
2011-02,$3.28B
2011-03,$3.15B
2011-04,$2.98B
2011-05,$2.9B
2011-06,$3.01B
2011-07,$3.16B
2011-08,$2.97B
2011-09,$3.05B
2011-10,$3.07B
2011-11,$2.89B
2011-12,$2.99B
2012-01,$2.98B
2012-02,$3.32B
2012-03,$3.55B
2012-04,$3.19B
2012-05,$2.93B
2012-06,$3.02B
2012-07,$2.82B
2012-08,$2.83B
2012-09,$2.78B
2012-10,$2.93B
2012-11,$2.75B
2012-12,$3.1B
2013-01,$3.62B
2013-02,$3.63B
2013-03,$4.18B
2013-04,$5.11B
2013-06,$5.63B
2013-07,$5.59B
2013-08,$5.34B
2013-09,$5.94B
2013-10,$5.73B
2013-11,$5.85B
2013-12,$5.78B
2014-01,$5.9B
2014-02,$5.8B
2014-03,$5.73B
2014-04,$5.19B
2014-05,$6.0B
2014-06,$5.61B
2014-07,$5.75B
2014-08,$5.77B
2014-09,$6.23B
2014-10,$6.38B
2014-11,$6.5B
2014-12,$6.51B
2015-01,$7.07B
2015-02,$7.36B
2015-03,$7.99B
2015-04,$8.39B
2015-05,$8.44B
2015-06,$8.47B
2015-07,$9.0B
2015-08,$8.71B
2015-09,$8.09B
2015-10,$9.77B
2015-11,$9.15B
2015-12,$9.18B
2016-01,$8.5B
2016-02,$7.58B
2016-03,$7.59B
2016-04,$7.79B
2016-05,$8.38B
2016-06,$7.24B
2016-07,$7.05B
2016-08,$6.78B
2016-09,$6.72B
2016-10,$7.06B
2016-11,$7.51B
2016-12,$7.58B
2017-01,$7.48B
2017-02,$8.34B
2017-03,$8.97B
2017-04,$8.49B
2017-05,$9.22B
2017-06,$9.68B
2017-07,$8.81B
2017-08,$9.1B
2017-09,$9.34B
2017-10,$10.11B
2017-11,$10.72B
2017-12,$11.05B
2018-01,$10.58B
2018-02,$9.6B
2018-03,$10.04B
2018-04,$11.92B
2018-05,$11.53B
2018-06,$11.3B
2018-07,$11.2B
2018-08,$11.51B
2018-09,$11.95B
2018-10,$10.35B
2018-11,$10.3B
2018-12,$8.42B
2019-01,$9.18B
2019-02,$9.36B
2019-03,$10.4B
2019-04,$11.16B
2019-05,$10.91B
2019-06,$10.65B
2019-07,$12.05B
2019-08,$13.13B
2019-09,$11.44B
2019-10,$12.29B
2019-11,$12.28B
2019-12,$12.44B
2020-01,$12.88B
2020-02,$12.53B
2020-03,$12.11B
2020-05,$14.47B
2020-06,$15.6B
2020-07,$14.94B
2020-08,$15.12B
2020-09,$16.82B
2020-10,$16.62B
2020-11,$18.56B
2020-12,$19.07B
2021-01,$19.83B
2021-02,$18.92B
2021-03,$17.87B
2021-04,$17.91B
2021-05,$18.06B
2021-06,$18.73B
2021-07,$18.94B
2021-08,$20.65B
2021-09,$23.98B
2021-10,$21.93B
2021-11,$25.03B
2021-12,$25.83B
