timeline,株式会社電通グループ
2003-03,$4.0B
2003-04,$4.35B
2003-05,$4.13B
2003-06,$4.59B
2003-07,$4.7B
2003-08,$6.29B
2003-09,$5.7B
2003-10,$6.07B
2003-11,$5.7B
2003-12,$6.62B
2004-01,$6.41B
2004-02,$6.81B
2004-03,$3.9B
2004-04,$3.79B
2004-05,$3.43B
2004-06,$3.45B
2004-07,$3.48B
2004-08,$3.24B
2004-09,$3.62B
2004-10,$3.48B
2004-11,$3.46B
2004-12,$3.38B
2005-01,$3.21B
2005-02,$3.41B
2005-03,$7.19B
2005-04,$6.57B
2005-05,$6.62B
2005-06,$6.72B
2005-07,$6.82B
2005-08,$7.14B
2005-09,$7.9B
2005-10,$7.7B
2005-11,$7.92B
2005-12,$9.42B
2006-01,$9.76B
2006-02,$9.59B
2006-03,$10.47B
2006-04,$9.71B
2006-05,$8.0B
2006-06,$7.75B
2006-07,$8.27B
2006-08,$8.36B
2006-09,$7.87B
2006-10,$7.9B
2006-11,$7.8B
2006-12,$8.56B
2007-01,$8.83B
2007-02,$8.09B
2007-03,$7.98B
2007-04,$8.25B
2007-05,$8.1B
2007-06,$8.44B
2007-07,$7.35B
2007-08,$7.81B
2007-09,$7.89B
2007-10,$7.28B
2007-11,$6.87B
2007-12,$7.16B
2008-01,$5.95B
2008-02,$5.88B
2008-03,$5.5B
2008-04,$5.79B
2008-05,$6.25B
2008-06,$5.45B
2008-07,$5.78B
2008-08,$5.34B
2008-09,$5.08B
2008-10,$3.83B
2008-11,$4.1B
2008-12,$4.28B
2009-01,$3.8B
2009-02,$3.5B
2009-03,$3.27B
2009-04,$3.97B
2009-05,$3.99B
2009-06,$4.44B
2009-07,$4.37B
2009-08,$4.69B
2009-09,$4.57B
2009-10,$4.33B
2009-11,$4.07B
2009-12,$4.67B
2010-01,$4.57B
2010-02,$4.62B
2010-03,$5.4B
2010-04,$5.69B
2010-05,$5.11B
2010-06,$5.22B
2010-07,$4.73B
2010-08,$4.21B
2010-09,$4.25B
2010-10,$4.17B
2010-11,$4.96B
2010-12,$5.54B
2011-01,$5.49B
2011-02,$5.7B
2011-03,$4.72B
2011-05,$4.79B
2011-06,$5.21B
2011-07,$5.29B
2011-08,$5.26B
2011-09,$5.43B
2011-10,$5.27B
2011-11,$4.82B
2011-12,$5.16B
2012-01,$5.59B
2012-02,$5.55B
2012-03,$5.79B
2012-04,$5.41B
2012-05,$4.83B
2012-06,$5.16B
2012-07,$4.59B
2012-08,$4.37B
2012-09,$4.35B
2012-10,$4.14B
2012-11,$4.43B
2012-12,$5.06B
2013-01,$5.61B
2013-02,$6.34B
2013-03,$6.13B
2013-04,$7.44B
2013-05,$6.86B
2013-06,$7.53B
2013-07,$6.88B
2013-08,$7.45B
2013-09,$8.53B
2013-10,$8.45B
2013-11,$9.74B
2013-12,$9.83B
2014-01,$9.34B
2014-02,$8.75B
2014-03,$9.95B
2014-04,$10.68B
2014-05,$10.21B
2014-06,$10.49B
2014-08,$10.74B
2014-09,$10.61B
2014-10,$10.28B
2014-11,$11.34B
2014-12,$12.94B
2015-01,$12.38B
2015-02,$13.25B
2015-03,$13.09B
2015-04,$14.19B
2015-05,$15.97B
2015-06,$16.12B
2015-07,$17.87B
2015-08,$15.81B
2015-09,$15.56B
2015-10,$17.41B
2015-11,$17.57B
2015-12,$16.79B
2016-01,$15.86B
2016-02,$13.2B
2016-03,$14.2B
2016-04,$14.25B
2016-05,$14.1B
2016-06,$11.99B
2016-07,$12.44B
2016-08,$14.3B
2016-09,$12.85B
2016-10,$13.17B
2016-11,$13.15B
2016-12,$13.83B
2017-01,$13.12B
2017-02,$15.64B
2017-03,$15.18B
2017-04,$15.79B
2017-05,$14.18B
2017-06,$13.5B
2017-07,$12.97B
2017-08,$11.56B
2017-09,$12.42B
2017-10,$12.13B
2017-11,$12.77B
2017-12,$12.0B
2018-01,$12.14B
2018-02,$12.29B
2018-03,$11.61B
2018-04,$12.87B
2018-05,$12.92B
2018-06,$13.05B
2018-07,$11.66B
2018-08,$12.9B
2018-09,$13.1B
2018-10,$13.02B
2018-11,$12.58B
2018-12,$12.19B
2019-01,$12.82B
2019-02,$11.56B
2019-03,$11.62B
2019-04,$11.27B
2019-05,$8.82B
2019-06,$9.34B
2019-07,$9.0B
2019-08,$9.02B
2019-09,$9.42B
2019-10,$9.57B
2019-11,$9.77B
2019-12,$9.21B
2020-01,$8.87B
2020-02,$7.44B
2020-03,$5.05B
2020-04,$5.51B
2020-05,$6.21B
2020-06,$6.18B
2020-07,$5.84B
2020-08,$6.66B
2020-09,$7.52B
2020-10,$7.28B
2020-11,$7.83B
2020-12,$7.95B
2021-01,$7.7B
2021-02,$8.95B
2021-03,$9.3B
2021-04,$8.45B
2021-05,$8.92B
2021-06,$9.6B
2021-07,$9.73B
2021-08,$10.43B
2021-09,$10.77B
2021-10,$10.31B
2021-11,$9.77B
2021-12,$9.62B
