timeline,武田薬品工業株式会社
2008-03,$45.35B
2008-04,$48.2B
2008-05,$51.58B
2008-06,$45.18B
2008-07,$45.71B
2008-08,$45.98B
2008-09,$44.29B
2008-10,$42.06B
2008-11,$42.33B
2008-12,$45.8B
2009-01,$41.0B
2009-02,$35.13B
2009-03,$27.55B
2009-04,$27.85B
2009-05,$30.83B
2009-06,$30.42B
2009-07,$31.57B
2009-08,$31.5B
2009-09,$32.33B
2009-10,$31.26B
2009-11,$32.49B
2009-12,$32.44B
2010-01,$34.59B
2010-02,$35.68B
2010-03,$34.57B
2010-04,$33.71B
2010-05,$32.03B
2010-06,$33.6B
2010-07,$36.49B
2010-08,$36.22B
2010-10,$37.65B
2010-11,$36.5B
2010-12,$38.44B
2011-01,$38.02B
2011-02,$39.44B
2011-03,$36.88B
2011-04,$38.35B
2011-05,$37.37B
2011-06,$36.44B
2011-07,$37.89B
2011-08,$38.05B
2011-09,$37.29B
2011-10,$35.38B
2011-11,$32.21B
2011-12,$34.81B
2012-01,$34.21B
2012-02,$35.55B
2012-03,$34.73B
2012-04,$34.22B
2012-05,$32.7B
2012-06,$35.96B
2012-07,$36.43B
2012-08,$36.88B
2012-09,$36.55B
2012-10,$36.76B
2012-11,$36.22B
2012-12,$35.39B
2013-01,$40.74B
2013-02,$40.99B
2013-03,$42.17B
2013-04,$43.17B
2013-05,$35.13B
2013-06,$35.91B
2013-07,$35.23B
2013-08,$35.89B
2013-09,$37.4B
2013-10,$37.38B
2013-11,$38.37B
2013-12,$36.3B
2014-01,$36.81B
2014-02,$37.66B
2014-03,$37.53B
2014-04,$35.31B
2014-05,$35.75B
2014-06,$36.58B
2014-07,$36.27B
2014-08,$36.16B
2014-09,$34.41B
2014-10,$34.73B
2014-11,$33.31B
2014-12,$33.02B
2015-01,$39.41B
2015-02,$40.49B
2015-03,$39.28B
2015-04,$40.66B
2015-05,$38.33B
2015-06,$37.86B
2015-07,$39.52B
2015-08,$38.66B
2015-09,$34.34B
2015-10,$38.52B
2015-11,$38.29B
2015-12,$39.58B
2016-01,$38.17B
2016-02,$37.12B
2016-03,$35.8B
2016-04,$38.14B
2016-05,$33.91B
2016-06,$33.72B
2016-07,$34.3B
2016-08,$34.73B
2016-09,$37.34B
2016-10,$35.22B
2016-11,$32.63B
2016-12,$32.58B
2017-01,$32.56B
2017-02,$36.29B
2017-03,$36.52B
2017-04,$37.49B
2017-05,$40.2B
2017-06,$39.8B
2017-07,$41.23B
2017-08,$42.96B
2017-09,$43.15B
2017-10,$44.21B
2017-11,$43.12B
2017-12,$44.29B
2018-01,$46.09B
2018-02,$44.44B
2018-03,$38.02B
2018-04,$33.11B
2018-05,$31.99B
2018-06,$33.07B
2018-07,$32.9B
2018-08,$32.75B
2018-09,$33.49B
2018-10,$31.58B
2018-11,$29.31B
2018-12,$26.23B
2019-01,$62.48B
2019-02,$62.54B
2019-03,$63.39B
2019-04,$57.23B
2019-05,$52.15B
2019-06,$55.15B
2019-07,$52.05B
2019-08,$53.15B
2019-09,$53.24B
2019-10,$56.23B
2019-11,$64.11B
2019-12,$61.97B
2020-01,$60.45B
2020-02,$53.44B
2020-03,$52.01B
2020-04,$53.13B
2020-05,$60.64B
2020-06,$57.43B
2020-07,$55.09B
2020-08,$58.7B
2020-09,$57.3B
2020-10,$51.96B
2020-11,$54.04B
2020-12,$57.75B
2021-01,$54.97B
2021-02,$54.55B
2021-03,$58.78B
2021-04,$53.24B
2021-05,$53.57B
2021-06,$53.32B
2021-07,$53.23B
2021-08,$52.39B
2021-09,$53.52B
2021-10,$46.0B
2021-11,$44.4B
2021-12,$42.52B
