timeline,アステラス製薬株式会社
2009-10,$18.8B
2009-11,$18.22B
2009-12,$19.28B
2010-01,$19.15B
2010-02,$18.82B
2010-03,$18.12B
2010-04,$16.75B
2010-05,$15.94B
2010-06,$15.43B
2010-07,$15.32B
2010-08,$15.72B
2010-09,$16.53B
2010-10,$16.97B
2010-11,$16.41B
2010-12,$16.66B
2011-01,$17.25B
2011-02,$17.72B
2011-03,$17.9B
2012-04,$18.89B
2012-05,$18.23B
2012-06,$20.43B
2012-07,$21.95B
2012-08,$22.46B
2012-09,$23.59B
2012-10,$22.99B
2012-11,$23.44B
2012-12,$20.82B
2013-01,$23.61B
2013-02,$25.06B
2013-03,$24.82B
2013-04,$26.14B
2013-05,$23.34B
2013-06,$24.09B
2013-07,$23.57B
2013-08,$22.52B
2013-09,$22.49B
2013-10,$24.39B
2013-11,$26.1B
2013-12,$26.13B
2014-01,$27.4B
2014-02,$28.42B
2014-03,$26.54B
2014-04,$24.73B
2014-05,$28.59B
2014-06,$28.95B
2014-07,$30.34B
2014-08,$31.86B
2014-09,$32.93B
2014-10,$34.32B
2014-11,$31.95B
2014-12,$31.14B
2015-01,$34.12B
2015-02,$35.13B
2015-03,$35.95B
2015-04,$34.46B
2015-05,$32.09B
2015-06,$30.66B
2015-07,$32.42B
2015-08,$32.0B
2015-09,$27.77B
2015-10,$31.43B
2015-11,$30.41B
2015-12,$30.97B
2016-01,$29.91B
2016-02,$30.76B
2016-03,$28.29B
2016-04,$29.43B
2016-05,$29.08B
2016-06,$32.01B
2016-07,$33.78B
2016-08,$31.6B
2016-09,$31.98B
2016-10,$30.67B
2016-11,$28.88B
2016-12,$28.71B
2017-01,$27.38B
2017-02,$27.58B
2017-03,$27.08B
2017-04,$27.25B
2017-05,$26.05B
2017-06,$24.29B
2017-07,$26.33B
2017-08,$25.56B
2017-09,$25.97B
2017-10,$26.95B
2017-11,$25.67B
2018-01,$26.71B
2018-02,$29.33B
2018-03,$30.23B
2018-04,$29.11B
2018-05,$30.27B
2018-06,$30.22B
2018-07,$31.88B
2018-08,$32.83B
2018-09,$33.85B
2018-10,$29.7B
2018-11,$29.56B
2018-12,$24.41B
2019-01,$28.39B
2019-02,$29.44B
2019-03,$28.47B
2019-04,$25.48B
2019-05,$25.21B
2019-06,$25.56B
2019-07,$27.0B
2019-08,$26.09B
2019-09,$26.89B
2019-10,$32.24B
2019-11,$32.18B
2019-12,$32.07B
2020-01,$33.33B
2020-02,$28.93B
2020-03,$27.71B
2020-04,$31.12B
2020-05,$33.03B
2020-07,$29.92B
2020-08,$30.04B
2020-09,$28.27B
2020-10,$26.08B
2020-11,$28.02B
2020-12,$27.48B
2021-01,$29.8B
2021-02,$31.08B
2021-03,$30.22B
2021-04,$28.33B
2021-05,$28.75B
2021-06,$32.19B
2021-07,$32.21B
2021-08,$30.55B
2021-09,$32.09B
2021-10,$31.35B
2021-11,$31.79B
2021-12,$28.95B
