timeline,塩野義製薬株式会社
2001-01,$6.28B
2001-02,$6.24B
2001-03,$5.97B
2002-03,$6.16B
2002-04,$5.81B
2002-05,$5.22B
2002-06,$4.73B
2002-07,$3.73B
2002-08,$3.83B
2002-09,$4.07B
2002-10,$4.35B
2002-11,$5.2B
2002-12,$5.19B
2003-01,$4.62B
2003-02,$5.32B
2003-03,$4.97B
2003-04,$4.38B
2003-05,$5.22B
2003-06,$5.04B
2003-07,$4.89B
2003-08,$5.31B
2003-09,$6.01B
2003-10,$5.71B
2003-11,$5.61B
2003-12,$6.18B
2004-01,$5.65B
2004-02,$5.94B
2004-03,$5.6B
2004-04,$5.3B
2004-05,$5.49B
2004-06,$5.72B
2004-07,$6.06B
2004-08,$5.4B
2004-09,$4.81B
2004-10,$5.02B
2004-11,$4.23B
2004-12,$4.32B
2005-01,$3.98B
2005-02,$4.25B
2005-03,$4.44B
2005-04,$4.39B
2005-05,$4.49B
2005-06,$4.3B
2005-07,$4.18B
2005-08,$4.31B
2005-09,$4.64B
2005-10,$4.24B
2005-11,$4.42B
2005-12,$4.99B
2006-01,$5.32B
2006-02,$4.82B
2006-03,$5.8B
2006-04,$5.77B
2006-05,$6.08B
2006-06,$6.13B
2006-07,$6.53B
2006-08,$6.34B
2006-09,$6.52B
2006-10,$7.04B
2006-11,$6.74B
2006-12,$7.03B
2007-01,$6.43B
2007-02,$6.88B
2007-03,$6.37B
2007-04,$7.02B
2007-05,$6.27B
2007-06,$6.03B
2007-07,$5.71B
2007-08,$5.06B
2007-09,$5.32B
2007-10,$5.87B
2007-11,$6.39B
2007-12,$5.93B
2008-01,$6.0B
2008-02,$5.39B
2008-03,$5.11B
2008-04,$5.99B
2008-05,$6.38B
2008-06,$6.29B
2008-07,$6.35B
2008-08,$7.43B
2008-09,$6.38B
2008-10,$4.97B
2008-11,$6.21B
2008-12,$6.89B
2009-01,$5.82B
2009-02,$4.82B
2009-03,$5.05B
2009-04,$5.09B
2009-05,$5.64B
2009-06,$5.6B
2009-07,$5.78B
2009-08,$6.73B
2009-09,$6.28B
2009-10,$5.82B
2009-11,$5.5B
2009-12,$5.94B
2010-01,$5.5B
2010-02,$5.36B
2010-03,$5.25B
2010-04,$5.03B
2010-05,$4.86B
2010-06,$5.44B
2010-07,$5.2B
2010-08,$4.33B
2010-09,$4.51B
2010-10,$4.14B
2010-11,$4.52B
2010-12,$4.73B
2011-01,$4.45B
2011-02,$4.57B
2011-03,$4.19B
2011-04,$3.87B
2011-05,$4.05B
2011-06,$3.88B
2011-07,$3.93B
2011-08,$3.62B
2011-09,$3.4B
2011-10,$3.17B
2011-11,$2.64B
2011-12,$2.92B
2012-01,$3.0B
2012-02,$3.32B
2012-03,$3.38B
2012-04,$3.09B
2012-05,$2.92B
2012-06,$3.19B
2012-07,$3.31B
2012-08,$3.33B
2012-09,$3.52B
2012-10,$3.91B
2012-11,$4.12B
2012-12,$4.24B
2013-01,$4.82B
2013-02,$5.58B
2013-03,$5.74B
2013-04,$7.08B
2013-05,$5.65B
2013-06,$6.11B
2013-07,$5.88B
2013-08,$5.67B
2013-09,$6.09B
2013-10,$6.4B
2013-11,$6.65B
2013-12,$6.73B
2014-01,$6.26B
2014-02,$6.5B
2014-03,$5.65B
2014-04,$5.29B
2014-05,$6.02B
2014-06,$6.24B
2014-07,$6.62B
2014-08,$7.23B
2014-09,$7.43B
2014-10,$8.42B
2014-11,$8.72B
2014-12,$9.23B
2015-01,$10.5B
2015-02,$10.38B
2015-03,$11.5B
2015-04,$11.32B
2015-05,$12.64B
2015-06,$13.62B
2015-07,$14.19B
2015-08,$13.66B
2015-09,$12.27B
2015-10,$14.33B
2015-11,$15.57B
2015-12,$15.8B
2016-01,$14.93B
2016-02,$13.88B
2016-03,$15.2B
2016-04,$16.2B
2016-05,$17.9B
2016-06,$15.98B
2016-07,$15.36B
2016-08,$13.26B
2016-09,$14.79B
2016-10,$14.86B
2016-11,$15.53B
2016-12,$16.07B
2017-01,$15.57B
2017-02,$14.72B
2017-03,$16.15B
2017-04,$16.11B
2017-05,$16.64B
2017-06,$17.59B
2017-07,$16.57B
2017-08,$16.29B
2017-09,$17.29B
2017-10,$17.11B
2017-11,$17.59B
2017-12,$17.14B
2018-01,$16.8B
2018-02,$15.5B
2018-03,$15.22B
2018-04,$15.61B
2018-05,$15.84B
2018-06,$15.77B
2018-07,$16.84B
2018-08,$17.82B
2018-09,$20.49B
2018-10,$19.98B
2018-11,$20.66B
2018-12,$17.19B
2019-01,$18.33B
2019-02,$19.51B
2019-03,$18.79B
2019-04,$17.77B
2019-05,$16.3B
2019-06,$17.04B
2019-07,$16.62B
2019-08,$15.63B
2019-09,$16.47B
2019-10,$17.79B
2019-11,$17.58B
2019-12,$18.3B
2020-01,$17.68B
2020-02,$15.8B
2020-03,$14.24B
2020-04,$15.88B
2020-05,$17.04B
2020-06,$17.77B
2020-07,$16.56B
2020-08,$16.43B
2020-09,$15.18B
2020-10,$13.67B
2020-11,$15.39B
2020-12,$15.27B
2021-01,$15.59B
2021-02,$15.6B
2021-03,$15.97B
2021-04,$15.19B
2021-05,$15.28B
2021-06,$15.18B
2021-07,$15.21B
2021-08,$17.96B
2021-09,$20.2B
2021-10,$20.05B
2021-11,$20.06B
2021-12,$20.69B
