timeline,小野薬品工業株式会社
2006-03,$5.71B
2006-04,$5.96B
2006-05,$5.7B
2006-06,$5.78B
2006-07,$5.82B
2006-08,$5.64B
2006-09,$5.39B
2006-10,$5.89B
2006-11,$6.1B
2006-12,$6.47B
2007-01,$6.2B
2007-02,$6.63B
2007-03,$6.77B
2007-04,$6.72B
2007-05,$7.07B
2007-06,$6.66B
2007-07,$6.23B
2007-08,$6.05B
2007-09,$6.25B
2007-10,$6.01B
2007-11,$5.83B
2007-12,$5.25B
2008-01,$5.28B
2008-02,$5.36B
2008-03,$4.73B
2008-04,$5.51B
2008-05,$6.07B
2008-06,$5.83B
2008-07,$5.96B
2008-08,$5.68B
2008-09,$4.73B
2008-10,$4.34B
2008-11,$4.07B
2008-12,$4.48B
2009-01,$4.54B
2009-02,$4.3B
2009-03,$4.43B
2009-04,$4.34B
2009-05,$4.45B
2009-06,$4.49B
2009-07,$4.34B
2009-08,$4.77B
2009-09,$4.84B
2009-10,$4.47B
2009-11,$4.1B
2009-12,$4.16B
2010-01,$4.17B
2010-02,$4.24B
2010-03,$4.31B
2010-04,$4.03B
2010-05,$3.81B
2010-06,$3.74B
2010-07,$3.72B
2010-08,$3.81B
2010-09,$3.74B
2010-10,$3.52B
2010-11,$3.85B
2010-12,$3.95B
2011-01,$4.14B
2011-02,$4.44B
2011-03,$4.23B
2011-04,$4.25B
2011-05,$4.4B
2011-06,$3.92B
2011-07,$3.9B
2011-08,$3.97B
2011-09,$4.16B
2011-10,$3.88B
2011-11,$3.6B
2011-12,$3.89B
2012-01,$3.88B
2012-02,$4.06B
2012-03,$4.32B
2012-04,$4.25B
2012-05,$4.1B
2012-06,$4.67B
2012-07,$4.65B
2012-08,$4.57B
2012-09,$4.39B
2012-10,$4.47B
2012-11,$4.22B
2012-12,$4.12B
2013-01,$4.53B
2013-02,$4.62B
2013-03,$5.29B
2013-04,$5.96B
2013-05,$6.63B
2013-06,$6.36B
2013-07,$5.88B
2013-08,$5.54B
2013-09,$5.64B
2013-10,$6.92B
2013-11,$7.25B
2013-12,$8.61B
2014-01,$8.35B
2014-02,$9.41B
2014-03,$8.36B
2014-04,$7.56B
2014-05,$7.29B
2014-06,$8.34B
2014-07,$8.23B
2014-08,$8.67B
2014-09,$9.1B
2014-10,$10.41B
2014-11,$9.5B
2014-12,$10.03B
2015-01,$11.68B
2015-02,$11.12B
2015-03,$12.69B
2015-04,$12.12B
2015-05,$12.71B
2015-06,$12.5B
2015-07,$13.97B
2015-08,$14.47B
2015-09,$13.21B
2015-10,$15.59B
2015-11,$18.42B
2015-12,$20.27B
2016-01,$17.92B
2016-02,$19.55B
2016-03,$22.27B
2016-04,$23.26B
2016-05,$23.01B
2016-06,$20.71B
2016-07,$17.3B
2016-08,$12.6B
2016-09,$13.11B
2016-10,$12.46B
2016-11,$11.84B
2016-12,$11.94B
2017-01,$10.78B
2017-02,$11.62B
2017-03,$10.77B
2017-04,$10.73B
2017-05,$10.76B
2017-06,$11.25B
2017-07,$10.98B
2017-08,$10.16B
2017-09,$11.56B
2017-10,$11.78B
2017-11,$11.6B
2017-12,$11.9B
2018-01,$12.21B
2018-02,$14.19B
2018-03,$14.93B
2018-04,$11.49B
2018-05,$12.24B
2018-06,$11.77B
2018-07,$11.94B
2018-08,$13.24B
2018-09,$14.57B
2018-10,$11.66B
2018-11,$12.44B
2018-12,$10.18B
2019-01,$10.74B
2019-02,$10.37B
2019-03,$9.83B
2019-04,$9.43B
2019-05,$8.7B
2019-06,$8.76B
2019-07,$8.86B
2019-08,$8.77B
2019-09,$8.61B
2019-10,$9.01B
2019-11,$10.48B
2019-12,$10.68B
2020-01,$10.84B
2020-02,$9.43B
2020-03,$10.94B
2020-04,$11.4B
2020-06,$13.52B
2020-07,$13.15B
2020-08,$14.29B
2020-09,$14.7B
2020-10,$13.78B
2020-11,$14.16B
2020-12,$14.0B
2021-01,$13.57B
2021-02,$13.32B
2021-03,$12.69B
2021-04,$12.35B
2021-05,$11.3B
2021-06,$10.84B
2021-07,$11.03B
2021-08,$11.52B
2021-09,$12.25B
2021-10,$10.81B
2021-11,$10.84B
2021-12,$11.79B
