timeline,参天製薬株式会社
2006-03,$2.13B
2006-04,$2.16B
2006-05,$2.14B
2006-06,$2.08B
2006-07,$2.11B
2006-08,$2.22B
2006-09,$2.29B
2006-10,$2.33B
2006-11,$2.49B
2006-12,$2.56B
2007-01,$2.59B
2007-02,$2.47B
2007-03,$2.32B
2007-04,$2.53B
2007-05,$2.35B
2007-06,$2.3B
2007-07,$2.16B
2007-08,$2.19B
2007-09,$2.2B
2007-10,$2.07B
2007-11,$2.06B
2007-12,$2.1B
2008-01,$2.16B
2008-02,$2.03B
2008-03,$1.78B
2008-04,$1.94B
2008-05,$2.25B
2008-06,$2.03B
2008-07,$2.23B
2008-08,$2.24B
2008-09,$2.08B
2008-10,$1.95B
2008-11,$1.97B
2008-12,$2.07B
2009-01,$2.2B
2009-02,$2.07B
2009-03,$2.03B
2009-04,$2.09B
2009-05,$2.16B
2009-06,$2.19B
2009-07,$2.2B
2009-08,$2.36B
2009-09,$2.47B
2009-10,$2.33B
2009-11,$2.11B
2009-12,$2.21B
2010-01,$2.14B
2010-02,$2.15B
2010-03,$2.11B
2010-04,$2.23B
2010-05,$2.28B
2010-06,$2.38B
2010-07,$2.16B
2010-08,$2.24B
2010-09,$2.17B
2010-10,$2.07B
2010-11,$2.17B
2010-12,$2.12B
2011-01,$2.21B
2011-02,$2.39B
2011-03,$2.48B
2011-04,$2.32B
2011-05,$2.42B
2011-06,$2.51B
2011-07,$2.37B
2011-08,$2.33B
2011-09,$2.46B
2011-10,$2.34B
2011-11,$2.21B
2011-12,$2.43B
2012-01,$2.38B
2012-02,$2.46B
2012-03,$2.71B
2012-04,$2.58B
2012-05,$2.17B
2012-06,$2.51B
2012-07,$2.56B
2012-08,$2.63B
2012-09,$2.72B
2012-10,$2.66B
2012-11,$2.68B
2012-12,$2.39B
2013-01,$2.72B
2013-02,$3.0B
2013-03,$3.2B
2013-04,$3.47B
2013-05,$3.06B
2013-06,$3.14B
2013-07,$3.11B
2013-08,$3.32B
2013-09,$3.47B
2013-10,$3.61B
2013-11,$3.55B
2013-12,$3.57B
2014-01,$3.15B
2014-02,$3.46B
2014-03,$3.34B
2014-04,$3.32B
2014-05,$3.99B
2014-06,$4.15B
2014-07,$4.43B
2014-08,$4.37B
2014-09,$4.47B
2014-10,$4.78B
2014-11,$4.84B
2014-12,$4.71B
2015-01,$5.36B
2015-02,$5.84B
2015-03,$6.38B
2015-04,$5.76B
2015-05,$6.29B
2015-06,$6.32B
2015-07,$6.66B
2015-08,$6.91B
2015-09,$5.84B
2015-10,$6.03B
2015-11,$7.12B
2015-12,$7.32B
2016-01,$6.94B
2016-02,$6.33B
2016-03,$6.18B
2016-04,$5.83B
2016-05,$5.96B
2016-06,$5.85B
2016-07,$6.27B
2016-08,$4.76B
2016-09,$5.42B
2016-10,$5.6B
2016-11,$5.1B
2016-12,$5.23B
2017-01,$5.07B
2017-02,$5.77B
2017-03,$5.78B
2017-04,$5.61B
2017-05,$5.46B
2017-07,$5.58B
2017-08,$6.11B
2017-09,$6.35B
2017-10,$6.45B
2017-11,$6.14B
2017-12,$6.35B
2018-01,$6.39B
2018-02,$6.17B
2018-03,$6.15B
2018-04,$6.62B
2018-05,$6.81B
2018-06,$6.93B
2018-07,$6.69B
2018-08,$6.15B
2018-09,$6.47B
2018-10,$6.01B
2018-11,$6.98B
2018-12,$5.69B
2019-01,$5.38B
2019-02,$6.2B
2019-03,$5.89B
2019-04,$5.96B
2019-05,$5.5B
2019-06,$6.28B
2019-07,$6.2B
2019-08,$6.55B
2019-09,$6.61B
2019-10,$6.78B
2019-11,$7.22B
2019-12,$7.35B
2020-01,$7.24B
2020-02,$6.26B
2020-03,$6.54B
2020-04,$6.64B
2020-05,$7.01B
2020-06,$7.03B
2020-07,$6.4B
2020-08,$7.12B
2020-09,$7.48B
2020-10,$6.8B
2020-11,$6.29B
2020-12,$5.9B
2021-01,$6.0B
2021-02,$5.73B
2021-03,$5.36B
2021-04,$5.21B
2021-05,$5.15B
2021-06,$5.33B
2021-07,$5.36B
2021-08,$5.74B
2021-09,$6.1B
2021-10,$5.54B
2021-11,$5.58B
2021-12,$5.14B
