timeline,テルモ株式会社
2002-03,$3.01B
2002-04,$3.45B
2002-05,$3.37B
2002-06,$2.91B
2002-07,$2.71B
2002-08,$3.11B
2002-09,$3.27B
2002-10,$3.06B
2002-11,$2.98B
2003-01,$3.02B
2003-02,$3.33B
2003-03,$3.03B
2003-04,$3.51B
2003-05,$3.41B
2003-06,$3.53B
2003-07,$3.55B
2003-08,$3.99B
2003-09,$3.82B
2003-10,$3.7B
2003-11,$3.47B
2003-12,$3.6B
2004-01,$3.97B
2004-02,$4.03B
2004-03,$3.98B
2004-04,$4.12B
2004-05,$4.65B
2004-06,$4.81B
2004-07,$4.75B
2004-08,$4.35B
2004-09,$4.42B
2004-10,$4.65B
2004-12,$4.86B
2005-01,$5.27B
2005-02,$5.75B
2005-03,$5.65B
2005-04,$5.46B
2005-05,$5.01B
2005-06,$5.6B
2005-07,$5.51B
2005-08,$5.54B
2005-09,$6.38B
2005-10,$6.14B
2005-11,$5.8B
2005-12,$6.1B
2006-01,$5.86B
2006-02,$6.22B
2006-03,$6.93B
2006-04,$7.3B
2006-05,$7.14B
2006-06,$6.84B
2006-07,$7.41B
2006-08,$7.88B
2006-09,$8.02B
2006-10,$8.47B
2006-11,$8.41B
2006-12,$8.38B
2007-01,$8.68B
2007-02,$8.11B
2007-03,$8.04B
2007-04,$8.5B
2007-05,$8.34B
2007-07,$8.87B
2007-08,$9.53B
2007-09,$10.16B
2007-10,$9.83B
2007-11,$9.85B
2007-12,$10.31B
2008-01,$10.15B
2008-02,$10.02B
2008-03,$8.89B
2008-04,$8.75B
2008-05,$8.98B
2008-06,$9.27B
2008-07,$9.54B
2008-08,$10.45B
2008-09,$9.32B
2008-10,$6.87B
2008-11,$7.56B
2008-12,$7.13B
2009-01,$5.28B
2009-02,$5.18B
2009-03,$6.75B
2009-04,$6.92B
2009-05,$7.42B
2009-06,$7.13B
2009-07,$8.05B
2009-08,$8.2B
2009-09,$8.27B
2009-10,$8.07B
2009-11,$8.19B
2009-12,$9.38B
2010-01,$8.47B
2010-02,$8.07B
2010-03,$8.34B
2010-04,$8.04B
2010-05,$7.26B
2010-06,$7.17B
2010-07,$7.59B
2010-08,$6.96B
2010-09,$7.42B
2010-10,$6.84B
2010-11,$7.46B
2010-12,$7.65B
2011-01,$7.12B
2011-02,$7.48B
2011-03,$7.34B
2011-04,$7.53B
2011-05,$7.67B
2011-06,$7.26B
2011-07,$7.25B
2011-08,$6.72B
2011-09,$6.81B
2011-10,$6.75B
2011-11,$6.19B
2011-12,$5.4B
2012-01,$5.44B
2012-02,$5.83B
2012-03,$6.62B
2012-04,$6.15B
2012-05,$4.72B
2012-06,$5.46B
2012-07,$5.4B
2012-08,$5.8B
2012-09,$5.62B
2012-10,$5.76B
2012-11,$5.84B
2012-12,$5.7B
2013-01,$6.7B
2013-02,$6.81B
2013-03,$6.78B
2013-04,$8.1B
2013-05,$8.52B
2013-06,$8.26B
2013-07,$8.31B
2013-08,$7.9B
2013-09,$8.42B
2013-10,$7.93B
2013-11,$8.96B
2013-12,$8.49B
2014-01,$8.09B
2014-02,$7.26B
2014-03,$7.54B
2014-04,$6.79B
2014-05,$7.23B
2014-06,$7.58B
2014-07,$7.91B
2014-08,$8.77B
2014-09,$8.8B
2014-10,$9.15B
2014-11,$9.04B
2014-12,$9.23B
2015-01,$9.85B
2015-02,$11.05B
2015-03,$10.59B
2015-04,$10.32B
2015-05,$9.44B
2015-06,$9.81B
2015-07,$10.69B
2015-08,$11.07B
2015-09,$11.26B
2015-10,$12.06B
2015-11,$13.13B
2015-12,$12.62B
2016-02,$12.89B
2016-03,$12.91B
2016-04,$13.52B
2016-05,$14.91B
2016-06,$13.9B
2016-07,$14.19B
2016-08,$12.88B
2016-09,$12.37B
2016-10,$13.01B
2016-11,$12.88B
2016-12,$13.81B
2017-01,$13.34B
2017-02,$12.46B
2017-03,$11.99B
2017-04,$12.61B
2017-05,$13.96B
2017-06,$13.73B
2017-07,$12.96B
2017-08,$13.19B
2017-09,$13.73B
2017-10,$14.6B
2017-11,$16.7B
2017-12,$16.57B
2018-02,$17.91B
2018-03,$17.35B
2018-04,$19.33B
2018-05,$20.14B
2018-06,$19.8B
2018-07,$19.12B
2018-09,$20.99B
2018-10,$18.99B
2018-11,$20.85B
2018-12,$19.41B
2019-01,$19.36B
2019-02,$21.27B
2019-03,$21.08B
2019-04,$21.92B
2019-05,$20.23B
2019-06,$21.02B
2019-07,$20.84B
2019-08,$20.22B
2019-09,$22.79B
2019-10,$23.25B
2019-11,$25.16B
2019-12,$25.45B
2020-01,$26.1B
2020-02,$22.78B
2020-03,$24.67B
2020-04,$23.93B
2020-05,$28.05B
2020-06,$27.07B
2020-07,$26.11B
2020-08,$27.8B
2020-09,$28.23B
2020-10,$26.1B
2020-11,$27.78B
2020-12,$27.35B
2021-01,$27.87B
2021-02,$28.44B
2021-03,$26.5B
2021-04,$26.82B
2021-05,$26.91B
2021-06,$29.17B
2021-07,$28.34B
2021-08,$30.57B
2021-09,$36.25B
2021-10,$33.73B
2021-11,$32.56B
2021-12,$31.61B
