timeline,大塚ホールディングス株式会社
2010-12,$8.4B
2011-01,$10.02B
2011-02,$10.07B
2011-03,$10.11B
2011-04,$10.68B
2011-05,$10.5B
2011-06,$10.48B
2011-07,$10.46B
2011-08,$9.77B
2011-09,$10.45B
2011-10,$9.94B
2011-11,$10.34B
2011-12,$10.64B
2012-01,$10.61B
2012-02,$11.23B
2012-03,$12.05B
2012-04,$11.85B
2012-05,$12.13B
2012-06,$12.01B
2012-07,$11.74B
2012-09,$11.9B
2012-10,$12.09B
2012-11,$12.03B
2012-12,$11.97B
2013-01,$14.5B
2013-02,$14.6B
2013-03,$16.23B
2013-04,$17.03B
2013-05,$15.69B
2013-06,$15.89B
2013-07,$15.35B
2013-08,$14.77B
2013-09,$13.81B
2013-10,$13.53B
2013-11,$14.51B
2013-12,$14.75B
2014-01,$15.26B
2014-02,$15.15B
2014-03,$14.74B
2014-04,$14.05B
2014-05,$13.72B
2014-06,$14.99B
2014-07,$15.74B
2014-08,$18.06B
2014-09,$18.05B
2014-10,$18.52B
2014-11,$17.92B
2014-12,$17.28B
2015-01,$17.47B
2015-02,$17.12B
2015-03,$17.96B
2015-04,$18.12B
2015-05,$18.59B
2015-06,$18.65B
2015-07,$21.27B
2015-08,$19.75B
2015-09,$18.19B
2015-10,$19.32B
2015-11,$19.48B
2015-12,$20.62B
2016-01,$19.18B
2016-02,$19.05B
2016-03,$19.53B
2016-04,$20.52B
2016-05,$21.64B
2016-06,$22.54B
2016-07,$23.38B
2016-08,$21.42B
2016-09,$21.92B
2016-10,$21.96B
2016-11,$22.2B
2016-12,$24.33B
2017-01,$24.84B
2017-02,$24.42B
2017-03,$23.99B
2017-04,$24.49B
2017-05,$23.86B
2017-06,$22.88B
2017-07,$23.22B
2017-08,$21.16B
2017-09,$21.36B
2017-10,$22.61B
2017-11,$23.76B
2017-12,$23.64B
2018-01,$23.15B
2018-02,$25.72B
2018-03,$25.46B
2018-04,$27.38B
2018-05,$25.89B
2018-06,$25.62B
2018-07,$24.6B
2018-08,$24.89B
2018-09,$27.36B
2018-10,$25.83B
2018-11,$26.44B
2018-12,$21.46B
2019-01,$21.27B
2019-02,$22.18B
2019-03,$20.78B
2019-04,$18.96B
2019-05,$17.42B
2019-06,$16.8B
2019-07,$19.19B
2019-08,$20.87B
2019-09,$19.3B
2019-10,$21.68B
2019-11,$22.81B
2019-12,$23.34B
2020-01,$23.49B
2020-02,$20.48B
2020-03,$20.23B
2020-04,$20.34B
2020-05,$23.25B
2020-06,$22.73B
2020-07,$21.28B
2020-08,$22.38B
2020-09,$21.73B
2020-10,$19.43B
2020-11,$20.47B
2020-12,$21.11B
2021-01,$21.16B
2021-02,$21.29B
2021-03,$22.05B
2021-04,$21.11B
2021-05,$21.03B
2021-06,$22.22B
2021-07,$21.21B
2021-08,$22.73B
2021-09,$24.28B
2021-10,$22.67B
2021-11,$20.27B
2021-12,$19.63B
