timeline,大正製薬ホールディングス株式会社
2007-12,$6.08B
2008-01,$6.23B
2008-02,$5.99B
2008-03,$5.59B
2008-04,$5.61B
2008-05,$5.58B
2008-06,$5.57B
2008-07,$5.71B
2008-08,$6.56B
2008-09,$5.87B
2008-10,$4.98B
2008-11,$4.82B
2008-12,$5.23B
2009-01,$5.21B
2009-02,$5.0B
2009-03,$4.67B
2009-04,$4.6B
2009-05,$4.64B
2009-08,$4.58B
2009-10,$4.23B
2009-11,$4.04B
2009-12,$4.08B
2010-01,$4.02B
2010-02,$3.91B
2010-03,$4.34B
2010-04,$4.37B
2010-05,$4.42B
2010-06,$4.47B
2010-07,$4.29B
2010-08,$4.27B
2010-09,$4.31B
2010-10,$4.32B
2010-11,$4.44B
2010-12,$4.54B
2011-01,$4.63B
2011-02,$4.56B
2011-03,$4.59B
2011-04,$4.86B
2011-05,$4.73B
2011-06,$4.4B
2011-08,$4.31B
2011-09,$4.45B
2011-10,$4.03B
2011-11,$3.79B
2011-12,$4.34B
2012-01,$4.89B
2012-02,$4.75B
2012-03,$4.9B
2012-04,$4.52B
2012-05,$4.15B
2012-06,$4.76B
2012-07,$4.43B
2012-08,$4.47B
2012-09,$4.52B
2012-10,$4.57B
2012-11,$4.3B
2012-12,$4.2B
2013-01,$4.47B
2013-02,$4.53B
2013-03,$4.84B
2013-04,$5.16B
2013-05,$4.88B
2013-06,$5.04B
2013-07,$4.78B
2013-08,$4.69B
2013-09,$4.63B
2013-10,$4.93B
2013-11,$5.04B
2013-12,$5.17B
2014-01,$5.32B
2014-02,$5.54B
2014-03,$5.94B
2014-04,$5.38B
2014-05,$5.25B
2014-06,$5.28B
2014-08,$5.64B
2014-09,$5.37B
2014-10,$5.56B
2014-11,$5.26B
2014-12,$5.29B
2015-01,$5.37B
2015-02,$5.82B
2015-03,$6.39B
2015-04,$6.01B
2015-05,$6.16B
2015-06,$5.91B
2015-07,$5.96B
2015-08,$5.62B
2015-09,$4.9B
2015-10,$5.42B
2015-11,$5.96B
2015-12,$6.13B
2016-01,$5.76B
2016-02,$6.37B
2016-03,$6.29B
2016-04,$6.34B
2016-05,$7.28B
2016-06,$7.58B
2016-07,$7.94B
2016-08,$6.68B
2016-09,$7.27B
2016-10,$7.22B
2016-11,$6.88B
2016-12,$6.84B
2017-01,$6.71B
2017-02,$6.45B
2017-03,$6.37B
2017-04,$6.46B
2017-05,$6.1B
2017-06,$6.03B
2017-07,$5.83B
2017-08,$6.05B
2017-09,$6.02B
2017-10,$6.07B
2017-11,$6.29B
2017-12,$6.34B
2018-01,$6.29B
2018-02,$6.89B
2018-03,$7.37B
2018-04,$7.39B
2018-05,$8.15B
2018-06,$9.13B
2018-07,$8.89B
2018-08,$8.48B
2018-09,$9.78B
2018-10,$8.48B
2018-11,$9.24B
2018-12,$7.77B
2019-01,$7.75B
2019-02,$7.93B
2019-03,$7.43B
2019-04,$7.24B
2019-05,$6.26B
2019-06,$5.46B
2019-07,$5.5B
2019-08,$4.88B
2019-09,$5.18B
2019-10,$5.13B
2019-11,$5.33B
2019-12,$5.35B
2020-01,$5.16B
2020-02,$4.41B
2020-03,$4.67B
2020-04,$4.74B
2020-05,$4.82B
2020-06,$4.65B
2020-07,$4.27B
2020-08,$4.6B
2020-09,$4.78B
2020-10,$4.65B
2020-11,$4.64B
2020-12,$4.76B
2021-01,$4.97B
2021-02,$4.85B
2021-03,$5.06B
2021-04,$4.71B
2021-05,$4.53B
2021-06,$4.3B
2021-07,$4.38B
2021-08,$4.44B
2021-09,$4.84B
2021-10,$4.52B
2021-11,$4.12B
2021-12,$3.87B
