timeline,ペプチドリーム株式会社
2013-06,$0.84B
2013-07,$0.89B
2013-08,$0.73B
2013-09,$1.25B
2013-10,$1.65B
2013-11,$1.44B
2013-12,$1.64B
2014-01,$1.52B
2014-02,$1.19B
2014-03,$0.96B
2014-04,$0.72B
2014-05,$0.86B
2014-06,$0.95B
2014-07,$0.92B
2014-08,$1.27B
2014-09,$1.07B
2014-10,$1.21B
2014-11,$1.25B
2014-12,$1.27B
2015-01,$1.23B
2015-02,$1.18B
2015-03,$1.08B
2015-04,$1.45B
2015-05,$1.35B
2015-06,$1.67B
2015-07,$1.6B
2015-08,$1.53B
2015-09,$1.49B
2015-10,$1.4B
2015-11,$1.47B
2015-12,$1.89B
2016-01,$1.88B
2016-02,$2.08B
2016-03,$3.39B
2016-04,$3.15B
2016-05,$3.22B
2016-06,$3.03B
2016-07,$2.86B
2016-08,$2.2B
2016-09,$2.77B
2016-10,$2.74B
2016-11,$2.88B
2016-12,$3.07B
2017-01,$2.83B
2017-02,$2.69B
2017-03,$2.65B
2017-04,$3.37B
2017-05,$3.21B
2017-06,$3.59B
2017-07,$3.5B
2017-08,$3.87B
2017-09,$3.67B
2017-10,$3.8B
2017-11,$3.96B
2017-12,$4.08B
2018-01,$4.76B
2018-02,$5.21B
2018-03,$5.79B
2018-04,$4.8B
2018-05,$5.11B
2018-06,$4.98B
2018-07,$4.7B
2018-08,$4.69B
2018-09,$4.93B
2018-10,$4.03B
2018-11,$5.06B
2018-12,$4.72B
2019-01,$5.04B
2019-02,$5.76B
2019-03,$5.91B
2019-04,$6.55B
2019-05,$5.92B
2019-06,$6.02B
2019-07,$6.75B
2019-08,$6.15B
2019-09,$5.66B
2019-10,$6.03B
2019-11,$5.55B
2019-12,$6.18B
2020-01,$5.79B
2020-02,$5.24B
2020-03,$4.18B
2020-04,$4.49B
2020-05,$5.36B
2020-06,$5.48B
2020-07,$4.71B
2020-08,$4.94B
2020-09,$5.07B
2020-10,$5.36B
2020-11,$5.66B
2020-12,$5.96B
2021-01,$6.58B
2021-02,$6.04B
2021-03,$5.66B
2021-04,$5.36B
2021-05,$5.55B
2021-06,$5.73B
2021-07,$5.39B
2021-08,$4.75B
2021-09,$4.61B
2021-10,$3.35B
2021-11,$3.19B
2021-12,$3.12B
