timeline,日本ペイントホールディングス株式会社
2006-03,$1.37B
2006-04,$1.34B
2006-05,$1.23B
2006-06,$1.27B
2006-07,$1.23B
2006-08,$1.34B
2006-09,$1.44B
2006-10,$1.47B
2006-11,$1.45B
2006-12,$1.46B
2007-01,$1.49B
2007-02,$1.56B
2007-03,$1.55B
2007-04,$1.64B
2007-05,$1.51B
2007-06,$1.47B
2007-07,$1.41B
2007-08,$1.31B
2007-09,$1.39B
2007-10,$1.49B
2007-11,$1.39B
2007-12,$1.28B
2008-01,$1.19B
2008-02,$0.95B
2008-03,$0.84B
2008-04,$0.9B
2008-05,$1.05B
2008-06,$1.07B
2008-07,$1.05B
2008-08,$0.92B
2008-09,$1.0B
2008-10,$0.86B
2008-11,$0.83B
2009-01,$0.88B
2009-02,$0.83B
2009-03,$0.9B
2009-04,$0.85B
2009-05,$1.04B
2009-06,$1.16B
2009-07,$1.15B
2009-08,$1.23B
2009-09,$1.14B
2009-10,$1.28B
2009-11,$1.23B
2009-12,$1.31B
2010-02,$1.3B
2010-03,$1.43B
2010-04,$1.4B
2010-05,$1.37B
2010-06,$1.26B
2010-07,$1.19B
2010-08,$1.21B
2010-09,$1.31B
2010-10,$1.39B
2010-11,$1.45B
2011-01,$1.49B
2011-02,$1.4B
2011-03,$1.3B
2011-04,$1.32B
2011-05,$1.42B
2011-06,$1.5B
2011-07,$1.46B
2011-08,$1.41B
2011-09,$1.46B
2011-10,$1.41B
2011-11,$1.27B
2011-12,$1.24B
2012-01,$1.31B
2012-02,$1.48B
2012-03,$1.46B
2012-04,$1.42B
2012-05,$1.32B
2012-06,$1.51B
2012-08,$1.56B
2012-09,$1.53B
2012-10,$1.49B
2012-11,$1.6B
2012-12,$1.73B
2013-01,$1.92B
2013-02,$2.05B
2013-03,$2.19B
2013-04,$2.7B
2013-05,$2.4B
2013-06,$2.79B
2013-07,$2.91B
2013-08,$3.31B
2013-09,$3.66B
2013-10,$3.84B
2013-11,$3.87B
2013-12,$4.08B
2014-01,$3.98B
2014-02,$3.64B
2014-03,$3.6B
2014-04,$3.63B
2014-05,$3.73B
2014-06,$4.93B
2014-07,$5.53B
2014-08,$5.92B
2014-09,$5.67B
2014-11,$7.06B
2014-12,$9.95B
2015-01,$10.52B
2015-02,$11.73B
2015-03,$12.44B
2015-04,$11.39B
2015-05,$10.91B
2015-06,$9.77B
2015-07,$10.05B
2015-08,$7.06B
2015-09,$5.88B
2015-10,$7.29B
2015-11,$8.72B
2015-12,$8.36B
2016-01,$6.4B
2016-02,$6.39B
2016-03,$7.06B
2016-04,$8.35B
2016-05,$8.93B
2016-06,$7.07B
2016-07,$8.04B
2016-08,$10.48B
2016-09,$9.47B
2016-10,$10.12B
2016-11,$10.21B
2016-12,$9.01B
2017-01,$9.33B
2017-02,$10.25B
2017-03,$10.96B
2017-04,$12.09B
2017-05,$12.45B
2017-06,$12.02B
2017-07,$12.03B
2017-08,$10.6B
2017-09,$10.81B
2017-10,$11.25B
2017-11,$9.75B
2017-12,$10.08B
2018-01,$11.04B
2018-02,$11.06B
2018-03,$11.04B
2018-04,$12.67B
2018-05,$12.88B
2018-06,$13.49B
2018-07,$13.74B
2018-08,$12.41B
2018-09,$11.99B
2018-10,$9.99B
2018-11,$11.38B
2018-12,$10.63B
2019-01,$10.29B
2019-02,$12.1B
2019-03,$12.3B
2019-04,$11.92B
2019-05,$12.16B
2019-06,$11.82B
2019-07,$13.44B
2019-08,$14.22B
2019-09,$15.86B
2019-10,$16.82B
2019-11,$16.51B
2019-12,$15.95B
2020-01,$14.93B
2020-02,$14.13B
2020-03,$15.8B
2020-04,$17.56B
2020-05,$21.24B
2020-06,$22.17B
2020-07,$21.29B
2020-08,$23.64B
2020-09,$28.45B
2020-10,$28.24B
2020-11,$34.11B
2020-12,$33.29B
2021-01,$26.83B
2021-02,$24.43B
2021-03,$26.66B
2021-04,$33.43B
2021-05,$32.78B
2021-06,$32.55B
2021-07,$28.94B
2021-08,$29.26B
2021-09,$29.23B
2021-10,$25.39B
2021-11,$25.48B
2021-12,$25.59B
