timeline,株式会社オリエンタルランド
2006-03,$5.16B
2006-04,$5.13B
2006-05,$4.89B
2006-06,$4.74B
2006-07,$4.64B
2006-08,$4.82B
2006-09,$4.77B
2006-10,$4.78B
2006-11,$4.28B
2006-12,$4.27B
2007-01,$4.22B
2007-02,$4.82B
2007-03,$4.81B
2007-04,$4.7B
2007-05,$4.41B
2007-06,$4.37B
2007-07,$4.29B
2007-08,$4.69B
2007-09,$4.62B
2007-10,$4.65B
2007-11,$4.69B
2008-01,$4.5B
2008-02,$4.35B
2008-03,$4.21B
2008-04,$4.32B
2008-05,$4.38B
2008-06,$4.3B
2008-07,$4.56B
2008-08,$5.1B
2008-09,$5.43B
2008-10,$6.27B
2008-11,$6.71B
2008-12,$6.64B
2009-01,$6.76B
2009-02,$5.88B
2009-03,$4.92B
2009-04,$4.89B
2009-05,$4.8B
2009-06,$4.69B
2009-07,$4.61B
2009-08,$4.63B
2009-09,$4.73B
2009-10,$4.54B
2009-11,$4.67B
2009-12,$4.51B
2010-01,$4.85B
2010-02,$5.16B
2010-03,$5.14B
2010-04,$5.24B
2010-05,$6.08B
2010-06,$6.74B
2010-07,$6.25B
2010-08,$6.83B
2010-09,$6.69B
2010-10,$6.8B
2010-11,$6.74B
2010-12,$6.81B
2011-01,$6.66B
2011-02,$7.16B
2011-03,$5.53B
2011-04,$5.56B
2011-05,$5.85B
2011-06,$5.47B
2011-07,$6.1B
2011-08,$6.37B
2011-09,$7.42B
2011-10,$6.69B
2011-11,$7.22B
2011-12,$7.54B
2012-01,$7.49B
2012-02,$7.22B
2012-03,$7.53B
2012-04,$7.86B
2012-05,$8.26B
2012-06,$8.73B
2012-07,$9.6B
2012-08,$10.15B
2012-09,$9.69B
2012-10,$9.96B
2012-11,$9.4B
2012-12,$8.7B
2013-01,$9.3B
2013-02,$10.65B
2013-03,$11.99B
2013-04,$11.63B
2013-05,$9.88B
2013-06,$11.29B
2013-07,$11.59B
2013-08,$11.51B
2013-09,$11.61B
2013-10,$10.99B
2013-11,$10.24B
2013-12,$9.9B
2014-01,$10.58B
2014-02,$10.31B
2014-03,$10.49B
2014-04,$10.21B
2014-05,$11.58B
2014-06,$11.86B
2014-07,$13.31B
2014-08,$14.0B
2014-09,$14.12B
2014-10,$16.29B
2014-11,$16.63B
2014-12,$18.06B
2015-01,$20.11B
2015-02,$22.78B
2015-03,$26.47B
2015-04,$23.2B
2015-05,$22.33B
2015-06,$21.48B
2015-07,$21.93B
2015-08,$18.63B
2015-09,$18.7B
2015-10,$20.99B
2015-11,$20.36B
2015-12,$21.07B
2016-01,$22.18B
2016-02,$23.53B
2016-03,$23.68B
2016-04,$23.43B
2016-05,$22.33B
2016-06,$21.92B
2016-07,$21.2B
2016-08,$19.99B
2016-09,$20.44B
2016-10,$20.22B
2016-11,$20.59B
2016-12,$20.33B
2017-01,$19.23B
2017-02,$20.01B
2017-03,$20.04B
2017-04,$19.87B
2017-05,$21.67B
2017-06,$22.13B
2017-07,$22.96B
2017-08,$23.43B
2017-09,$24.11B
2017-10,$25.63B
2017-11,$28.05B
2017-12,$28.4B
2018-01,$29.44B
2018-02,$29.55B
2018-03,$30.91B
2018-04,$30.73B
2018-05,$32.72B
2018-06,$33.86B
2018-07,$34.74B
2018-08,$34.22B
2018-09,$33.51B
2018-10,$30.8B
2018-11,$32.53B
2018-12,$32.59B
2019-01,$33.09B
2019-02,$36.07B
2019-03,$37.65B
2019-04,$36.56B
2019-05,$40.52B
2019-07,$44.37B
2019-08,$48.91B
2019-09,$51.82B
2019-10,$48.73B
2019-11,$46.75B
2019-12,$45.41B
2020-01,$44.25B
2020-02,$37.9B
2020-03,$42.98B
2020-04,$43.73B
2020-05,$48.53B
2020-06,$44.78B
2020-07,$40.27B
2020-08,$38.27B
2020-09,$43.89B
2020-10,$45.05B
2020-11,$50.89B
2020-12,$50.33B
2021-01,$47.33B
2021-02,$51.52B
2021-03,$48.12B
2021-04,$44.48B
2021-05,$42.89B
2021-06,$45.62B
2021-07,$44.62B
2021-08,$46.91B
2021-09,$50.32B
2021-10,$51.85B
2021-11,$53.99B
2021-12,$53.22B
