timeline,Ｚホールディングス株式会社
2003-10,$27.09B
2003-11,$23.93B
2004-01,$25.93B
2004-02,$33.41B
2004-03,$42.26B
2004-04,$41.59B
2004-05,$38.26B
2004-06,$35.27B
2004-07,$29.41B
2004-08,$34.94B
2004-09,$32.61B
2004-10,$31.87B
2004-11,$31.54B
2004-12,$32.74B
2005-01,$34.94B
2005-03,$33.43B
2005-04,$31.3B
2005-05,$29.17B
2005-06,$31.03B
2005-07,$32.23B
2005-08,$34.63B
2005-09,$35.43B
2005-10,$32.76B
2005-11,$38.63B
2005-12,$47.68B
2006-01,$42.35B
2006-02,$36.76B
2006-03,$38.28B
2006-04,$35.41B
2006-05,$31.51B
2006-06,$32.31B
2006-07,$25.86B
2006-08,$23.49B
2006-09,$23.7B
2006-10,$24.26B
2006-11,$24.31B
2006-12,$25.27B
2007-01,$24.1B
2007-02,$23.97B
2007-03,$21.68B
2007-04,$22.22B
2007-05,$22.24B
2007-06,$22.32B
2007-07,$19.82B
2007-08,$22.88B
2007-09,$23.2B
2007-10,$27.26B
2007-11,$28.43B
2007-12,$26.67B
2008-01,$21.76B
2008-02,$25.1B
2008-03,$27.63B
2008-04,$24.56B
2008-05,$24.19B
2008-06,$21.82B
2008-07,$21.95B
2008-08,$22.43B
2008-09,$17.98B
2008-10,$16.99B
2008-11,$16.54B
2008-12,$19.47B
2009-01,$15.46B
2009-02,$15.08B
2009-03,$13.26B
2009-04,$12.61B
2009-05,$13.0B
2009-06,$15.76B
2009-07,$15.91B
2009-08,$16.22B
2009-09,$15.63B
2009-10,$14.37B
2009-11,$13.24B
2009-12,$14.27B
2010-01,$17.55B
2010-02,$17.04B
2010-03,$17.42B
2010-04,$18.42B
2010-05,$16.37B
2010-06,$18.24B
2010-07,$17.01B
2010-08,$15.48B
2010-09,$14.76B
2010-10,$14.41B
2010-11,$15.35B
2010-12,$16.12B
2011-01,$15.84B
2011-02,$15.74B
2011-03,$15.22B
2011-04,$15.14B
2011-05,$13.76B
2011-06,$14.12B
2011-07,$13.98B
2011-08,$12.64B
2011-09,$12.41B
2011-10,$13.0B
2011-11,$12.32B
2011-12,$12.68B
2012-01,$11.91B
2012-02,$13.15B
2012-03,$13.74B
2012-04,$12.32B
2012-05,$11.71B
2012-06,$13.2B
2012-07,$14.63B
2012-08,$13.78B
2012-09,$15.21B
2012-10,$14.06B
2012-11,$14.16B
2012-12,$14.26B
2013-01,$18.4B
2013-02,$20.09B
2013-03,$22.16B
2013-04,$24.72B
2013-05,$23.48B
2013-06,$24.8B
2013-07,$26.48B
2013-08,$24.7B
2013-09,$0.28B
2013-10,$0.23B
2013-11,$25.06B
2013-12,$29.67B
2014-01,$29.62B
2014-02,$32.72B
2014-03,$25.41B
2014-04,$22.3B
2014-05,$23.55B
2014-06,$23.5B
2014-07,$23.76B
2014-08,$21.04B
2014-09,$20.94B
2014-10,$19.94B
2014-11,$21.75B
2014-12,$21.85B
2015-01,$20.04B
2015-02,$24.16B
2015-03,$24.9B
2015-04,$24.65B
2015-05,$27.92B
2015-06,$24.8B
2015-07,$27.26B
2015-08,$24.65B
2015-09,$22.79B
2015-10,$25.86B
2015-11,$25.46B
2015-12,$24.8B
2016-01,$22.85B
2016-02,$22.34B
2016-03,$24.05B
2016-04,$24.9B
2016-05,$25.0B
2016-06,$22.7B
2016-07,$22.85B
2016-08,$21.19B
2016-09,$20.18B
2016-10,$20.24B
2016-11,$20.89B
2016-12,$22.54B
2017-01,$23.8B
2017-02,$26.16B
2017-03,$25.81B
2017-04,$23.95B
2017-05,$25.01B
2017-06,$24.55B
2017-07,$25.11B
2017-08,$25.31B
2017-09,$26.82B
2017-10,$25.46B
2017-11,$25.76B
2017-12,$25.96B
2018-01,$26.37B
2018-02,$24.91B
2018-03,$24.81B
2018-04,$22.6B
2018-05,$19.89B
2018-06,$18.48B
2018-07,$21.35B
2018-08,$17.13B
2018-09,$18.34B
2018-10,$14.21B
2018-11,$13.01B
2018-12,$10.97B
2019-01,$11.73B
2019-02,$11.93B
2019-03,$10.85B
2019-04,$13.27B
2019-05,$14.04B
2019-06,$18.38B
2019-07,$13.48B
2019-08,$11.17B
2019-09,$12.77B
2019-10,$14.03B
2019-11,$15.84B
2019-12,$19.37B
2020-01,$18.4B
2020-02,$16.51B
2020-03,$15.59B
2020-04,$17.6B
2020-05,$18.48B
2020-06,$22.1B
2020-07,$23.4B
2020-08,$28.55B
2020-09,$28.53B
2020-10,$31.32B
2020-11,$26.5B
2020-12,$25.95B
2021-01,$28.64B
2021-02,$27.75B
2021-03,$24.43B
2021-04,$22.82B
2021-05,$20.1B
2021-06,$26.48B
2021-07,$38.42B
2021-08,$44.53B
2021-09,$50.63B
2021-10,$46.48B
2021-11,$52.8B
2021-12,$49.91B
