timeline,トレンドマイクロ株式会社
2001-01,$0.71B
2001-02,$0.6B
2001-03,$0.61B
2001-04,$0.64B
2001-05,$0.6B
2001-06,$0.54B
2001-07,$0.31B
2001-08,$0.21B
2001-09,$0.23B
2001-10,$0.31B
2001-11,$0.37B
2001-12,$3.61B
2002-01,$3.65B
2002-02,$3.47B
2002-03,$3.94B
2002-04,$4.03B
2002-05,$4.29B
2002-06,$3.9B
2002-07,$3.49B
2002-08,$3.61B
2002-09,$3.73B
2002-10,$3.26B
2002-11,$3.28B
2002-12,$2.36B
2003-01,$2.31B
2003-02,$2.28B
2003-03,$1.93B
2003-04,$1.68B
2003-05,$2.39B
2003-06,$2.17B
2003-07,$2.16B
2003-08,$2.73B
2003-09,$2.65B
2003-10,$3.52B
2003-11,$3.22B
2003-12,$3.36B
2004-01,$3.49B
2004-02,$3.95B
2004-03,$4.2B
2004-04,$4.94B
2004-05,$4.71B
2004-06,$5.65B
2004-07,$5.32B
2004-08,$5.57B
2004-09,$5.54B
2004-10,$5.93B
2004-11,$6.31B
2004-12,$6.5B
2005-01,$5.46B
2005-02,$5.71B
2005-03,$5.41B
2005-04,$4.52B
2005-05,$3.99B
2005-06,$4.64B
2005-07,$4.73B
2005-08,$4.51B
2005-09,$4.22B
2005-10,$4.24B
2005-11,$4.76B
2005-12,$5.28B
2006-01,$4.62B
2006-02,$4.26B
2006-03,$4.88B
2006-04,$5.22B
2006-05,$4.54B
2006-06,$4.57B
2006-07,$4.45B
2006-08,$4.0B
2006-09,$4.09B
2006-10,$4.44B
2006-11,$4.14B
2006-12,$4.23B
2007-01,$4.0B
2007-02,$4.06B
2007-03,$3.9B
2007-04,$4.54B
2007-05,$4.86B
2007-06,$4.82B
2007-07,$4.43B
2007-08,$5.77B
2007-09,$6.02B
2007-10,$6.19B
2007-11,$5.42B
2007-12,$4.77B
2008-01,$4.49B
2008-02,$4.34B
2008-03,$4.66B
2008-05,$4.4B
2008-06,$4.17B
2008-07,$4.5B
2008-08,$4.43B
2008-09,$4.71B
2008-10,$2.8B
2008-11,$3.31B
2008-12,$3.68B
2009-01,$2.98B
2009-02,$2.68B
2009-03,$3.3B
2009-04,$3.56B
2009-05,$3.75B
2009-06,$3.68B
2009-07,$3.9B
2009-08,$4.36B
2009-09,$3.99B
2009-10,$3.81B
2009-11,$3.68B
2009-12,$4.16B
2010-01,$3.94B
2010-02,$3.61B
2010-03,$3.84B
2010-04,$3.77B
2010-05,$3.16B
2010-06,$2.84B
2010-07,$3.0B
2010-08,$2.68B
2010-09,$2.93B
2010-10,$2.68B
2010-11,$3.04B
2010-12,$3.16B
2011-01,$2.92B
2011-02,$2.98B
2011-03,$2.58B
2011-04,$2.68B
2011-05,$2.88B
2011-06,$2.89B
2011-07,$2.81B
2011-08,$2.79B
2011-09,$2.83B
2011-10,$3.3B
2011-11,$2.7B
2011-12,$2.67B
2012-01,$2.81B
2012-02,$2.75B
2012-03,$2.95B
2012-04,$2.82B
2012-05,$2.49B
2012-06,$2.71B
2012-07,$2.72B
2012-08,$2.52B
2012-09,$2.53B
2012-10,$2.59B
2012-11,$2.49B
2012-12,$3.01B
2013-01,$3.1B
2013-02,$3.04B
2013-03,$3.11B
2013-04,$3.17B
2013-05,$3.63B
2013-06,$3.66B
2013-07,$3.78B
2013-08,$3.99B
2013-09,$4.24B
2013-10,$4.22B
2013-11,$4.65B
2013-12,$4.38B
2014-01,$3.79B
2014-02,$4.06B
2014-03,$3.8B
2014-04,$3.93B
2014-05,$3.75B
2014-06,$3.97B
2014-07,$4.4B
2014-08,$3.99B
2014-09,$4.41B
2014-10,$4.37B
2014-11,$4.29B
2014-12,$3.97B
2015-01,$3.98B
2015-02,$4.84B
2015-03,$4.71B
2015-04,$4.83B
2015-05,$5.19B
2015-06,$4.98B
2015-07,$5.4B
2015-08,$5.13B
2015-09,$5.01B
2015-10,$5.63B
2015-11,$5.97B
2015-12,$5.95B
2016-01,$6.06B
2016-02,$4.96B
2016-03,$4.98B
2016-04,$5.05B
2016-05,$4.85B
2016-06,$4.4B
2016-07,$4.52B
2016-08,$4.43B
2016-09,$4.24B
2016-10,$4.47B
2016-11,$4.96B
2016-12,$5.02B
2017-01,$5.3B
2017-02,$5.95B
2017-03,$5.99B
2017-04,$5.93B
2017-05,$6.73B
2017-06,$7.0B
2017-07,$6.68B
2017-08,$6.16B
2017-09,$6.7B
2017-10,$7.32B
2017-11,$7.68B
2017-12,$7.73B
2018-01,$7.14B
2018-02,$7.38B
2018-03,$7.71B
2018-04,$7.96B
2018-05,$7.5B
2018-06,$7.67B
2018-07,$8.0B
2018-08,$8.5B
2018-09,$8.87B
2018-10,$7.92B
2018-11,$7.9B
2018-12,$7.35B
2019-01,$7.12B
2019-02,$6.73B
2019-03,$6.61B
2019-04,$6.81B
2019-05,$5.97B
2019-06,$5.88B
2019-07,$5.84B
2019-08,$6.31B
2019-09,$6.29B
2019-10,$6.74B
2019-11,$7.24B
2019-12,$6.97B
2020-01,$7.07B
2020-02,$6.96B
2020-03,$6.55B
2020-04,$6.71B
2020-06,$7.34B
2020-07,$7.55B
2020-08,$8.02B
2020-09,$7.84B
2020-10,$7.43B
2020-11,$7.1B
2020-12,$7.12B
2021-01,$7.07B
2021-02,$6.82B
2021-03,$6.61B
2021-04,$6.61B
2021-05,$6.67B
2021-06,$6.9B
2021-07,$7.11B
2021-08,$7.34B
2021-09,$7.97B
2021-10,$7.73B
2021-11,$8.21B
2021-12,$8.23B
