timeline,伊藤忠テクノソリューションズ株式会社
2006-03,$2.35B
2006-04,$2.36B
2006-05,$2.62B
2006-06,$2.67B
2006-07,$2.61B
2006-08,$2.88B
2006-09,$3.04B
2006-10,$3.32B
2006-11,$3.54B
2006-12,$3.21B
2007-01,$3.1B
2007-02,$2.91B
2007-03,$2.87B
2007-04,$2.78B
2007-05,$2.6B
2007-06,$2.46B
2007-07,$2.2B
2007-08,$2.31B
2007-09,$2.06B
2007-10,$2.08B
2007-11,$2.01B
2007-12,$1.91B
2008-01,$1.55B
2008-02,$1.49B
2008-03,$1.53B
2008-04,$1.66B
2008-05,$1.96B
2009-03,$1.15B
2009-04,$1.26B
2009-05,$1.39B
2009-06,$1.62B
2009-07,$1.61B
2009-08,$1.55B
2009-09,$1.56B
2009-10,$1.42B
2009-11,$1.34B
2009-12,$1.41B
2010-01,$1.55B
2010-02,$1.6B
2010-03,$1.73B
2010-04,$2.01B
2010-05,$1.89B
2010-06,$1.84B
2010-07,$1.78B
2010-08,$1.55B
2010-09,$1.54B
2010-10,$1.55B
2010-11,$1.7B
2010-12,$1.72B
2011-01,$1.61B
2011-02,$1.63B
2011-03,$1.52B
2011-04,$1.6B
2011-05,$1.55B
2011-06,$1.52B
2011-07,$1.62B
2011-08,$1.75B
2011-09,$1.86B
2011-10,$1.82B
2011-11,$1.77B
2011-12,$1.84B
2012-01,$1.88B
2012-02,$1.93B
2012-03,$2.04B
2012-04,$2.01B
2012-05,$2.0B
2012-06,$2.12B
2012-07,$2.17B
2012-08,$2.3B
2012-09,$2.18B
2012-10,$2.21B
2012-11,$2.03B
2012-12,$1.91B
2013-01,$2.13B
2013-02,$2.17B
2013-03,$2.53B
2013-04,$2.43B
2013-05,$2.28B
2013-06,$2.15B
2013-07,$2.04B
2013-08,$1.75B
2013-09,$1.83B
2013-10,$2.02B
2013-11,$1.97B
2013-12,$2.14B
2014-02,$2.37B
2014-03,$2.26B
2014-04,$2.21B
2014-05,$2.18B
2014-06,$2.29B
2014-07,$2.42B
2014-08,$2.4B
2014-09,$2.39B
2014-10,$2.3B
2014-11,$2.41B
2014-12,$2.22B
2015-01,$2.19B
2015-02,$2.44B
2015-03,$2.54B
2015-04,$2.79B
2015-05,$3.0B
2015-06,$3.11B
2015-07,$2.95B
2015-08,$2.72B
2015-09,$2.6B
2015-10,$2.71B
2015-11,$2.59B
2015-12,$2.47B
2016-01,$1.97B
2016-02,$2.3B
2016-03,$2.17B
2016-04,$2.2B
2016-05,$2.51B
2016-06,$2.24B
2016-07,$2.53B
2016-08,$2.57B
2016-09,$2.64B
2016-11,$3.14B
2016-12,$3.1B
2017-02,$3.11B
2017-03,$3.33B
2017-04,$3.31B
2017-05,$3.85B
2017-06,$4.01B
2017-07,$3.92B
2017-08,$4.17B
2017-09,$4.28B
2017-10,$4.49B
2017-11,$4.82B
2017-12,$4.99B
2018-01,$4.88B
2018-02,$4.48B
2018-03,$4.54B
2018-04,$4.63B
2018-05,$4.03B
2018-06,$3.9B
2018-07,$4.33B
2018-08,$5.02B
2018-09,$5.04B
2018-10,$4.36B
2018-11,$4.46B
2018-12,$4.33B
2019-01,$4.61B
2019-02,$5.34B
2019-03,$5.27B
2019-04,$5.54B
2019-05,$5.49B
2019-06,$5.63B
2019-07,$5.73B
2019-08,$5.97B
2019-09,$5.83B
2019-10,$5.96B
2019-12,$6.27B
2020-01,$6.61B
2020-02,$6.1B
2020-03,$6.14B
2020-04,$6.72B
2020-05,$7.42B
2020-06,$8.23B
2020-07,$8.71B
2020-08,$8.02B
2020-09,$8.1B
2020-10,$7.34B
2020-11,$7.55B
2020-12,$7.56B
2021-01,$7.56B
2021-02,$7.15B
2021-03,$7.04B
2021-04,$7.38B
2021-05,$7.32B
2021-06,$6.9B
2021-07,$6.98B
2021-08,$7.02B
2021-09,$7.79B
2021-10,$7.32B
2021-11,$7.69B
2021-12,$7.92B
