timeline,株式会社サイバーエージェント
2006-09,$0.89B
2006-10,$0.88B
2006-11,$0.85B
2006-12,$0.74B
2007-01,$0.81B
2007-02,$0.65B
2007-03,$0.6B
2007-04,$0.5B
2007-05,$0.45B
2007-06,$0.47B
2007-07,$0.4B
2007-08,$0.3B
2007-09,$0.29B
2007-10,$0.46B
2007-11,$0.49B
2007-12,$0.51B
2008-01,$0.49B
2008-02,$0.74B
2008-03,$0.8B
2008-04,$0.71B
2008-05,$0.91B
2008-06,$0.77B
2008-07,$0.84B
2008-08,$0.61B
2008-09,$0.57B
2008-10,$0.5B
2008-11,$0.34B
2008-12,$0.32B
2009-01,$0.3B
2009-02,$0.26B
2009-03,$0.33B
2009-04,$0.37B
2009-05,$0.41B
2009-06,$0.53B
2009-07,$0.52B
2009-08,$0.51B
2009-09,$0.66B
2009-10,$0.68B
2009-11,$0.75B
2009-12,$0.94B
2010-01,$0.9B
2010-02,$0.92B
2010-03,$0.95B
2010-04,$0.94B
2010-05,$0.83B
2010-06,$0.75B
2010-07,$0.73B
2010-08,$0.77B
2010-09,$0.86B
2010-10,$0.76B
2010-11,$0.89B
2010-12,$1.01B
2011-01,$1.32B
2011-02,$1.49B
2011-03,$1.67B
2011-04,$1.66B
2011-05,$1.59B
2011-06,$1.61B
2011-07,$1.54B
2011-08,$1.44B
2011-09,$1.19B
2011-10,$1.53B
2011-11,$1.44B
2012-01,$1.28B
2012-02,$1.34B
2012-03,$1.24B
2012-04,$1.41B
2012-05,$0.95B
2012-06,$1.17B
2012-07,$0.9B
2012-08,$0.92B
2012-09,$0.97B
2012-10,$0.91B
2012-11,$0.92B
2012-12,$1.01B
2013-01,$1.1B
2013-02,$0.99B
2013-03,$1.01B
2013-04,$1.05B
2013-05,$1.1B
2013-06,$1.05B
2013-07,$1.26B
2013-08,$1.4B
2013-09,$1.49B
2013-10,$1.47B
2013-11,$2.1B
2013-12,$2.35B
2014-01,$2.75B
2014-02,$2.46B
2014-03,$2.17B
2014-04,$2.31B
2014-05,$2.23B
2014-06,$2.25B
2014-07,$1.91B
2014-08,$1.96B
2014-09,$2.12B
2014-10,$2.34B
2014-11,$2.61B
2014-12,$2.5B
2015-01,$2.88B
2015-02,$3.4B
2015-03,$3.8B
2015-04,$3.17B
2015-05,$3.18B
2015-06,$3.2B
2015-07,$2.94B
2015-08,$2.65B
2015-09,$2.58B
2015-10,$2.77B
2015-11,$2.87B
2015-12,$2.78B
2016-01,$3.1B
2016-02,$2.57B
2016-03,$2.89B
2016-04,$2.88B
2016-05,$2.93B
2016-06,$3.41B
2016-07,$3.22B
2016-08,$3.1B
2016-09,$3.32B
2016-10,$3.39B
2016-11,$3.08B
2016-12,$3.2B
2017-01,$3.1B
2017-02,$3.46B
2017-03,$3.65B
2017-04,$3.83B
2017-05,$4.43B
2017-06,$3.86B
2017-07,$3.78B
2017-08,$3.98B
2017-09,$3.64B
2017-10,$3.88B
2017-11,$4.25B
2017-12,$4.88B
2018-01,$5.24B
2018-02,$5.13B
2018-03,$5.87B
2018-04,$6.7B
2018-05,$6.31B
2018-06,$7.39B
2018-07,$6.51B
2018-08,$7.01B
2018-09,$6.71B
2018-10,$5.31B
2018-11,$5.7B
2018-12,$4.71B
2019-01,$3.88B
2019-02,$3.84B
2019-03,$5.01B
2019-04,$4.91B
2019-05,$4.64B
2019-06,$4.33B
2019-07,$4.9B
2019-08,$5.31B
2019-09,$4.61B
2019-10,$3.92B
2019-11,$4.2B
2019-12,$4.24B
2020-01,$4.9B
2020-02,$4.55B
2020-03,$4.6B
2020-04,$4.96B
2020-05,$6.03B
2020-06,$5.88B
2020-07,$6.61B
2020-08,$6.49B
2020-09,$6.94B
2020-10,$7.37B
2020-11,$7.42B
2020-12,$7.72B
2021-01,$8.22B
2021-02,$7.42B
2021-03,$7.99B
2021-04,$9.16B
2021-05,$9.61B
2021-06,$9.89B
2021-07,$9.72B
2021-08,$9.13B
2021-09,$10.07B
2021-10,$9.21B
2021-11,$9.13B
2021-12,$8.86B
