timeline,楽天グループ株式会社
2006-12,$6.37B
2007-01,$7.3B
2007-02,$7.07B
2007-03,$6.44B
2007-04,$5.57B
2007-05,$4.76B
2007-07,$4.21B
2007-08,$4.92B
2007-09,$5.17B
2007-10,$6.43B
2007-11,$6.52B
2007-12,$6.34B
2008-01,$5.25B
2008-02,$5.8B
2008-03,$6.88B
2008-04,$7.49B
2008-05,$6.26B
2008-06,$6.18B
2008-07,$6.29B
2008-08,$7.03B
2008-09,$6.73B
2008-10,$5.57B
2008-11,$6.02B
2008-12,$6.57B
2009-01,$6.14B
2009-02,$5.83B
2009-03,$5.44B
2009-04,$5.74B
2009-05,$6.03B
2009-06,$6.7B
2009-07,$7.01B
2009-08,$6.48B
2009-09,$6.89B
2009-10,$7.19B
2009-11,$8.05B
2009-12,$8.16B
2010-01,$8.53B
2010-02,$7.91B
2010-03,$7.81B
2010-04,$8.42B
2010-05,$7.33B
2010-06,$7.4B
2010-07,$7.65B
2010-08,$7.34B
2010-09,$7.06B
2010-10,$7.16B
2010-11,$7.4B
2010-12,$7.85B
2011-01,$8.34B
2011-02,$8.4B
2011-03,$8.64B
2011-04,$8.62B
2011-05,$9.27B
2011-06,$9.6B
2011-07,$9.04B
2011-08,$9.97B
2011-09,$10.43B
2011-10,$9.94B
2011-11,$9.6B
2011-12,$9.56B
2012-01,$8.9B
2012-02,$9.36B
2012-03,$10.04B
2012-04,$10.31B
2012-05,$9.71B
2012-06,$9.54B
2012-07,$9.02B
2012-08,$8.76B
2012-09,$9.21B
2012-10,$8.32B
2012-11,$8.05B
2012-12,$7.81B
2013-01,$9.68B
2013-02,$9.28B
2013-03,$11.09B
2013-04,$12.05B
2013-05,$13.15B
2013-06,$13.6B
2013-07,$15.35B
2013-08,$14.05B
2013-09,$17.24B
2013-10,$14.84B
2013-11,$18.28B
2013-12,$18.17B
2014-01,$19.57B
2014-02,$16.95B
2014-03,$16.03B
2014-04,$15.39B
2014-05,$15.36B
2014-06,$15.25B
2014-07,$15.95B
2014-08,$15.68B
2014-09,$14.72B
2014-10,$14.49B
2014-11,$18.63B
2014-12,$19.62B
2015-01,$19.15B
2015-02,$23.23B
2015-03,$24.73B
2015-04,$24.47B
2015-05,$23.85B
2015-06,$24.83B
2015-07,$25.05B
2015-08,$21.77B
2015-09,$19.13B
2015-10,$21.19B
2015-11,$19.49B
2015-12,$17.62B
2016-01,$15.43B
2016-02,$13.47B
2016-03,$13.64B
2016-04,$15.33B
2016-05,$15.01B
2016-06,$13.86B
2016-07,$14.78B
2016-08,$16.39B
2016-09,$16.48B
2016-10,$15.24B
2016-11,$14.18B
2016-12,$14.4B
2017-01,$14.18B
2017-02,$14.0B
2017-03,$14.02B
2017-04,$14.35B
2017-05,$16.93B
2017-06,$16.08B
2017-07,$16.25B
2017-08,$15.64B
2017-09,$14.7B
2017-10,$14.43B
2017-11,$13.65B
2017-12,$12.29B
2018-01,$11.7B
2018-02,$11.6B
2018-03,$10.67B
2018-04,$9.26B
2018-05,$8.69B
2018-06,$8.9B
2018-07,$9.34B
2018-08,$10.09B
2018-09,$10.34B
2018-10,$9.07B
2018-11,$10.85B
2018-12,$8.77B
2019-01,$9.76B
2019-02,$10.44B
2019-03,$12.49B
2019-04,$14.72B
2019-05,$13.53B
2019-06,$15.26B
2019-07,$13.3B
2019-08,$11.93B
2019-09,$12.69B
2019-10,$12.37B
2019-11,$11.72B
2019-12,$11.18B
2020-01,$10.24B
2020-02,$10.8B
2020-03,$9.8B
2020-04,$10.95B
2020-05,$11.67B
2020-06,$11.34B
2020-07,$11.64B
2020-08,$11.7B
2020-09,$13.65B
2020-10,$12.84B
2020-11,$13.31B
2020-12,$12.12B
2021-01,$11.93B
2021-02,$13.63B
2021-03,$17.07B
2021-04,$17.84B
2021-05,$17.15B
2021-06,$16.93B
2021-07,$17.03B
2021-08,$16.24B
2021-09,$15.39B
2021-10,$15.6B
2021-11,$16.09B
2021-12,$15.39B
