timeline,富士フイルムホールディングス株式会社
2001-01,$21.05B
2001-02,$19.28B
2001-03,$21.05B
2001-04,$22.59B
2001-05,$22.73B
2001-06,$24.41B
2001-07,$22.41B
2001-08,$20.05B
2001-09,$17.65B
2001-10,$18.33B
2001-11,$19.24B
2001-12,$21.23B
2002-01,$19.06B
2002-02,$19.15B
2002-03,$18.91B
2002-04,$18.51B
2002-05,$17.69B
2002-06,$17.55B
2002-07,$16.83B
2002-08,$16.42B
2002-09,$16.47B
2002-10,$15.33B
2002-11,$18.05B
2002-12,$17.55B
2003-01,$16.37B
2003-02,$17.01B
2003-03,$16.47B
2003-04,$13.76B
2003-05,$14.98B
2003-06,$15.7B
2003-07,$16.25B
2003-08,$15.84B
2003-09,$14.84B
2003-10,$14.66B
2003-11,$14.03B
2003-12,$15.66B
2004-01,$16.25B
2004-02,$15.43B
2004-03,$14.98B
2004-04,$16.06B
2004-05,$15.2B
2004-06,$15.47B
2004-07,$15.11B
2004-08,$15.56B
2004-09,$16.38B
2004-12,$16.92B
2005-01,$16.83B
2005-02,$17.87B
2005-03,$17.79B
2005-04,$15.74B
2005-05,$15.34B
2005-06,$16.2B
2005-07,$15.83B
2005-08,$16.15B
2005-09,$16.97B
2005-10,$16.65B
2005-11,$17.42B
2005-12,$17.69B
2006-01,$18.24B
2006-02,$17.01B
2006-03,$17.83B
2006-04,$17.56B
2006-05,$16.65B
2006-06,$17.42B
2006-07,$17.51B
2006-08,$19.51B
2006-09,$19.55B
2006-10,$19.69B
2006-11,$20.92B
2006-12,$22.19B
2007-01,$22.59B
2007-02,$23.09B
2007-03,$21.87B
2007-04,$22.59B
2007-05,$22.87B
2007-06,$25.0B
2007-07,$23.55B
2007-08,$22.87B
2007-09,$24.09B
2007-10,$24.95B
2007-11,$22.23B
2007-12,$21.46B
2008-01,$18.87B
2008-02,$18.01B
2008-03,$16.02B
2008-04,$18.1B
2008-05,$17.6B
2008-06,$16.56B
2008-07,$15.43B
2008-08,$13.47B
2008-09,$11.96B
2008-10,$9.54B
2008-11,$10.25B
2008-12,$8.67B
2009-01,$8.92B
2009-02,$8.27B
2009-03,$9.15B
2009-04,$10.77B
2009-05,$11.87B
2009-06,$13.18B
2009-07,$13.31B
2009-08,$11.95B
2009-09,$11.59B
2009-10,$11.33B
2009-11,$10.14B
2009-12,$12.02B
2010-01,$12.46B
2010-02,$12.17B
2010-03,$13.87B
2010-04,$13.96B
2010-05,$11.67B
2010-06,$11.15B
2010-07,$11.63B
2010-08,$10.98B
2010-09,$11.91B
2010-10,$11.57B
2010-11,$12.11B
2010-12,$12.47B
2011-01,$12.59B
2011-02,$12.15B
2011-03,$10.94B
2011-04,$10.66B
2011-05,$10.19B
2011-06,$10.61B
2011-07,$9.91B
2011-08,$7.82B
2011-09,$7.71B
2011-10,$8.28B
2011-11,$7.75B
2011-12,$7.74B
2012-01,$7.67B
2012-02,$8.74B
2012-03,$8.24B
2012-04,$7.25B
2012-05,$6.24B
2012-06,$6.36B
2012-07,$5.93B
2012-08,$5.52B
2012-09,$5.55B
2012-10,$5.72B
2012-11,$6.42B
2012-12,$7.32B
2013-01,$7.74B
2013-02,$7.56B
2013-03,$7.8B
2013-04,$9.07B
2013-05,$9.74B
2013-06,$9.91B
2013-07,$9.15B
2013-08,$9.13B
2013-09,$10.0B
2013-10,$10.17B
2013-11,$11.88B
2013-12,$12.67B
2014-01,$12.86B
2014-02,$12.42B
2014-03,$12.57B
2014-04,$11.98B
2014-05,$11.92B
2014-06,$12.0B
2014-07,$12.61B
2014-08,$13.32B
2014-09,$14.32B
2014-10,$15.67B
2014-11,$16.72B
2014-12,$15.73B
2015-01,$16.99B
2015-02,$17.52B
2015-03,$18.18B
2015-04,$19.28B
2015-05,$20.21B
2015-06,$18.59B
2015-07,$20.92B
2015-08,$21.21B
2015-09,$18.25B
2015-10,$19.87B
2015-11,$20.42B
2015-12,$20.43B
2016-01,$18.49B
2016-02,$17.02B
2016-03,$17.68B
2016-04,$18.15B
2016-05,$17.88B
2016-06,$15.66B
2016-07,$14.81B
2016-08,$15.44B
2016-09,$14.54B
2016-10,$15.54B
2016-11,$16.62B
2016-12,$17.34B
2017-01,$16.88B
2017-02,$16.75B
2017-03,$16.78B
2017-04,$15.95B
2017-05,$15.58B
2017-06,$15.59B
2017-07,$15.64B
2017-08,$16.69B
2017-09,$16.87B
2017-10,$17.88B
2017-11,$17.69B
2017-12,$17.78B
2018-01,$15.95B
2018-02,$16.98B
2018-03,$16.1B
2018-04,$16.71B
2018-05,$15.86B
2018-06,$16.41B
2018-07,$17.45B
2018-08,$17.75B
2018-09,$19.33B
2018-10,$18.21B
2018-11,$16.63B
2018-12,$15.61B
2019-01,$16.93B
2019-02,$18.01B
2019-03,$18.16B
2019-04,$18.71B
2019-05,$18.76B
2019-06,$19.71B
2019-07,$18.7B
2019-08,$16.42B
2019-09,$17.11B
2019-10,$17.25B
2019-11,$18.68B
2019-12,$18.88B
2020-01,$19.64B
2020-02,$19.45B
2020-03,$18.97B
2020-04,$18.11B
2020-05,$17.81B
2020-06,$16.25B
2020-07,$16.71B
2020-08,$17.7B
2020-09,$17.86B
2020-10,$18.71B
2020-11,$20.08B
2020-12,$19.64B
2021-01,$21.8B
2021-02,$21.86B
2021-03,$22.59B
2021-04,$24.09B
2021-05,$25.64B
2021-06,$27.82B
2021-07,$28.22B
2021-08,$30.29B
2021-09,$35.02B
2021-10,$32.05B
2021-11,$32.79B
2021-12,$31.07B
