timeline,株式会社資生堂
2001-01,$4.48B
2001-02,$4.29B
2001-03,$4.58B
2001-04,$5.08B
2001-05,$4.43B
2001-06,$4.32B
2001-07,$4.33B
2001-08,$4.17B
2001-09,$3.84B
2001-10,$4.47B
2001-11,$4.41B
2001-12,$4.47B
2002-01,$4.15B
2002-02,$4.64B
2002-03,$4.93B
2002-04,$5.33B
2002-05,$6.14B
2002-06,$5.98B
2002-07,$5.82B
2002-08,$5.85B
2002-09,$5.44B
2002-10,$5.1B
2002-11,$5.45B
2002-12,$5.78B
2003-01,$5.35B
2003-02,$5.13B
2003-03,$4.35B
2003-04,$4.08B
2003-05,$4.86B
2003-06,$4.37B
2003-07,$4.51B
2003-08,$4.57B
2003-09,$4.77B
2003-10,$4.32B
2003-11,$4.6B
2003-12,$4.88B
2004-01,$4.71B
2004-02,$4.85B
2004-03,$5.08B
2004-05,$4.9B
2004-06,$5.15B
2004-07,$5.18B
2004-08,$5.27B
2004-09,$5.07B
2004-10,$5.18B
2004-11,$5.31B
2004-12,$5.55B
2005-01,$5.39B
2005-02,$5.33B
2005-03,$5.3B
2005-04,$5.0B
2005-05,$4.89B
2005-06,$5.24B
2005-07,$5.73B
2005-08,$5.82B
2005-09,$6.12B
2005-10,$6.95B
2005-11,$7.23B
2005-12,$8.23B
2006-01,$8.42B
2006-02,$7.69B
2006-03,$8.2B
2006-04,$8.25B
2006-05,$7.49B
2006-06,$8.4B
2006-07,$8.57B
2006-08,$8.72B
2006-09,$8.83B
2006-10,$8.53B
2006-11,$8.74B
2006-12,$9.66B
2007-01,$9.56B
2007-02,$9.4B
2007-03,$8.96B
2007-04,$9.64B
2007-05,$9.79B
2007-06,$9.84B
2007-07,$9.51B
2007-08,$9.04B
2007-09,$9.54B
2007-10,$10.35B
2007-11,$9.94B
2007-12,$9.9B
2008-01,$9.38B
2008-02,$8.95B
2008-03,$9.52B
2008-04,$9.02B
2008-05,$9.34B
2008-06,$8.78B
2008-07,$8.69B
2008-08,$9.29B
2008-09,$8.48B
2008-10,$7.12B
2008-11,$6.41B
2008-12,$6.6B
2009-01,$5.52B
2009-02,$5.23B
2009-03,$5.19B
2009-04,$6.26B
2009-05,$5.88B
2009-06,$5.64B
2009-07,$5.5B
2009-08,$5.84B
2009-09,$5.58B
2009-10,$5.95B
2009-11,$6.08B
2009-12,$6.35B
2010-01,$6.62B
2010-02,$7.02B
2010-03,$7.12B
2010-04,$6.91B
2010-05,$6.19B
2010-06,$6.73B
2010-07,$6.61B
2010-08,$6.45B
2010-09,$6.41B
2010-10,$5.75B
2010-11,$5.98B
2010-12,$6.06B
2011-01,$5.65B
2011-02,$5.68B
2011-03,$5.05B
2011-04,$4.7B
2011-05,$4.89B
2011-06,$5.26B
2011-07,$5.19B
2011-08,$5.11B
2011-09,$5.29B
2011-10,$5.08B
2011-11,$4.97B
2011-12,$4.96B
2012-01,$4.91B
2012-02,$4.95B
2012-03,$5.01B
2012-04,$4.92B
2012-05,$4.33B
2012-06,$4.4B
2012-07,$3.95B
2012-08,$3.91B
2012-09,$3.76B
2012-10,$3.54B
2012-11,$4.19B
2012-12,$4.27B
2013-01,$4.45B
2013-02,$4.31B
2013-03,$4.66B
2013-04,$4.89B
2013-05,$5.07B
2013-06,$5.18B
2013-07,$5.29B
2013-08,$5.47B
2013-09,$6.19B
2013-10,$5.88B
2013-11,$6.15B
2013-12,$5.93B
2014-01,$5.74B
2014-02,$6.32B
2014-03,$6.38B
2014-04,$6.41B
2014-05,$6.01B
2014-06,$6.49B
2014-07,$7.19B
2014-08,$6.75B
2014-09,$6.36B
2014-10,$6.45B
2014-11,$6.23B
2014-12,$5.95B
2015-01,$6.67B
2015-02,$7.36B
2015-03,$7.5B
2015-04,$7.6B
2015-05,$8.77B
2015-06,$9.77B
2015-07,$10.55B
2015-08,$8.95B
2015-09,$9.14B
2015-10,$10.17B
2015-11,$10.36B
2015-12,$8.9B
2016-01,$7.88B
2016-02,$8.65B
2016-03,$8.84B
2016-04,$8.74B
2016-05,$10.29B
2016-06,$9.28B
2016-07,$10.21B
2016-08,$9.15B
2016-09,$9.38B
2016-10,$9.53B
2016-11,$10.24B
2016-12,$10.41B
2017-01,$11.12B
2017-02,$10.4B
2017-03,$10.31B
2017-04,$10.62B
2017-05,$13.12B
2017-06,$14.06B
2017-07,$13.73B
2017-08,$16.05B
2017-09,$15.85B
2017-10,$16.45B
2017-11,$19.26B
2017-12,$19.17B
2018-01,$19.73B
2018-02,$22.76B
2018-03,$24.0B
2018-04,$25.05B
2018-05,$30.37B
2018-06,$30.97B
2018-07,$28.9B
2018-08,$27.54B
2018-09,$30.98B
2018-10,$25.13B
2018-11,$25.43B
2018-12,$24.27B
2019-01,$22.8B
2019-02,$25.87B
2019-03,$28.12B
2019-04,$30.7B
2019-05,$27.58B
2019-06,$28.59B
2019-07,$28.33B
2019-08,$30.6B
2019-09,$30.38B
2019-10,$31.58B
2019-11,$27.83B
2019-12,$27.4B
2020-01,$24.96B
2020-02,$23.52B
2020-03,$22.47B
2020-04,$22.46B
2020-05,$23.14B
2020-06,$24.29B
2020-07,$22.67B
2020-08,$20.85B
2020-09,$21.25B
2020-10,$23.59B
2020-11,$25.83B
2020-12,$25.41B
2021-01,$24.16B
2021-02,$28.27B
2021-03,$27.57B
2021-04,$27.39B
2021-05,$27.67B
2021-06,$28.55B
2021-07,$27.26B
2021-08,$26.4B
2021-09,$28.35B
2021-10,$27.01B
2021-11,$26.47B
2021-12,$23.84B
