timeline,株式会社コーセー
2006-03,$2.15B
2006-04,$2.01B
2006-05,$1.82B
2006-06,$1.92B
2006-07,$2.06B
2006-08,$1.98B
2006-09,$2.03B
2006-10,$1.88B
2006-11,$1.73B
2006-12,$1.92B
2007-01,$1.87B
2007-02,$1.65B
2007-03,$1.86B
2007-04,$1.77B
2007-05,$1.74B
2007-06,$1.85B
2007-07,$1.75B
2007-08,$1.67B
2007-09,$1.61B
2007-10,$1.56B
2007-11,$1.5B
2007-12,$1.57B
2008-01,$1.39B
2008-02,$1.27B
2008-03,$1.14B
2008-04,$1.19B
2008-05,$1.3B
2008-06,$1.25B
2008-07,$1.4B
2008-08,$1.58B
2008-09,$1.54B
2008-10,$1.33B
2008-11,$1.2B
2008-12,$1.18B
2009-01,$1.05B
2009-02,$1.08B
2009-03,$0.93B
2009-04,$1.01B
2009-05,$1.03B
2009-06,$1.04B
2009-07,$0.99B
2009-08,$1.15B
2009-09,$1.12B
2009-10,$1.02B
2009-11,$0.96B
2010-01,$0.93B
2010-02,$0.99B
2010-03,$1.12B
2010-05,$1.11B
2010-06,$1.07B
2010-07,$1.03B
2010-08,$1.01B
2010-10,$0.99B
2010-11,$0.98B
2010-12,$1.07B
2011-02,$1.13B
2011-03,$1.06B
2011-04,$1.08B
2011-05,$1.02B
2011-06,$1.07B
2011-07,$1.04B
2011-08,$1.0B
2011-09,$1.01B
2011-10,$0.96B
2011-11,$0.92B
2011-12,$0.99B
2012-01,$0.96B
2012-02,$0.93B
2012-03,$0.96B
2012-04,$0.94B
2012-05,$0.88B
2012-06,$0.96B
2012-07,$0.94B
2012-08,$0.93B
2012-10,$0.88B
2012-11,$0.89B
2012-12,$0.92B
2013-01,$0.99B
2013-02,$1.04B
2013-03,$1.11B
2013-04,$1.28B
2013-05,$1.23B
2013-06,$1.38B
2013-07,$1.39B
2013-08,$1.38B
2013-09,$1.43B
2013-10,$1.44B
2013-11,$1.64B
2013-12,$1.68B
2014-01,$1.62B
2014-02,$1.67B
2014-03,$1.7B
2014-04,$1.71B
2014-05,$1.8B
2014-06,$1.94B
2014-07,$2.16B
2014-08,$2.28B
2014-09,$2.34B
2014-10,$2.27B
2014-11,$2.09B
2014-12,$2.37B
2015-01,$2.66B
2015-02,$3.06B
2015-03,$3.33B
2015-04,$3.91B
2015-05,$4.08B
2015-06,$5.05B
2015-07,$6.06B
2015-08,$6.03B
2015-09,$5.45B
2015-10,$5.97B
2015-11,$6.47B
2015-12,$5.66B
2016-01,$5.54B
2016-02,$4.88B
2016-03,$5.5B
2016-04,$5.15B
2016-05,$5.0B
2016-06,$4.31B
2016-07,$4.81B
2016-08,$4.66B
2016-09,$5.16B
2016-10,$4.82B
2016-11,$4.61B
2016-12,$4.88B
2017-01,$4.82B
2017-02,$4.83B
2017-03,$5.06B
2017-04,$5.31B
2017-05,$6.0B
2017-06,$6.16B
2017-07,$6.17B
2017-08,$6.93B
2017-09,$6.47B
2017-10,$6.9B
2017-11,$8.65B
2017-12,$8.83B
2018-01,$9.44B
2018-02,$10.12B
2018-03,$11.18B
2018-04,$10.17B
2018-05,$11.89B
2018-06,$11.99B
2018-07,$10.74B
2018-08,$10.3B
2018-09,$10.87B
2018-10,$8.47B
2018-11,$8.5B
2018-12,$8.67B
2019-01,$8.03B
2019-02,$9.05B
2019-03,$10.21B
2019-04,$10.47B
2019-05,$8.62B
2019-06,$9.08B
2019-07,$9.35B
2019-08,$9.17B
2019-10,$9.69B
2019-11,$8.75B
2019-12,$8.04B
2020-01,$7.4B
2020-02,$6.5B
2020-03,$6.69B
2020-04,$6.76B
2020-05,$6.78B
2020-06,$6.51B
2020-07,$5.68B
2020-08,$5.96B
2020-09,$6.41B
2020-10,$7.19B
2020-11,$7.73B
2020-12,$8.64B
2021-01,$8.28B
2021-02,$8.91B
2021-03,$8.46B
2021-04,$8.09B
2021-05,$8.34B
2021-06,$8.97B
2021-07,$8.89B
2021-08,$7.2B
2021-09,$6.92B
2021-10,$6.91B
2021-11,$7.15B
2021-12,$7.02B
