timeline,小林製薬株式会社
2006-03,$1.53B
2006-04,$1.47B
2006-05,$1.7B
2006-07,$1.72B
2006-08,$1.68B
2006-09,$1.64B
2006-11,$1.53B
2006-12,$1.62B
2007-01,$1.68B
2007-02,$1.64B
2007-03,$1.63B
2007-04,$1.68B
2007-05,$1.57B
2007-06,$1.54B
2007-07,$1.55B
2007-08,$1.46B
2007-09,$1.53B
2007-10,$1.38B
2007-11,$1.49B
2007-12,$1.57B
2008-01,$1.56B
2008-02,$1.55B
2008-03,$1.44B
2008-04,$1.36B
2008-05,$1.22B
2008-06,$1.28B
2008-07,$1.33B
2008-08,$1.39B
2008-09,$1.2B
2008-10,$1.18B
2008-11,$1.31B
2008-12,$1.44B
2009-01,$1.28B
2009-02,$1.22B
2009-03,$1.17B
2009-04,$1.16B
2009-05,$1.24B
2009-06,$1.32B
2009-08,$1.51B
2009-09,$1.48B
2009-10,$1.41B
2009-11,$1.39B
2009-12,$1.34B
2010-01,$1.3B
2010-02,$1.31B
2010-03,$1.39B
2010-04,$1.37B
2010-05,$1.34B
2010-06,$1.36B
2010-07,$1.32B
2010-08,$1.39B
2010-09,$1.34B
2010-10,$1.35B
2010-11,$1.32B
2010-12,$1.36B
2011-01,$1.39B
2011-02,$1.43B
2011-03,$1.39B
2011-04,$1.37B
2011-05,$1.39B
2011-06,$1.46B
2011-07,$1.43B
2011-08,$1.42B
2011-09,$1.51B
2011-10,$1.41B
2011-11,$1.4B
2011-12,$1.46B
2012-01,$1.42B
2012-03,$1.5B
2012-04,$1.45B
2012-05,$1.55B
2012-06,$1.6B
2012-07,$1.48B
2012-08,$1.51B
2012-09,$1.5B
2012-10,$1.52B
2012-11,$1.48B
2013-01,$1.61B
2013-02,$1.59B
2013-03,$1.64B
2013-04,$1.92B
2013-05,$1.73B
2013-06,$1.89B
2013-07,$1.85B
2013-08,$1.97B
2013-09,$2.03B
2013-10,$1.98B
2013-11,$2.02B
2013-12,$2.12B
2014-01,$2.02B
2014-02,$2.08B
2014-03,$2.15B
2014-04,$2.24B
2014-05,$2.36B
2014-06,$2.32B
2014-08,$2.41B
2014-09,$2.42B
2014-10,$2.48B
2014-12,$2.54B
2015-01,$2.86B
2015-02,$2.96B
2015-03,$3.09B
2015-04,$3.02B
2015-05,$2.9B
2015-06,$2.99B
2015-07,$3.49B
2015-08,$3.39B
2015-09,$3.23B
2015-10,$3.38B
2015-11,$3.6B
2015-12,$3.58B
2016-01,$3.65B
2016-02,$3.47B
2016-03,$3.5B
2016-04,$3.12B
2016-05,$3.21B
2016-07,$3.46B
2016-08,$3.4B
2016-09,$3.84B
2016-10,$4.0B
2016-11,$3.65B
2017-01,$3.5B
2017-02,$3.61B
2017-03,$3.6B
2017-04,$3.9B
2017-05,$4.37B
2017-06,$4.64B
2017-07,$4.77B
2017-08,$4.75B
2017-09,$4.43B
2017-10,$4.55B
2017-11,$4.93B
2017-12,$5.09B
2018-01,$5.03B
2018-02,$4.87B
2018-03,$5.35B
2018-04,$6.43B
2018-05,$6.69B
2018-06,$6.66B
2018-07,$6.48B
2018-08,$5.56B
2018-09,$5.82B
2018-10,$5.15B
2018-11,$5.5B
2018-12,$5.21B
2019-01,$4.81B
2019-02,$6.25B
2019-03,$6.51B
2019-04,$6.15B
2019-05,$5.57B
2019-06,$5.32B
2019-07,$5.38B
2019-08,$5.49B
2019-09,$5.67B
2019-10,$5.99B
2019-11,$6.19B
2019-12,$6.39B
2020-01,$6.13B
2020-02,$5.79B
2020-03,$6.89B
2020-04,$6.85B
2020-06,$6.62B
2020-07,$6.45B
2020-08,$6.43B
2020-09,$6.97B
2020-10,$7.02B
2020-11,$8.16B
2020-12,$8.66B
2021-01,$8.29B
2021-02,$7.24B
2021-03,$7.12B
2021-04,$6.99B
2021-05,$6.68B
2021-06,$6.49B
2021-07,$6.31B
2021-08,$6.09B
2021-09,$6.48B
2021-10,$6.07B
2021-11,$6.42B
2021-12,$6.22B
