timeline,出光興産株式会社
2006-10,$2.74B
2006-11,$2.96B
2006-12,$2.89B
2007-02,$3.22B
2007-03,$3.31B
2007-04,$5.52B
2007-05,$4.93B
2007-06,$4.87B
2007-07,$4.99B
2007-08,$4.47B
2007-09,$4.56B
2007-10,$4.69B
2007-11,$4.4B
2007-12,$4.18B
2008-01,$3.22B
2008-02,$3.05B
2008-03,$2.72B
2008-04,$3.13B
2008-05,$3.99B
2008-06,$3.32B
2008-07,$3.34B
2008-08,$3.44B
2008-09,$2.99B
2008-10,$1.97B
2008-11,$2.09B
2008-12,$2.01B
2009-01,$2.1B
2009-02,$2.67B
2009-03,$2.6B
2009-04,$2.56B
2009-05,$2.81B
2009-06,$2.92B
2009-07,$2.79B
2009-08,$2.71B
2009-09,$2.61B
2009-10,$2.38B
2009-11,$1.87B
2009-12,$1.9B
2010-01,$2.04B
2010-02,$2.3B
2010-03,$2.5B
2010-04,$2.76B
2010-05,$2.41B
2010-06,$2.37B
2010-07,$2.27B
2010-08,$2.34B
2010-09,$2.53B
2010-10,$2.39B
2010-11,$2.75B
2010-12,$3.04B
2011-02,$3.4B
2011-03,$3.44B
2011-04,$3.35B
2011-05,$3.17B
2011-06,$3.02B
2011-07,$3.15B
2011-08,$2.81B
2011-09,$2.48B
2011-10,$2.62B
2011-11,$2.84B
2011-12,$2.8B
2012-01,$2.91B
2012-02,$2.96B
2012-03,$2.91B
2012-04,$2.6B
2012-05,$2.5B
2012-07,$2.33B
2012-08,$2.22B
2012-09,$2.26B
2012-10,$2.42B
2012-11,$2.38B
2012-12,$2.64B
2013-01,$2.83B
2013-02,$2.97B
2013-03,$2.86B
2013-04,$2.9B
2013-05,$2.91B
2013-06,$2.69B
2013-07,$2.88B
2013-08,$2.89B
2013-09,$3.0B
2013-10,$2.9B
2013-11,$3.25B
2013-12,$3.38B
2014-01,$3.22B
2014-02,$2.93B
2014-03,$2.99B
2014-04,$3.18B
2014-05,$2.98B
2014-06,$3.11B
2014-07,$3.0B
2014-08,$3.22B
2014-09,$3.28B
2014-10,$3.05B
2014-11,$2.86B
2014-12,$2.82B
2015-01,$2.79B
2015-02,$2.97B
2015-03,$2.95B
2015-04,$3.28B
2015-05,$3.47B
2015-06,$3.39B
2015-07,$3.22B
2015-08,$2.93B
2015-09,$2.58B
2015-10,$2.81B
2015-11,$2.88B
2015-12,$2.73B
2016-01,$2.52B
2016-02,$2.42B
2016-03,$2.83B
2016-04,$3.32B
2016-05,$3.13B
2016-06,$3.12B
2016-07,$2.83B
2016-08,$2.66B
2016-09,$2.93B
2016-10,$3.42B
2016-11,$3.65B
2016-12,$4.38B
2017-01,$4.93B
2017-02,$5.11B
2017-03,$5.46B
2017-04,$5.03B
2017-05,$4.37B
2017-06,$4.5B
2017-07,$3.78B
2017-08,$4.93B
2017-09,$5.82B
2017-10,$6.04B
2017-11,$6.92B
2017-12,$8.3B
2018-01,$7.48B
2018-02,$7.57B
2018-03,$7.42B
2018-04,$7.86B
2018-05,$6.7B
2018-06,$7.25B
2018-07,$9.18B
2018-08,$10.1B
2018-09,$10.82B
2018-10,$9.05B
2018-11,$7.2B
2018-12,$6.29B
2019-01,$6.68B
2019-02,$6.88B
2019-03,$6.45B
2019-04,$9.6B
2019-05,$8.19B
2019-06,$8.63B
2019-07,$8.04B
2019-08,$7.6B
2019-09,$8.14B
2019-10,$8.54B
2019-11,$7.96B
2019-12,$8.02B
2020-01,$7.26B
2020-02,$6.98B
2020-03,$6.5B
2020-04,$6.48B
2020-05,$6.27B
2020-06,$6.0B
2020-07,$5.84B
2020-08,$6.14B
2020-09,$6.04B
2020-10,$5.76B
2020-11,$5.82B
2020-12,$5.87B
2021-01,$6.38B
2021-02,$7.18B
2021-03,$7.54B
2021-04,$7.08B
2021-05,$6.94B
2021-06,$7.04B
2021-07,$6.85B
2021-08,$7.04B
2021-09,$7.59B
2021-10,$8.24B
2021-11,$7.89B
2021-12,$7.77B
