timeline,ＥＮＥＯＳホールディングス株式会社
2010-03,$3.86B
2011-03,$12.28B
2011-04,$12.32B
2011-05,$11.71B
2011-06,$11.82B
2011-07,$12.21B
2011-08,$10.57B
2011-09,$9.65B
2011-10,$10.17B
2011-11,$10.55B
2011-12,$10.2B
2012-01,$10.09B
2012-02,$11.18B
2012-03,$11.29B
2012-04,$9.97B
2012-05,$8.76B
2012-06,$8.98B
2012-07,$8.31B
2012-08,$8.88B
2012-09,$9.36B
2012-10,$9.32B
2012-11,$9.65B
2012-12,$10.59B
2013-01,$11.84B
2013-02,$12.41B
2013-03,$11.42B
2013-04,$11.58B
2013-05,$10.96B
2013-06,$10.54B
2013-07,$11.42B
2013-08,$11.4B
2013-09,$11.16B
2013-10,$10.63B
2013-11,$11.68B
2013-12,$11.86B
2014-01,$10.9B
2014-02,$11.55B
2014-03,$10.9B
2014-04,$11.62B
2014-06,$11.88B
2014-07,$11.72B
2014-09,$11.08B
2014-10,$10.42B
2014-11,$9.68B
2014-12,$10.3B
2015-01,$9.55B
2015-02,$10.63B
2015-03,$10.13B
2015-04,$11.46B
2015-05,$12.05B
2015-06,$11.58B
2015-07,$11.6B
2015-08,$10.28B
2015-09,$9.45B
2015-10,$10.43B
2015-11,$10.95B
2015-12,$11.14B
2016-01,$10.0B
2016-02,$9.63B
2016-03,$9.51B
2016-04,$10.32B
2016-05,$9.49B
2016-06,$8.74B
2016-07,$8.5B
2016-08,$8.48B
2016-09,$8.92B
2016-10,$9.12B
2016-11,$9.57B
2016-12,$10.84B
2017-01,$11.67B
2017-02,$11.73B
2017-03,$11.98B
2017-04,$11.03B
2017-05,$10.57B
2017-06,$14.79B
2017-07,$14.77B
2017-08,$16.04B
2017-09,$17.44B
2017-10,$17.57B
2017-11,$18.98B
2017-12,$21.91B
2018-01,$21.81B
2018-02,$19.77B
2018-03,$19.4B
2018-04,$21.49B
2018-05,$21.08B
2018-06,$23.1B
2018-07,$24.48B
2018-08,$23.34B
2018-09,$25.6B
2018-10,$22.92B
2018-11,$20.45B
2018-12,$16.98B
2019-01,$17.47B
2019-02,$15.42B
2019-03,$15.0B
2019-04,$15.85B
2019-05,$15.11B
2019-06,$15.58B
2019-07,$14.83B
2019-08,$12.51B
2019-09,$14.0B
2019-10,$14.48B
2019-11,$13.4B
2019-12,$13.72B
2020-01,$12.91B
2020-02,$11.96B
2020-03,$10.55B
2020-04,$10.61B
2020-05,$11.75B
2020-06,$10.84B
2020-07,$10.42B
2020-08,$11.73B
2020-09,$10.94B
2020-10,$10.19B
2020-11,$10.46B
2020-12,$10.52B
2021-01,$11.77B
2021-02,$12.78B
2021-03,$14.22B
2021-04,$13.4B
2021-05,$13.38B
2021-06,$13.31B
2021-07,$13.34B
2021-08,$12.87B
2021-09,$13.23B
2021-10,$13.0B
2021-11,$12.38B
2021-12,$12.26B
