timeline,ＴＯＹＯ ＴＩＲＥ株式会社
2006-03,$0.95B
2006-04,$0.97B
2006-05,$0.94B
2006-06,$0.82B
2006-08,$0.96B
2006-09,$0.93B
2006-10,$0.97B
2006-11,$0.96B
2006-12,$1.06B
2007-01,$1.1B
2007-02,$0.96B
2007-03,$0.91B
2007-04,$0.94B
2007-05,$1.03B
2007-06,$1.18B
2007-07,$1.05B
2007-08,$1.17B
2007-09,$1.24B
2007-11,$0.78B
2007-12,$0.77B
2008-01,$0.66B
2008-02,$0.54B
2008-03,$0.59B
2008-04,$0.74B
2008-05,$0.77B
2008-06,$0.62B
2008-07,$0.57B
2008-08,$0.52B
2008-09,$0.53B
2008-10,$0.44B
2008-11,$0.38B
2008-12,$0.3B
2009-01,$0.25B
2009-02,$0.21B
2009-03,$0.23B
2009-04,$0.31B
2009-05,$0.41B
2009-06,$0.43B
2009-07,$0.38B
2009-08,$0.41B
2009-09,$0.4B
2009-10,$0.32B
2009-11,$0.25B
2009-12,$0.32B
2010-01,$0.28B
2010-02,$0.37B
2010-03,$0.4B
2010-04,$0.39B
2010-06,$0.35B
2010-07,$0.45B
2010-08,$0.38B
2010-09,$0.39B
2010-10,$0.37B
2010-11,$0.41B
2010-12,$0.44B
2011-01,$0.45B
2011-02,$0.51B
2011-03,$0.46B
2011-04,$0.44B
2011-05,$0.41B
2011-06,$0.45B
2011-07,$0.48B
2011-08,$0.46B
2011-09,$0.44B
2011-10,$0.43B
2011-11,$0.4B
2011-12,$0.39B
2012-01,$0.43B
2012-02,$0.49B
2012-03,$0.52B
2012-04,$0.49B
2012-05,$0.5B
2012-06,$0.6B
2012-07,$0.53B
2012-08,$0.48B
2012-09,$0.44B
2012-10,$0.43B
2012-11,$0.51B
2012-12,$0.57B
2013-01,$0.71B
2013-02,$0.86B
2013-03,$0.94B
2013-04,$1.17B
2013-05,$1.27B
2013-06,$1.17B
2013-07,$1.27B
2013-08,$1.19B
2013-09,$1.32B
2013-10,$1.28B
2013-11,$1.36B
2013-12,$1.34B
2014-01,$1.31B
2014-02,$1.66B
2014-03,$1.64B
2014-04,$1.71B
2014-05,$1.99B
2014-06,$1.93B
2014-07,$2.11B
2014-08,$1.9B
2014-09,$2.1B
2014-10,$2.01B
2014-11,$2.72B
2014-12,$2.67B
2015-01,$3.0B
2015-02,$3.02B
2015-03,$2.43B
2015-04,$2.57B
2015-05,$3.1B
2015-06,$2.9B
2015-07,$3.05B
2015-08,$3.04B
2015-09,$2.89B
2015-10,$2.88B
2015-11,$2.98B
2015-12,$2.69B
2016-01,$2.85B
2016-02,$1.92B
2016-03,$1.88B
2016-05,$1.51B
2016-06,$1.24B
2016-07,$1.17B
2016-08,$1.63B
2016-09,$1.58B
2016-10,$1.81B
2016-11,$1.56B
2016-12,$1.63B
2017-01,$1.54B
2017-02,$2.04B
2017-03,$2.24B
2017-04,$2.19B
2017-05,$2.39B
2017-06,$2.56B
2017-07,$2.55B
2017-08,$2.37B
2017-09,$2.83B
2017-10,$2.86B
2017-11,$2.57B
2017-12,$2.61B
2018-01,$2.6B
2018-02,$2.24B
2018-03,$2.05B
2018-04,$2.09B
2018-05,$1.89B
2018-06,$1.82B
2018-07,$1.97B
2018-08,$2.04B
2018-09,$2.29B
2018-10,$2.12B
2018-11,$2.01B
2018-12,$1.54B
2019-01,$1.71B
2019-02,$1.92B
2019-03,$1.7B
2019-04,$1.76B
2019-05,$1.84B
2019-06,$1.92B
2019-07,$1.94B
2019-08,$1.76B
2019-09,$1.85B
2019-10,$2.07B
2019-11,$2.14B
2020-01,$1.88B
2020-02,$1.95B
2020-03,$1.68B
2020-05,$1.89B
2020-06,$1.96B
2020-07,$1.9B
2020-08,$2.23B
2020-09,$2.39B
2020-10,$2.25B
2020-11,$2.3B
2020-12,$2.22B
2021-01,$2.19B
2021-02,$2.51B
2021-03,$2.65B
2021-04,$2.73B
2021-05,$2.87B
2021-06,$3.12B
2021-07,$2.83B
2021-08,$2.74B
2021-09,$2.81B
2021-10,$2.58B
2021-11,$2.56B
2021-12,$2.43B
