timeline,株式会社ブリヂストン
2001-12,$2.11B
2002-01,$2.14B
2002-02,$2.56B
2002-03,$2.68B
2002-04,$2.75B
2002-05,$2.74B
2002-06,$2.51B
2002-07,$2.57B
2002-08,$2.32B
2002-09,$2.2B
2002-10,$2.32B
2002-11,$2.49B
2002-12,$11.16B
2003-01,$10.11B
2003-02,$10.14B
2003-03,$10.58B
2003-04,$10.27B
2003-05,$11.77B
2003-06,$12.38B
2003-07,$12.49B
2003-08,$12.34B
2003-09,$11.35B
2003-10,$10.93B
2003-11,$11.05B
2003-12,$10.97B
2004-01,$11.68B
2004-02,$12.27B
2004-03,$12.43B
2004-04,$14.21B
2004-05,$14.33B
2004-06,$15.6B
2004-07,$15.29B
2004-08,$15.79B
2004-09,$15.56B
2004-10,$14.61B
2004-11,$14.19B
2004-12,$15.52B
2005-01,$15.49B
2005-02,$15.19B
2005-03,$15.0B
2005-04,$15.33B
2005-05,$16.32B
2005-06,$16.25B
2005-07,$16.74B
2005-08,$16.59B
2005-09,$18.49B
2005-10,$17.96B
2005-11,$19.59B
2005-12,$18.03B
2006-01,$17.52B
2006-02,$16.75B
2006-03,$18.03B
2006-04,$20.38B
2006-05,$16.82B
2006-06,$16.2B
2006-07,$15.31B
2006-08,$18.36B
2006-09,$17.52B
2006-10,$17.92B
2006-11,$18.62B
2006-12,$19.03B
2007-01,$18.78B
2007-02,$17.85B
2007-03,$16.88B
2007-04,$17.46B
2007-05,$17.06B
2007-06,$18.92B
2007-07,$18.06B
2007-08,$16.63B
2007-09,$18.21B
2007-10,$18.17B
2007-11,$15.16B
2007-12,$14.25B
2008-01,$12.91B
2008-02,$12.51B
2008-03,$12.17B
2008-04,$13.61B
2008-05,$12.9B
2008-06,$11.63B
2008-07,$12.65B
2008-08,$13.33B
2008-09,$14.05B
2008-10,$12.11B
2008-11,$11.48B
2008-12,$9.18B
2009-01,$8.02B
2009-02,$9.36B
2009-03,$9.74B
2009-04,$10.1B
2009-05,$10.03B
2009-06,$10.48B
2009-07,$11.37B
2009-08,$11.76B
2009-09,$11.14B
2009-10,$10.59B
2009-11,$9.51B
2009-12,$11.24B
2010-01,$10.01B
2010-02,$10.77B
2010-03,$11.04B
2010-04,$10.88B
2010-05,$10.21B
2010-06,$9.78B
2010-07,$10.7B
2010-08,$10.08B
2010-09,$10.52B
2010-10,$9.98B
2010-11,$10.66B
2010-12,$10.83B
2011-01,$10.87B
2011-02,$11.55B
2011-03,$12.03B
2011-04,$12.21B
2011-05,$12.74B
2011-07,$13.21B
2011-08,$11.7B
2011-09,$12.23B
2011-10,$12.84B
2011-11,$12.09B
2011-12,$12.04B
2012-01,$11.99B
2012-02,$13.5B
2012-03,$13.84B
2012-04,$13.14B
2012-05,$11.57B
2012-06,$13.01B
2012-07,$12.81B
2012-08,$13.01B
2012-09,$12.97B
2012-10,$12.83B
2012-11,$13.72B
2012-12,$15.35B
2013-01,$16.51B
2013-02,$19.62B
2013-03,$21.87B
2013-04,$25.36B
2013-05,$23.25B
2013-06,$23.32B
2013-07,$24.01B
2013-08,$22.29B
2013-09,$24.67B
2013-10,$23.15B
2013-11,$25.88B
2013-12,$27.47B
2014-01,$25.78B
2014-02,$25.31B
2014-03,$25.27B
2014-05,$25.38B
2014-06,$24.47B
2014-07,$25.83B
2014-08,$24.64B
2014-09,$25.0B
2014-10,$25.21B
2014-11,$28.16B
2014-12,$28.99B
2015-01,$32.71B
2015-02,$31.65B
2015-03,$33.25B
2015-04,$34.67B
2015-05,$35.74B
2015-06,$31.26B
2015-07,$32.3B
2015-08,$28.08B
2015-09,$28.49B
2015-10,$30.9B
2015-11,$30.24B
2015-12,$28.82B
2016-01,$29.94B
2016-02,$27.3B
2016-03,$29.04B
2016-04,$28.42B
2016-05,$26.42B
2016-06,$22.57B
2016-07,$24.87B
2016-08,$24.55B
2016-09,$25.59B
2016-10,$27.03B
2016-11,$30.15B
2016-12,$29.1B
2017-01,$28.61B
2017-02,$30.94B
2017-03,$31.1B
2017-04,$32.1B
2017-05,$32.12B
2017-06,$32.69B
2017-07,$31.35B
2017-08,$31.6B
2017-09,$34.19B
2017-10,$35.94B
2017-11,$33.81B
2017-12,$34.76B
2018-01,$35.17B
2018-02,$31.69B
2018-03,$28.54B
2018-04,$28.33B
2018-05,$26.94B
2018-06,$26.75B
2018-07,$27.12B
2018-08,$25.27B
2018-09,$26.5B
2018-10,$26.93B
2018-11,$28.4B
2018-12,$28.08B
2019-01,$27.76B
2019-02,$28.71B
2019-03,$28.28B
2019-04,$28.42B
2019-05,$25.91B
2019-06,$27.08B
2019-07,$25.86B
2019-08,$25.57B
2019-09,$25.97B
2019-10,$28.07B
2019-11,$27.88B
2019-12,$25.26B
2020-01,$24.21B
2020-02,$22.38B
2020-04,$18.48B
2020-05,$19.79B
2020-06,$20.07B
2020-07,$19.23B
2020-08,$19.33B
2020-09,$19.54B
2020-10,$19.77B
2020-11,$21.04B
2020-12,$20.44B
2021-01,$22.52B
2021-02,$23.95B
2021-03,$26.61B
2021-04,$27.38B
2021-05,$29.21B
2021-06,$30.94B
2021-07,$30.24B
2021-08,$31.79B
2021-09,$33.81B
2021-10,$32.03B
2021-11,$30.86B
2021-12,$30.55B
